# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.294
metadata : {}


# id : NWRW1800000025.294.1.1
[신나는 공부]“안하면 불안… 하면 불만”

[신나는	[/SS+신나/VV+는/ETM
공부]“안하면	공부/NNG+]/SS+“/SS+안/MAG+하/VV+면/EC
불안…	불안/NNG+…/SE
하면	하/VV+면/EC
불만”	불만/NNG+”/SS


# id : NWRW1800000025.294.2.1
《외국어고 진학을 목표로 하는 상위권 중2 아들을 둔 학부모 A 씨(43·서울 양천구).

《외국어고	《/SS+외국어고/NNG
진학을	진학/NNG+을/JKO
목표로	목표/NNG+로/JKB
하는	하/VV+는/ETM
상위권	상위/NNG+권/XSN
중2	중/NNG+2/SN
아들을	아들/NNG+을/JKO
둔	두/VV+ㄴ/ETM
학부모	학부모/NNG
A	A/SL
씨(43·서울	씨/NNB+(/SS+43/SN+·/SP+서울/NNP
양천구).	양천구/NNP+)/SS+./SF


# id : NWRW1800000025.294.3.1
그는 요즘 자녀의 방과후학교를 두고 고민에 빠졌다.

그는	그/NP+는/JX
요즘	요즘/NNG
자녀의	자녀/NNG+의/JKG
방과후학교를	방과/NNG+후/NNG+학교/NNG+를/JKO
두고	두/VV+고/EC
고민에	고민/NNG+에/JKB
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.294.3.2
A 씨는 특목고 입시에 자기주도 학습전형이 도입된다는 소식을 접한 뒤 아들을 1학기부터 방과후학교 ‘영어심화반’에 등록시켰다.

A	A/SL
씨는	씨/NNB+는/JX
특목고	특목고/NNG
입시에	입시/NNG+에/JKB
자기주도	자기/NNG+주도/NNG
학습전형이	학습/NNG+전형/NNG+이/JKS
도입된다는	도입/NNG+되/XSV+ㄴ다는/ETM
소식을	소식/NNG+을/JKO
접한	접하/VV+ㄴ/ETM
뒤	뒤/NNG
아들을	아들/NNG+을/JKO
1학기부터	1/SN+학기/NNG+부터/JX
방과후학교	방과/NNG+후/NNG+학교/NNG
‘영어심화반’에	‘/SS+영어/NNP+심화반/NNG+’/SS+에/JKB
등록시켰다.	등록/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.294.3.3
각종 입시에서 사교육에 기대는 학생들을 배제하려는 최근 교육정책의 흐름을 감안할 때 방과후학교에 등록하면 공교육을 통해 자기주도적 학습을 했다는 사실을 증명할 만한 근거가 되리라 생각했기 때문이다.

각종	각종/NNG
입시에서	입시/NNG+에서/JKB
사교육에	사교육/NNG+에/JKB
기대는	기대/VV+는/ETM
학생들을	학생/NNG+들/XSN+을/JKO
배제하려는	배제/NNG+하/XSV+려는/ETM
최근	최근/NNG
교육정책의	교육/NNG+정책/NNG+의/JKG
흐름을	흐름/NNG+을/JKO
감안할	감안/NNG+하/XSV+ㄹ/ETM
때	때/NNG
방과후학교에	방과/NNG+후/NNG+학교/NNG+에/JKB
등록하면	등록/NNG+하/XSV+면/EC
공교육을	공교육/NNG+을/JKO
통해	통하/VV+아/EC
자기주도적	자기/NNG+주도/NNG+적/XSN
학습을	학습/NNG+을/JKO
했다는	하/VV+았/EP+다는/ETM
사실을	사실/NNG+을/JKO
증명할	증명/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
근거가	근거/NNG+가/JKC
되리라	되/VV+리라/EF
생각했기	생각/NNG+하/XSV+았/EP+기/ETN
