# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.197
metadata : {}


# id : NWRW1800000040.197.1.1
‘남남’된 인권위-서울시 인권 조형사업

‘남남’된	‘/SS+남남/NNG+’/SS+되/XSV+ㄴ/ETM
인권위-서울시	인권위/NNP+-/SO+서울시/NNP
인권	인권/NNG
조형사업	조형/NNG+사업/NNG


# id : NWRW1800000040.197.2.1
애초 공동추진하다 각자 사업

애초	애초/NNG
공동추진하다	공동/NNG+추진/NNG+하/XSV+다/EC
각자	각자/MAG
사업	사업/NNG


# id : NWRW1800000040.197.3.1
중복 행정에 혈세낭비 지적도

중복	중복/NNG
행정에	행정/NNG+에/JKB
혈세낭비	혈세/NNG+낭비/NNG
지적도	지적/NNG+도/JX


# id : NWRW1800000040.197.4.1
서울시가 지하철역 등에 인권 관련 조형물을 설치하기 위해 9000여만원을 투입하기로 했다.

서울시가	서울시/NNP+가/JKS
지하철역	지하철역/NNG
등에	등/NNB+에/JKB
인권	인권/NNG
관련	관련/NNG
조형물을	조형물/NNG+을/JKO
설치하기	설치/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
9000여만원을	9000/SN+여/XSN+만/NR+원/NNB+을/JKO
투입하기로	투입/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.197.4.2
국가인권위원회도 8000만원을 들여 같은 사업을 추진중이어서 전시·중복 행정 논란이 예상된다.

국가인권위원회도	국가인권위원회/NNP+도/JX
8000만원을	8000/SN+만/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
같은	같/VA+은/ETM
사업을	사업/NNG+을/JKO
추진중이어서	추진/NNG+중/NNB+이/VCP+어서/EC
전시·중복	전시/NNG+·/SP+중복/NNG
행정	행정/NNG
논란이	논란/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.197.5.1
31일 서울시와 국가인권위의 설명을 종합하면, 양쪽은 국가인권위의 제안으로 9000만원 규모의 인권 조형물 설치 사업을 공동 추진하기로 지난해부터 논의해왔다.

31일	31/SN+일/NNB
서울시와	서울시/NNP+와/JC
국가인권위의	국가인권위/NNP+의/JKG
설명을	설명/NNG+을/JKO
종합하면,	종합/NNG+하/XSV+면/EC+,/SP
양쪽은	양쪽/NNG+은/JX
제안으로	제안/NNG+으로/JKB
9000만원	9000/SN+만/NR+원/NNB
규모의	규모/NNG+의/JKG
인권	인권/NNG
조형물	조형물/NNG
설치	설치/NNG
사업을	사업/NNG+을/JKO
공동	공동/NNG
추진하기로	추진/NNG+하/XSV+기/ETN+로/JKB
지난해부터	지난해/NNG+부터/JX
논의해왔다.	논의/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.197.5.2
그러나 국가인권위가 독자 사업 예산으로 8000만원을 편성하자, 서울시도 조형물 디자인·제작비 등 자체 사업비 9078만원을 책정했다.

그러나	그러나/MAJ
국가인권위가	국가인권위/NNP+가/JKS
독자	독자/NNG
사업	사업/NNG
예산으로	예산/NNG+으로/JKB
8000만원을	8000/SN+만/NR+원/NNB+을/JKO
편성하자,	편성/NNG+하/XSV+자/EC+,/SP
서울시도	서울시/NNP+도/JX
조형물	조형물/NNG
디자인·제작비	디자인/NNG+·/SP+제작비/NNG
등	등/NNB
자체	자체/NNG
사업비	사업비/NNG
9078만원을	9078/SN+만/NR+원/NNB+을/JKO
책정했다.	책정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.197.5.3
졸지에 사업 규모가 갑절로 커진 셈이다.

졸지에	졸지/NNG+에/JKB
사업	사업/NNG
규모가	규모/NNG+가/JKS
갑절로	갑절/NNG+로/JKB
커진	커지/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.197.6.1
서울시 윤희천 인권담당관은 “세계인권선언문 등을 지하철역 보도 등에 새겨 자연스레 시민 인권 감수성을 높인다는 취지다.

서울시	서울시/NNP
윤희천	윤희천/NNP
인권담당관은	인권/NNG+담당관/NNG+은/JX
“세계인권선언문	“/SS+세계/NNG+인권/NNG+선언문/NNG
등을	등/NNB+을/JKO
지하철역	지하철역/NNG
보도	보도/NNG
등에	등/NNB+에/JKB
새겨	새기/VV+어/EC
자연스레	자연스레/MAG
시민	시민/NNG
인권	인권/NNG
감수성을	감수/NNG+성/XSN+을/JKO
높인다는	높이/VV+ㄴ다는/ETM
취지다.	취지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.197.6.2
탑 같은 조형물 설치엔 부정적으로, 전시성이 되지 않도록 할 것”이라고 말했다.

탑	탑/NNG
같은	같/VA+은/ETM
조형물	조형물/NNG
설치엔	설치/NNG+에/JKB+ㄴ/JX
부정적으로,	부정/NNG+적/XSN+으로/JKB+,/SP
전시성이	전시/NNG+성/XSN+이/JKC
되지	되/VV+지/EC
않도록	않/VX+도록/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


