# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.222
metadata : {}


# id : NWRW1800000026.222.1.1
델 컴퓨터 헬스사업 진출 "헬스 사업으로 하드웨어 사업 보강할 것"

델	델/NNP
컴퓨터	컴퓨터/NNG
헬스사업	헬스/NNG+사업/NNG
진출	진출/NNG
"헬스	"/SS+헬스/NNG
사업으로	사업/NNG+으로/JKB
하드웨어	하드웨어/NNG
사업	사업/NNG
보강할	보강/NNG+하/XSV+ㄹ/ETM
것"	것/NNB+"/SS


# id : NWRW1800000026.222.2.1
미국의 대표적인 컴퓨터 기업 '델'이 헬스서비스 사업에 뛰어들었다.

미국의	미국/NNP+의/JKG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
컴퓨터	컴퓨터/NNG
기업	기업/NNG
'델'이	'/SS+델/NNP+'/SS+이/JKS
헬스서비스	헬스/NNG+서비스/NNG
사업에	사업/NNG+에/JKB
뛰어들었다.	뛰어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.222.3.1
월스트리트저널은 6일(현지시각) 델이 메소디스트 하스피털 시스템(Methodist Hospital System) 의료법인과 전자 의료 기록 시스템을 구축하고 유지하는 서비스를 실시하기로 계약했다고 보도했다.

월스트리트저널은	월스트리트저널/NNP+은/JX
6일(현지시각)	6/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
델이	델/NNP+이/JKS
메소디스트	메소디스트/NNG
하스피털	하스피털/NA
시스템(Methodist	시스템/NNG+(/SS+Methodist/SL
Hospital	Hospital/SL
System)	System/SL+)/SS
의료법인과	의료/NNG+법인/NNG+과/JC
전자	전자/NNG
의료	의료/NNG
기록	기록/NNG
시스템을	시스템/NNG+을/JKO
구축하고	구축/NNG+하/XSV+고/EC
유지하는	유지/NNG+하/XSV+는/ETM
서비스를	서비스/NNG+를/JKO
실시하기로	실시/NNG+하/XSV+기/ETN+로/JKB
계약했다고	계약/NNG+하/XSV+았/EP+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.222.3.2
델의 기술자들은 휴스턴 지역에 있는 이 병원 의사 2600명이 다른 병원에 있는 기록을 볼 수 있도록 하는 소프트웨어를 개발하고 있다.

델의	델/NNP+의/JKG
기술자들은	기술자/NNG+들/XSN+은/JX
휴스턴	휴스턴/NNP
지역에	지역/NNG+에/JKB
있는	있/VA+는/ETM
이	이/MMD
병원	병원/NNG
의사	의사/NNG
