# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.370
metadata : {}


# id : NWRW1800000048.370.1.1
[아침 햇발] ‘배신의 정치’와 경제 현실 / 이경

[아침	[/SS+아침/NNG
햇발]	햇발/NNG+]/SS
‘배신의	‘/SS+배신/NNG+의/JKG
정치’와	정치/NNG+’/SS+와/JC
경제	경제/NNG
현실	현실/NNG
/	//SP
이경	이경/NNP


# id : NWRW1800000048.370.2.1
“대통령께서 6월25일 국무회의에서 발언하신 것은 통상적으로 늘 국민 삶을 생각하고 국민 중심의 정치가 돼야 한다는 대통령 나름의 절절한 마음을 표현한 게 아닌가 생각합니다.”

“대통령께서	“/SS+대통령/NNG+께서/JKS
6월25일	6/SN+월/NNB+25/SN+일/NNB
국무회의에서	국무/NNG+회의/NNG+에서/JKB
발언하신	발언/NNG+하/XSV+시/EP+ㄴ/ETM
것은	것/NNB+은/JX
통상적으로	통상/NNG+적/XSN+으로/JKB
늘	늘/MAG
국민	국민/NNG
삶을	삶/NNG+을/JKO
생각하고	생각/NNG+하/XSV+고/EC
중심의	중심/NNG+의/JKG
정치가	정치/NNG+가/JKC
돼야	되/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
대통령	대통령/NNG
나름의	나름/NNB+의/JKG
절절한	절절하/VA+ㄴ/ETM
마음을	마음/NNG+을/JKO
표현한	표현/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKC
아닌가	아니/VCN+ㄴ가/EF
생각합니다.”	생각/NNG+하/XSV+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000048.370.2.2
박근혜 대통령이 당시 유승민 새누리당 원내대표 등을 강한 어조로 비판한 것과 관련해 이병기 청와대 비서실장이 3일 국회 운영위원회에서 한 말이다.

박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
당시	당시/NNG
유승민	유승민/NNP
새누리당	새누리당/NNP
원내대표	원내/NNG+대표/NNG
등을	등/NNB+을/JKO
강한	강하/VA+ㄴ/ETM
어조로	어조/NNG+로/JKB
비판한	비판/NNG+하/XSV+ㄴ/ETM
것과	것/NNB+과/JKB
관련해	관련/NNG+하/XSV+아/EC
이병기	이병기/NNP
청와대	청와대/NNP
비서실장이	비서실장/NNG+이/JKS
3일	3/SN+일/NNB
국회	국회/NNG
운영위원회에서	운영/NNG+위원회/NNG+에서/JKB
한	하/VV+ㄴ/ETM
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.370.2.3
이 실장은 4월1일 새정치민주연합 우윤근 원내대표 등을 만난 자리에서 “박근혜 대통령은 자나 깨나 나라 걱정만 하십니다. 이런 분은 처음 봅니다. 야당도 대통령의 이런 진심을 알아줬으면 합니다”라고도 했다.

이	이/NNP
실장은	실장/NNG+은/JX
4월1일	4/SN+월/NNB+1/SN+일/NNB
새정치민주연합	새정치민주연합/NNP
우윤근	우윤근/NNP
원내대표	원내/NNG+대표/NNG
등을	등/NNB+을/JKO
만난	만나/VV+ㄴ/ETM
자리에서	자리/NNG+에서/JKB
“박근혜	“/SS+박근혜/NNP
대통령은	대통령/NNG+은/JX
자나	자/VV+나/EC
깨나	깨/VV+나/EC
나라	나라/NNG
걱정만	걱정/NNG+만/JX
하십니다.	하/VV+시/EP+ㅂ니다/EF+./SF
이런	이런/MMD
분은	분/NNB+은/JX
처음	처음/NNG
봅니다.	보/VV+ㅂ니다/EF+./SF
야당도	야당/NNG+도/JX
대통령의	대통령/NNG+의/JKG
진심을	진심/NNG+을/JKO
알아줬으면	알아주/VV+었/EP+으면/EC
합니다”라고도	하/VX+ㅂ니다/EF+”/SS+라고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.370.3.1
이 실장의 이런 언급이 외교관 출신 특유의 입발림이라고 치부하고 싶지는 않다.

이	이/NNP
실장의	실장/NNG+의/JKG
이런	이런/MMD
언급이	언급/NNG+이/JKS
외교관	외교관/NNG
출신	출신/NNG
특유의	특유/NNG+의/JKG
입발림이라고	입발림/NNG+이/VCP+라고/EC
치부하고	치부/NNG+하/XSV+고/EC
싶지는	싶/VX+지/EC+는/JX
않다.	않/VX+다/EF+./SF


# id : NWRW1800000048.370.3.2
상당 부분 진실일 것이다.

상당	상당/NNG
부분	부분/NNG
진실일	진실/NNG+이/VCP+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.370.3.3
박 대통령이 새해 기자회견에서 “저는 대통령에 취임한 후에 오직 국민 여러분과 대한민국의 앞날만을 위해 최선을 다해 왔습니다”라고 말한 것도 믿고 싶다.

박	박/NNP
대통령이	대통령/NNG+이/JKS
새해	새해/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
“저는	“/SS+저/NP+는/JX
대통령에	대통령/NNG+에/JKB
취임한	취임/NNG+하/XSV+ㄴ/ETM
후에	후/NNG+에/JKB
오직	오직/MAG
국민	국민/NNG
여러분과	여러분/NP+과/JC
대한민국의	대한민국/NNP+의/JKG
앞날만을	앞날/NNG+만/JX+을/JKO
위해	위하/VV+아/EC
최선을	최선/NNG+을/JKO
다해	다/MAG+하/XSV+아/EC
왔습니다”라고	오/VX+았/EP+습니다/EF+”/SS+라고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
믿고	믿/VV+고/EC
싶다.	싶/VX+다/EF+./SF


# id : NWRW1800000048.370.4.1
박 대통령은 무엇보다 경제에 관심이 많다.

박	박/NNP
대통령은	대통령/NNG+은/JX
무엇보다	무엇/NP+보다/JKB
경제에	경제/NNG+에/JKB
관심이	관심/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000048.370.4.2
6월 말부터는 24개 핵심 개혁과제 점검회의를 주재하고 있다.

6월	6/SN+월/NNB
말부터는	말/NNB+부터/JX+는/JX
24개	24/SN+개/NNB
핵심	핵심/NNG
개혁과제	개혁/NNG+과제/NNG
점검회의를	점검/NNG+회의/NNG+를/JKO
주재하고	주재/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.370.4.3
정부 부처 국장, 과장을 비롯한 실무자들에게 지금까지 진행 상황을 듣고 하반기 추진 전략을 직접 챙기고 있다.

