# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.411
metadata : {}


# id : NWRW1800000032.411.1.1
“북 핵무기 6기 가능” 영국 민간 연구기관 보고서

“북	“/SS+북/NNP
핵무기	핵무기/NNG
6기	6/SN+기/NNG
가능”	가능/NNG+”/SS
영국	영국/NNP
민간	민간/NNG
연구기관	연구/NNG+기관/NNG
보고서	보고서/NNG


# id : NWRW1800000032.411.2.1
북한이 최소 6기의 핵무기를 보유하고 있을 것으로 영국의 민간 연구기관이 최근 평가했다.

북한이	북한/NNP+이/JKS
최소	최소/NNG
6기의	6/SN+기/NNG+의/JKG
핵무기를	핵무기/NNG+를/JKO
보유하고	보유/NNG+하/XSV+고/EC
있을	있/VX+을/ETM
것으로	것/NNB+으로/JKB
영국의	영국/NNP+의/JKG
민간	민간/NNG
연구기관이	연구/NNG+기관/NNG+이/JKS
최근	최근/MAG
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.411.3.1
‘영미안보정보협의회’(BASIC)는 30일 발간한 보고서에서 북한이 핵무기의 원료인 플루토늄 50㎏을 생산했을 것으로 추정하면서 이는 6기 또는 그 이상의 핵무기를 만들 수 있는 양이라고 밝혔다.

‘영미안보정보협의회’(BASIC)는	‘/SS+영미안보정보협의회/NNP+’/SS+(/SS+BASIC/SL+)/SS+는/JX
30일	30/SN+일/NNB
발간한	발간/NNG+하/XSV+ㄴ/ETM
보고서에서	보고서/NNG+에서/JKB
북한이	북한/NNP+이/JKS
핵무기의	핵무기/NNG+의/JKG
원료인	원료/NNG+이/VCP+ㄴ/ETM
플루토늄	플루토늄/NNG
50㎏을	50/SN+㎏/SW+을/JKO
생산했을	생산/NNG+하/XSV+았/EP+을/ETM
것으로	것/NNB+으로/JKB
추정하면서	추정/NNG+하/XSV+면서/EC
이는	이/NP+는/JX
6기	6/SN+기/NNG
또는	또는/MAG
그	그/MMD
이상의	이상/NNG+의/JKG
핵무기를	핵무기/NNG+를/JKO
