# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.112
metadata : {}


# id : NWRW1800000041.112.1.1
‘디자인 서울’ 새 랜드마크 내려앉다

‘디자인	‘/SS+디자인/NNG
서울’	서울/NNP+’/SS
새	새/MMA
랜드마크	랜드마크/NNG
내려앉다	내려앉/VV+다/EF


# id : NWRW1800000041.112.2.1
세계 최대 3D 비정형 건축물, 3월21일 개관 동대문디자인플라자 미리 가보니…

세계	세계/NNG
최대	최대/NNG
3D	3/SN+D/SL
비정형	비/XPN+정형/NNG
건축물,	건축물/NNG+,/SP
3월21일	3/SN+월/NNB+21/SN+일/NNB
개관	개관/NNG
동대문디자인플라자	동대문디자인플라자/NNP
미리	미리/MAG
가보니…	가/VV+아/EC+보/VX+니/EC+…/SE


# id : NWRW1800000041.112.3.1
서울 도심에 불시착한 첨단 미확인비행물체(UFO)?

서울	서울/NNP
도심에	도심/NNG+에/JKB
불시착한	불시착/NNG+하/XSV+ㄴ/ETM
첨단	첨단/NNG
미확인비행물체(UFO)?	미/XPN+확인/NNG+비행/NNG+물체/NNG+(/SS+UFO/SL+)/SS+?/SF


# id : NWRW1800000041.112.3.2
아니다.

아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000041.112.3.3
안으로 들어가면 반듯한 곳 하나 없어 원시적인 개미굴 같다.

안으로	안/NNG+으로/JKB
들어가면	들어가/VV+면/EC
반듯한	반듯하/VA+ㄴ/ETM
곳	곳/NNG
하나	하나/NR
없어	없/VA+어/EC
원시적인	원시/NNG+적/XSN+이/VCP+ㄴ/ETM
개미굴	개미굴/NNG
같다.	같/VA+다/EF+./SF


# id : NWRW1800000041.112.3.4
건물인 듯 공원이고, 미로 같은 동선 때문에 여기가 1층인지 3층인지 구분이 안 간다.

건물인	건물/NNG+이/VCP+ㄴ/ETM
듯	듯/NNB
공원이고,	공원/NNG+이/VCP+고/EC+,/SP
미로	미로/NNG
같은	같/VA+은/ETM
동선	동선/NNG
때문에	때문/NNB+에/JKB
여기가	여기/NP+가/JKS
1층인지	1/SN+층/NNG+이/VCP+ㄴ지/EC
3층인지	3/SN+층/NNG+이/VCP+ㄴ지/EC
구분이	구분/NNG+이/JKS
안	안/MAG
간다.	가/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.112.3.5
단단한 건물임에도 날이 풀리면 흐물흐물 녹아 꿈틀댈 듯 유동적이다.

단단한	단단하/VA+ㄴ/ETM
건물임에도	건물/NNG+이/VCP+ㅁ/ETN+에/JKB+도/JX
날이	날/NNG+이/JKS
풀리면	풀리/VV+면/EC
흐물흐물	흐물흐물/MAG
녹아	녹/VV+아/EC
꿈틀댈	꿈틀대/VV+ㄹ/ETM
듯	듯/NNB
유동적이다.	유동/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000041.112.4.1
지난해 11월 완공해 10일 공개한 서울 중구 을지로 동대문디자인플라자&파크(DDP)는 건축의 온갖 경계를 허물어온 해체주의 건축가 자하 하디드 씨(64)의 최신작이다.

지난해	지난해/NNG
11월	11/SN+월/NNB
완공해	완공/NNG+하/XSV+아/EC
10일	10/SN+일/NNB
공개한	공개/NNG+하/XSV+ㄴ/ETM
서울	서울/NNP
중구	중구/NNP
을지로	을지로/NNP
동대문디자인플라자&파크(DDP)는	동대문디자인플라자/NNP+&/SW+파크/NNG+(/SS+DDP/SL+)/SS+는/JX
건축의	건축/NNG+의/JKG
온갖	온갖/MMN
경계를	경계/NNG+를/JKO
허물어온	허물/VV+어/EC+오/VX+ㄴ/ETM
해체주의	해체주의/NNG
건축가	건축가/NNG
자하	자하/NNP
하디드	하디드/NNP
씨(64)의	씨/NNB+(/SS+64/SN+)/SS+의/JKG
최신작이다.	최신작/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.112.4.2
2004년 여성으로는 처음으로 건축계의 노벨상인 프리츠커상을 받은 뒤 세계에서 가장 뜨거운 건축가 중 한 명으로 주목받아 온 이라크 출신 영국인이다.

2004년	2004/SN+년/NNB
여성으로는	여성/NNG+으로/JKB+는/JX
처음으로	처음/NNG+으로/JKB
건축계의	건축/NNG+계/XSN+의/JKG
노벨상인	노벨상/NNG+이/VCP+ㄴ/ETM
프리츠커상을	프리츠커/NNP+상/NNG+을/JKO
받은	받/VV+은/ETM
뒤	뒤/NNG
세계에서	세계/NNG+에서/JKB
가장	가장/MAG
뜨거운	뜨겁/VA+ㄴ/ETM
건축가	건축가/NNG
중	중/NNB
한	한/MMN
명으로	명/NNB+으로/JKB
주목받아	주목/NNG+받/XSV+아/EC
온	오/VX+ㄴ/ETM
이라크	이라크/NNP
출신	출신/NNG
영국인이다.	영국인/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.112.5.1
DDP는 여성적인 건축물이다.

DDP는	DDP/SL+는/JX
여성적인	여성/NNG+적/XSN+이/VCP+ㄴ/ETM
건축물이다.	건축물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.112.5.2
지하 3층, 지상 4층에 총면적이 8만6574m²(약 2만6200평)인데 직선이나 직각 대신 유연한 곡선이 물 흐르듯해 큰 덩치에도 위압감을 주지 않는다.

지하	지하/NNG
3층,	3/SN+층/NNG+,/SP
지상	지상/NNG
4층에	4/SN+층/NNG+에/JKB
총면적이	총면적/NNG+이/JKS
8만6574m²(약	8/SN+만/NR+6574/SN+m²/SW+(/SS+약/MMA
2만6200평)인데	2/SN+만/NR+6200/SN+평/NNB+)/SS+이/VCP+ㄴ데/EC
직선이나	직선/NNG+이나/JC
직각	직각/NNG
대신	대신/NNG
유연한	유연하/VA+ㄴ/ETM
곡선이	곡선/NNG+이/JKS
물	물/NNG
흐르듯해	흐르/VV+듯/EC+하/VV+아/EC
큰	크/VA+ㄴ/ETM
덩치에도	덩치/NNG+에/JKB+도/JX
위압감을	위압감/NNG+을/JKO
주지	주/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000041.112.5.3
내부도 거대하나 자궁 같은 편안함을 준다.

내부도	내부/NNG+도/JX
거대하나	거대/NNG+하/XSA+나/EC
자궁	자궁/NNG
같은	같/VA+은/ETM
편안함을	편안/NNG+하/XSA+ㅁ/ETN+을/JKO
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.112.6.1
기술적으로는 하디드 씨의 작품답게 여러 가지 한계를 실험했다.

기술적으로는	기술/NNG+적/XSN+으로/JKB+는/JX
하디드	하디드/NNP
씨의	씨/NNB+의/JKG
작품답게	작품/NNG+답/XSA+게/EC
여러	여러/MMN
가지	가지/NNB
한계를	한계/NNG+를/JKO
실험했다.	실험/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.112.6.2
우선 세계 최대 규모의 3차원(3D) 비정형 건물이다.

우선	우선/MAG
세계	세계/NNG
최대	최대/NNG
규모의	규모/NNG+의/JKG
