# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.382
metadata : {}


# id : NWRW1800000037.382.1.1
“SW 육성” 20여년간 말만 요란했다

“SW	“/SS+SW/SL
육성”	육성/NNG+”/SS
20여년간	20/SN+여/XSN+년/NNB+간/XSN
말만	말/NNG+만/JX
요란했다	요란/NNG+하/XSA+았/EP+다/EF


# id : NWRW1800000037.382.2.1
하드웨어와 달리 단기간에 성과 안나 정권마다 이벤트 급급… 우선순위 밀려

하드웨어와	하드웨어/NNG+와/JKB
달리	달리/MAG
단기간에	단기간/NNG+에/JKB
성과	성과/NNG
안나	안/MAG+나/VV+아/EC
정권마다	정권/NNG+마다/JX
이벤트	이벤트/NNG
급급…	급급/XR+…/SE
우선순위	우선순위/NNG
밀려	밀리/VV+어/EC


# id : NWRW1800000037.382.3.1
우리 정부는 1990년대부터 소프트웨어산업 육성을 강조해왔다.

우리	우리/NP
정부는	정부/NNG+는/JX
1990년대부터	1990/SN+년대/NNB+부터/JX
소프트웨어산업	소프트웨어/NNG+산업/NNG
육성을	육성/NNG+을/JKO
강조해왔다.	강조/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.382.3.2
하지만 여전히 국내 소프트웨어산업은 세계시장에 내놓기 부끄러운 수준이다.

하지만	하지만/MAJ
여전히	여전히/MAG
국내	국내/NNG
소프트웨어산업은	소프트웨어/NNG+산업/NNG+은/JX
세계시장에	세계/NNG+시장/NNG+에/JKB
내놓기	내놓/VV+기/ETN
부끄러운	부끄럽/VA+ㄴ/ETM
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.382.4.1
전문가들은 소프트웨어를 하드웨어의 부속품으로 여기는 뿌리 깊은 제조업 중시 분위기와 함께 정부도 소프트웨어산업의 특성을 제대로 이해하지 못한 채 이벤트성 정책을 내놓고 그마저도 제대로 실천하지 않은 탓이 크다고 지적했다.

전문가들은	전문가/NNG+들/XSN+은/JX
소프트웨어를	소프트웨어/NNG+를/JKO
하드웨어의	하드웨어/NNG+의/JKG
부속품으로	부속품/NNG+으로/JKB
여기는	여기/VV+는/ETM
뿌리	뿌리/NNG
깊은	깊/VA+은/ETM
제조업	제조업/NNG
중시	중시/NNG
분위기와	분위기/NNG+와/JKB
함께	함께/MAG
정부도	정부/NNG+도/JX
소프트웨어산업의	소프트웨어/NNG+산업/NNG+의/JKG
특성을	특성/NNG+을/JKO
제대로	제대로/MAG
이해하지	이해/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
채	채/NNB
이벤트성	이벤트/NNG+성/XSN
정책을	정책/NNG+을/JKO
내놓고	내놓/VV+고/EC
그마저도	그/NP+마저/JX+도/JX
실천하지	실천/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
탓이	탓/NNG+이/JKS
크다고	크/VA+다고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.382.5.1
김진형 KAIST 전산학과 교수에 따르면 정보통신부를 신설했던 김영삼 정부는 전국적 통신망 구축과 행정전산화 등 정보기술(IT) 분야에서 다양한 업적을 쌓았다.

김진형	김진형/NNP
KAIST	KAIST/SL
전산학과	전산학과/NNG
교수에	교수/NNG+에/JKB
따르면	따르/VV+면/EC
정보통신부를	정보/NNG+통신부/NNG+를/JKO
