# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.428
metadata : {}


# id : NWRW1800000054.428.1.1
"北 미사일에 영국제 부품도 들어갔다"

"北	"/SS+北/SH
미사일에	미사일/NNG+에/JKB
영국제	영국제/NNG
부품도	부품/NNG+도/JX
들어갔다"	들어가/VV+았/EP+다/EF+"/SS


# id : NWRW1800000054.428.2.1
미사일 제어에 핵심인 '증압기'… 외국계 중개인 통해 반입한 듯

미사일	미사일/NNG
제어에	제어/NNG+에/JKB
핵심인	핵심/NNG+이/VCP+ㄴ/ETM
'증압기'…	'/SS+증압기/NNG+'/SS+…/SE
외국계	외국/NNG+계/XSN
중개인	중개인/NNG
통해	통하/VV+아/EC
반입한	반입/NNG+하/XSV+ㄴ/ETM
듯	듯/NNB


# id : NWRW1800000054.428.3.1
유엔 대북제재위원회 휴 그리피스 조정관은 29일(현지 시각) 미국 CBS방송 시사 프로그램 '60분' 인터뷰에서 "북한의 미사일에 영국제 부품 등이 들어갔다"고 밝혔다.

유엔	유엔/NNP
대북제재위원회	대북제재위원회/NNP
휴	휴/NNP
그리피스	그리피스/NNP
조정관은	조정관/NNG+은/JX
29일(현지	29/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
미국	미국/NNP
CBS방송	CBS방송/NNP
시사	시사/NNG
프로그램	프로그램/NNG
'60분'	'/SS+60/SN+분/NNB+'/SS
인터뷰에서	인터뷰/NNG+에서/JKB
"북한의	"/SS+북한/NNP+의/JKG
미사일에	미사일/NNG+에/JKB
영국제	영국제/NNG
부품	부품/NNG
등이	등/NNB+이/JKS
들어갔다"고	들어가/VV+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.428.3.2
북한이 서방의 메이저 군수업체로부터도 미사일 부품을 얻었다는 것이다.

북한이	북한/NNP+이/JKS
서방의	서방/NNG+의/JKG
메이저	메이저/NNG
군수업체로부터도	군수업체/NNG+로부터/JKB+도/JX
미사일	미사일/NNG
부품을	부품/NNG+을/JKO
얻었다는	얻/VV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.428.4.1
CBS에 따르면 유엔 대북제재위원회 조사관들은 지난해 2월 한국이 회수한 북한의 인공위성 '광명성 4호' 추진 로켓 잔해물 중 일부 부품에서 제조사 로고와 일련번호를 확인했다.

CBS에	CBS/SL+에/JKB
따르면	따르/VV+면/EC
유엔	유엔/NNP
대북제재위원회	대북제재위원회/NNP
조사관들은	조사관/NNG+들/XSN+은/JX
지난해	지난해/NNG
2월	2/SN+월/NNB
한국이	한국/NNP+이/JKS
회수한	회수/NNG+하/XSV+ㄴ/ETM
북한의	북한/NNP+의/JKG
인공위성	인공위성/NNG
'광명성	'/SS+광명성/NNP
4호'	4/SN+호/NNB+'/SS
추진	추진/NNG
로켓	로켓/NNG
잔해물	잔해물/NNG
중	중/NNB
일부	일부/NNG
부품에서	부품/NNG+에서/JKB
제조사	제조사/NNG
로고와	로고/NNG+와/JC
일련번호를	일련번호/NNG+를/JKO
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.428.4.2
이를 토대로 회수한 부품의 원산지와 공급망을 추적한 결과 '증압기'라는 부품이 영국에서 생산된 것으로 밝혀졌다.

이를	이/NP+를/JKO
토대로	토대/NNG+로/JKB
회수한	회수/NNG+하/XSV+ㄴ/ETM
부품의	부품/NNG+의/JKG
원산지와	원산지/NNG+와/JC
