# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.137
metadata : {}


# id : NWRW1800000028.137.1.1
프, 대학생에 와인 교육?

프,	프/NNP+,/SP
대학생에	대학/NNG+생/XSN+에/JKB
와인	와인/NNG
교육?	교육/NNG+?/SF


# id : NWRW1800000028.137.2.1
프랑스에선 신생아가 엄마 젖보다도 손가락에 적신 샴페인을 먼저 맛보고, 어린이들이 가족식탁에서 약하게 물에 탄 포도주로 감식의 미각을 키운다는 얘기는 옛말이 됐다.

프랑스에선	프랑스/NNP+에서/JKB+ㄴ/JX
신생아가	신생아/NNG+가/JKS
엄마	엄마/NNG
젖보다도	젖/NNG+보다/JKB+도/JX
손가락에	손가락/NNG+에/JKB
적신	적시/VV+ㄴ/ETM
샴페인을	샴페인/NNG+을/JKO
먼저	먼저/MAG
맛보고,	맛보/VV+고/EC+,/SP
어린이들이	어린이/NNG+들/XSN+이/JKS
가족식탁에서	가족/NNG+식탁/NNG+에서/JKB
약하게	약하/VA+게/EC
물에	물/NNG+에/JKB
탄	타/VV+ㄴ/ETM
포도주로	포도주/NNG+로/JKB
감식의	감식/NNG+의/JKG
미각을	미각/NNG+을/JKO
키운다는	키우/VV+ㄴ다는/ETM
얘기는	얘기/NNG+는/JX
옛말이	옛말/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.137.2.2
지난 30년 새 프랑스의 1인당 포도주 소비는 절반으로 줄었고, 맥주나 독주를 마시며 떠들썩한 파티를 하는 풍속이 늘고 있다.

지난	지나/VV+ㄴ/ETM
30년	30/SN+년/NNB
새	새/NNG
프랑스의	프랑스/NNP+의/JKG
1인당	1/SN+인/NNG+당/XSN
포도주	포도주/NNG
소비는	소비/NNG+는/JX
절반으로	절반/NNG+으로/JKB
줄었고,	줄/VV+었/EP+고/EC+,/SP
맥주나	맥주/NNG+나/JC
독주를	독주/NNG+를/JKO
마시며	마시/VV+며/EC
떠들썩한	떠들썩하/VA+ㄴ/ETM
파티를	파티/NNG+를/JKO
하는	하/VV+는/ETM
풍속이	풍속/NNG+이/JKS
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.137.2.3
특히 이로 인한 과도한 알코올 소비로 15~24살의 젊은이들이 병원 신세를 지는 경우가 50% 늘어나면서, 프랑스 젊은이들의 건전한 음주문화를 진작하고 포도주 소비를 늘리려는 고민이 쏟아지고 있다고 <뉴스위크>가 24일 보도했다.

특히	특히/MAG
