# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.21
metadata : {}


# id : NWRW1800000024.21.1.1
“데이터요금 과다, 업체 책임없다” 뒤집힌 판결

“데이터요금	“/SS+데이터/NNG+요금/NNG
과다,	과다/NNG+,/SP
업체	업체/NNG
책임없다”	책임/NNG+없/VA+다/EF+”/SS
뒤집힌	뒤집히/VV+ㄴ/ETM
판결	판결/NNG


# id : NWRW1800000024.21.2.1
휴대전화 데이터통신요금을 과도하게 물린 이동통신 업체의 책임을 인정한 법원의 판결이 항소심에서 뒤집혔다.

휴대전화	휴대/NNG+전화/NNG
데이터통신요금을	데이터/NNG+통신/NNG+요금/NNG+을/JKO
과도하게	과도/NNG+하/XSA+게/EC
물린	물리/VV+ㄴ/ETM
이동통신	이동/NNG+통신/NNG
업체의	업체/NNG+의/JKG
책임을	책임/NNG+을/JKO
인정한	인정/NNG+하/XSV+ㄴ/ETM
법원의	법원/NNG+의/JKG
판결이	판결/NNG+이/JKS
항소심에서	항소심/NNG+에서/JKB
뒤집혔다.	뒤집히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.21.3.1
서울중앙지법 민사항소2부(재판장 김영수)는 13일 청소년 김아무개(14)군 등 이동전화 가입자 9명이 “무선데이터요금 부과 방법을 제대로 알려주지 않아 과다한 요금이 부과됐다”며 에스케이텔레콤을 상대로 낸 손해배상 청구소송에서 원고패소 판결했다.

서울중앙지법	서울중앙지법/NNP
민사항소2부(재판장	민사/NNG+항소/NNG+2/SN+부/NNG+(/SS+재판장/NNG
김영수)는	김영수/NNP+)/SS+는/JX
13일	13/SN+일/NNB
청소년	청소년/NNG
김아무개(14)군	김/NNP+아무개/NP+(/SS+14/SN+)/SS+군/NNB
등	등/NNB
이동전화	이동/NNG+전화/NNG
가입자	가입자/NNG
9명이	9/SN+명/NNB+이/JKS
“무선데이터요금	“/SS+무선/NNG+데이터/NNG+요금/NNG
부과	부과/NNG
방법을	방법/NNG+을/JKO
제대로	제대로/MAG
알려주지	알리/VV+어/EC+주/VX+지/EC
않아	않/VX+아/EC
과다한	과다/NNG+하/XSA+ㄴ/ETM
요금이	요금/NNG+이/JKS
부과됐다”며	부과/NNG+되/XSV+었/EP+다/EF+”/SS+며/EC
에스케이텔레콤을	에스케이텔레콤/NNP+을/JKO
상대로	상대/NNG+로/JKB
낸	내/VV+ㄴ/ETM
손해배상	손해/NNG+배상/NNG
청구소송에서	청구/NNG+소송/NNG+에서/JKB
원고패소	원고/NNG+패소/NNG
판결했다.	판결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.21.4.1
재판부는 “데이터요금의 정확한 예측이 불가능하고, 과다하게 부과될 가능성이 크다는 사실만으로 회사가 방지대책을 강구할 의무는 없다”고 밝혔다.

재판부는	재판부/NNG+는/JX
“데이터요금의	“/SS+데이터/NNG+요금/NNG+의/JKG
정확한	정확/NNG+하/XSA+ㄴ/ETM
예측이	예측/NNG+이/JKS
불가능하고,	불/XPN+가능/NNG+하/XSA+고/EC+,/SP
과다하게	과다/NNG+하/XSA+게/EC
부과될	부과/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다는	크/VA+다는/ETM
사실만으로	사실/NNG+만/JX+으로/JKB
회사가	회사/NNG+가/JKS
방지대책을	방지/NNG+대책/NNG+을/JKO
강구할	강구/NNG+하/XSV+ㄹ/ETM
의무는	의무/NNG+는/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.21.4.2
재판부는 이어 “에스케이텔레콤은 데이터요금이 4만원, 10만원, 13만원을 초과할 때마다 문자메시지를 통해 고객에게 알려줬으며, 고객들은 회사 홈페이지를 통해 요금 조회가 가능했던 점 등을 고려하면 회사는 적절한 조처를 했다”고 판시했다.

재판부는	재판부/NNG+는/JX
이어	이어/MAG
“에스케이텔레콤은	“/SS+에스케이텔레콤/NNP+은/JX
데이터요금이	데이터/NNG+요금/NNG+이/JKS
4만원,	4/SN+만/NR+원/NNB+,/SP
10만원,	10/SN+만/NR+원/NNB+,/SP
13만원을	13/SN+만/NR+원/NNB+을/JKO
초과할	초과/NNG+하/XSV+ㄹ/ETM
때마다	때/NNG+마다/JX
문자메시지를	문자/NNG+메시지/NNG+를/JKO
통해	통하/VV+아/EC
고객에게	고객/NNG+에게/JKB
알려줬으며,	알리/VV+어/EC+주/VX+었/EP+으며/EC+,/SP
고객들은	고객/NNG+들/XSN+은/JX
회사	회사/NNG
홈페이지를	홈페이지/NNG+를/JKO
요금	요금/NNG
조회가	조회/NNG+가/JKS
가능했던	가능/NNG+하/XSA+았/EP+던/ETM
점	점/NNG
등을	등/NNB+을/JKO
고려하면	고려/NNG+하/XSV+면/EC
회사는	회사/NNG+는/JX
적절한	적절하/VA+ㄴ/ETM
조처를	조처/NNG+를/JKO
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
판시했다.	판시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.21.4.3
재판부는 또 “부모 동의 없이 미성년자들과 정보이용계약을 체결한 것은 무효”라는 원고 주장도 “김군 등과 계약을 맺은 당사자는 에스케이텔레콤이 아닌 정보제공업체”라며 받아들이지 않았다.

재판부는	재판부/NNG+는/JX
또	또/MAG
“부모	“/SS+부모/NNG
동의	동의/NNG
없이	없이/MAG
미성년자들과	미성년자/NNG+들/XSN+과/JKB
정보이용계약을	정보/NNG+이용/NNG+계약/NNG+을/JKO
체결한	체결/NNG+하/XSV+ㄴ/ETM
