# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.253
metadata : {}


# id : NWRW1800000054.253.1.1
복귀 2주만에… '컴퓨터 샷' 살아난 박인비

복귀	복귀/NNG
2주만에…	2/SN+주/NNB+만/NNB+에/JKB+…/SE
'컴퓨터	'/SS+컴퓨터/NNG
샷'	샷/NNG+'/SS
살아난	살아나/VV+ㄴ/ETM
박인비	박인비/NNP


# id : NWRW1800000054.253.2.1
페어웨이 적중률 100% 기록… HSBC챔피언스 2R 단독 선두

페어웨이	페어웨이/NNG
적중률	적중/NNG+률/XSN
100%	100/SN+%/SW
기록…	기록/NNG+…/SE
HSBC챔피언스	HSBC/SL+챔피언스/NNG
2R	2/SN+R/SL
단독	단독/NNG
선두	선두/NNG


# id : NWRW1800000054.253.3.1
2년 전 72홀 노보기 플레이로 우승했던 좋은 추억을 지닌 싱가포르에서 박인비(29)가 전성기 기량을 다시 보여주고 있다.

2년	2/SN+년/NNB
전	전/NNG
72홀	72/SN+홀/NNG
노보기	노/NNG+보기/NNG
플레이로	플레이/NNG+로/JKB
우승했던	우승/NNG+하/XSV+았/EP+던/ETM
좋은	좋/VA+은/ETM
추억을	추억/NNG+을/JKO
지닌	지니/VV+ㄴ/ETM
싱가포르에서	싱가포르/NNP+에서/JKB
박인비(29)가	박인비/NNP+(/SS+29/SN+)/SS+가/JKS
전성기	전성기/NNG
기량을	기량/NNG+을/JKO
다시	다시/MAG
보여주고	보이/VV+어/EC+주/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.253.4.1
미국여자프로골프(LPGA)투어 HSBC 위민스 챔피언스 2라운드가 열린 3일 싱가포르 센토사 골프장 탄종 코스(파72).

미국여자프로골프(LPGA)투어	미국/NNP+여자/NNG+프로/NNG+골프/NNG+(/SS+LPGA/SL+)/SS+투어/NNG
HSBC	HSBC/SL
위민스	위민스/NNG
챔피언스	챔피언스/NNG
2라운드가	2/SN+라운드/NNG+가/JKS
열린	열리/VV+ㄴ/ETM
3일	3/SN+일/NNB
싱가포르	싱가포르/NNP
센토사	센토사/NNP
골프장	골프장/NNG
탄종	탄종/NNP
코스(파72).	코스/NNG+(/SS+파/NNG+72/SN+)/SS+./SF


# id : NWRW1800000054.253.4.2
공동 2위로 출발한 박인비는 버디 7개, 더블보기 1개로 5타를 줄여 중간 합계 10언더파 134타로 2위 그룹을 1타 차이로 제쳤다.

공동	공동/NNG
2위로	2/SN+위/NNB+로/JKB
출발한	출발/NNG+하/XSV+ㄴ/ETM
박인비는	박인비/NNP+는/JX
버디	버디/NNG
7개,	7/SN+개/NNB+,/SP
더블보기	더블/NNG+보기/NNG
1개로	1/SN+개/NNB+로/JKB
5타를	5/SN+타/NNG+를/JKO
줄여	줄이/VV+어/EC
중간	중간/NNG
합계	합계/NNG
10언더파	10/SN+언더/NNG+파/NNG
134타로	134/SN+타/NNG+로/JKB
2위	2/SN+위/NNB
그룹을	그룹/NNG+을/JKO
1타	1/SN+타/NNG
