# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.341
metadata : {}


# id : NWRW1800000026.341.1.1
[부산·경남] 경남도 특위 "낙동강 사업 반대" 결론;"보 건설 등 수질악화" 주장 특위 대부분 '4대강' 반대파

[부산·경남]	[/SS+부산/NNP+·/SP+경남/NNP+]/SS
경남도	경남도/NNP
특위	특위/NNG
"낙동강	"/SS+낙동강/NNP
사업	사업/NNG
반대"	반대/NNG+"/SS
결론;"보	결론/NNG+;/SW+"/SS+보/NNG
건설	건설/NNG
등	등/NNB
수질악화"	수질/NNG+악화/NNG+"/SS
주장	주장/NNG
대부분	대/XPN+부분/NNG
'4대강'	'/SS+4/SN+대/NNG+강/NNG+'/SS
반대파	반대파/NNG


# id : NWRW1800000026.341.2.1
경남도 산하 낙동강사업특별위원회는 "보 건설과 대규모 준설사업은 실효성이 전혀 없으며, 오히려 수질을 악화시킨다는 결론을 얻었다"고 14일 밝혔다.

경남도	경남도/NNP
산하	산하/NNG
낙동강사업특별위원회는	낙동강사업특별위원회/NNP+는/JX
"보	"/SS+보/NNG
건설과	건설/NNG+과/JC
대규모	대/XPN+규모/NNG
준설사업은	준설/NNG+사업/NNG+은/JX
실효성이	실효/NNG+성/XSN+이/JKS
전혀	전혀/MAG
없으며,	없/VA+으며/EC+,/SP
오히려	오히려/MAG
수질을	수질/NNG+을/JKO
악화시킨다는	악화/NNG+시키/XSV+ㄴ다는/ETM
결론을	결론/NNG+을/JKO
얻었다"고	얻/VV+었/EP+다/EF+"/SS+고/JKQ
14일	14/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.341.2.2
예상대로 낙동강 사업에 대한 반대 입장을 명확히 한 것이다.

예상대로	예상/NNG+대로/JX
낙동강	낙동강/NNP
사업에	사업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
반대	반대/NNG
입장을	입장/NNG+을/JKO
명확히	명확히/MAG
한	하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.341.3.1
