# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.202
metadata : {}


# id : NWRW1800000045.202.1.1
관공서 公示에 이름-주소 줄줄 샌다

관공서	관공서/NNG
公示에	公示/SH+에/JKB
이름-주소	이름/NNG+-/SO+주소/NNG
줄줄	줄줄/MAG
샌다	새/VV+ㄴ다/EF


# id : NWRW1800000045.202.2.1
개인정보, 지자체 홈페이지에 버젓이…

개인정보,	개인/NNG+정보/NNG+,/SP
지자체	지자체/NNG
홈페이지에	홈페이지/NNG+에/JKB
버젓이…	버젓이/MAG+…/SE


# id : NWRW1800000045.202.3.1
최근 한 자동차 관련 인터넷 커뮤니티에는 ‘지방자치단체 홈페이지에서 내 개인정보가 담긴 문서를 찾았다’는 글이 올라왔다.

최근	최근/MAG
한	한/MMN
자동차	자동차/NNG
관련	관련/NNG
인터넷	인터넷/NNG
커뮤니티에는	커뮤니티/NNG+에/JKB+는/JX
‘지방자치단체	‘/SS+지방/NNG+자치/NNG+단체/NNG
홈페이지에서	홈페이지/NNG+에서/JKB
내	나/NP+의/JKG
개인정보가	개인/NNG+정보/NNG+가/JKS
담긴	담기/VV+ㄴ/ETM
문서를	문서/NNG+를/JKO
찾았다’는	찾/VV+았/EP+다/EF+’/SS+는/ETM
글이	글/NNG+이/JKS
올라왔다.	올라오/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.202.3.2
이 문서에는 게시자의 성명과 차량번호, 주소가 정확히 적혀 있었다.

이	이/MMD
문서에는	문서/NNG+에/JKB+는/JX
게시자의	게시자/NNG+의/JKG
성명과	성명/NNG+과/JC
차량번호,	차량/NNG+번호/NNG+,/SP
주소가	주소/NNG+가/JKS
정확히	정확히/MAG
적혀	적히/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000045.202.3.3
해당 지자체에서 주·정차 위반 과태료 관련 공시송달 목적으로 올려놓은 자료였다.

해당	해당/NNG
지자체에서	지자체/NNG+에서/JKB
주·정차	주·정차/NNG
위반	위반/NNG
과태료	과태료/NNG
관련	관련/NNG
공시송달	공시/NNG+송달/NNG
목적으로	목적/NNG+으로/JKB
올려놓은	올려놓/VV+은/ETM
자료였다.	자료/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.202.4.1
공시송달은 중앙부처나 지자체가 고지서 같은 서류를 개인과 법인에 전달하지 못했을 때 외부 게시판이나 홈페이지 등에 게재하는 것을 말한다.

공시송달은	공시/NNG+송달/NNG+은/JX
중앙부처나	중앙/NNG+부처/NNG+나/JC
지자체가	지자체/NNG+가/JKS
고지서	고지서/NNG
같은	같/VA+은/ETM
서류를	서류/NNG+를/JKO
개인과	개인/NNG+과/JC
법인에	법인/NNG+에/JKB
전달하지	전달/NNG+하/XSV+지/EC
못했을	못하/VX+았/EP+을/ETM
때	때/NNG
외부	외부/NNG
게시판이나	게시판/NNG+이나/JC
홈페이지	홈페이지/NNG
등에	등/NNB+에/JKB
게재하는	게재/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.202.4.2
수령자가 거주지에 부재중이거나 주소가 확실하지 않아 직접 전달하지 못한 대신에 일정 기간 공시함으로써 서류를 전달한 것과 같은 효과를 거두는 절차다.

수령자가	수령자/NNG+가/JKS
거주지에	거주지/NNG+에/JKB
부재중이거나	부재중/NNG+이/VCP+거나/EC
주소가	주소/NNG+가/JKS
확실하지	확실하/VA+지/EC
않아	않/VX+아/EC
직접	직접/MAG
전달하지	전달/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
대신에	대신/NNG+에/JKB
일정	일정/NNG
기간	기간/NNG
공시함으로써	공시/NNG+하/XSV+ㅁ/ETN+으로써/JKB
서류를	서류/NNG+를/JKO
전달한	전달/NNG+하/XSV+ㄴ/ETM
것과	것/NNB+과/JKB
