# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.77
metadata : {}


# id : NWRW1800000026.77.1.1
[남아공 월드컵 100일 앞으로] [한국이 속한 B조 최강팀 '아르헨티나' 현지 취재] (1) "16강?… 우리는 우승만 생각한다"

[남아공	[/SS+남아공/NNP
월드컵	월드컵/NNG
100일	100/SN+일/NNB
앞으로]	앞/NNG+으로/JKB+]/SS
[한국이	[/SS+한국/NNP+이/JKS
속한	속하/VV+ㄴ/ETM
B조	B/SL+조/NNG
최강팀	최/XPN+강팀/NNG
'아르헨티나'	'/SS+아르헨티나/NNP+'/SS
현지	현지/NNG
취재]	취재/NNG+]/SS
(1)	(/SS+1/SN+)/SS
"16강?…	"/SS+16/SN+강/NNB+?/SF+…/SE
우리는	우리/NP+는/JX
우승만	우승/NNG+만/JX
생각한다"	생각/NNG+하/XSV+ㄴ다/EF+"/SS


# id : NWRW1800000026.77.2.1
이제는 월드컵이다.

이제는	이제/NNG+는/JX
월드컵이다.	월드컵/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.77.2.2
지구촌 최대의 잔치 남아공월드컵 축구대회(6월 11일 개막)가 100일 앞으로 다가왔다.

지구촌	지구촌/NNG
최대의	최대/NNG+의/JKG
잔치	잔치/NNG
남아공월드컵	남아공/NNP+월드컵/NNG
축구대회(6월	축구/NNG+대회/NNG+(/SS+6/SN+월/NNB
11일	11/SN+일/NNB
개막)가	개막/NNG+)/SS+가/JKS
100일	100/SN+일/NNB
앞으로	앞/NNG+으로/JKB
다가왔다.	다가오/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.77.2.3
아르헨티나 나이지리아 그리스와 함께 B조에 속한 한국 축구 대표팀은 사상 첫 '원정 16강' 진출을 목표로 하고 있다.

아르헨티나	아르헨티나/NNP
나이지리아	나이지리아/NNP
그리스와	그리스/NNP+와/JKB
함께	함께/MAG
B조에	B/SL+조/NNG+에/JKB
속한	속하/VV+ㄴ/ETM
한국	한국/NNP
축구	축구/NNG
대표팀은	대표/NNG+팀/NNG+은/JX
사상	사상/NNG
첫	첫/MMN
'원정	'/SS+원정/NNG
16강'	16/SN+강/NNB+'/SS
진출을	진출/NNG+을/JKO
목표로	목표/NNG+로/JKB
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.77.2.4
가장 큰 장애물은 바로 남미 전통의 강호 아르헨티나이다.

가장	가장/MAG
큰	크/VA+ㄴ/ETM
장애물은	장애물/NNG+은/JX
바로	바로/MAG
남미	남미/NNP
전통의	전통/NNG+의/JKG
강호	강호/NNG
아르헨티나이다.	아르헨티나/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000026.77.2.5
한국은 6월 12일 그리스전에 이어 17일 오후 8시30분(한국시각) 아르헨티나를 상대로 B조 두 번째 경기를 갖는다.

한국은	한국/NNP+은/JX
6월	6/SN+월/NNB
12일	12/SN+일/NNB
그리스전에	그리스전/NNG+에/JKB
이어	잇/VV+어/EC
17일	17/SN+일/NNB
오후	오후/NNG
8시30분(한국시각)	8/SN+시/NNB+30/SN+분/NNB+(/SS+한국/NNP+시각/NNG+)/SS
아르헨티나를	아르헨티나/NNP+를/JKO
상대로	상대/NNG+로/JKB
B조	B/SL+조/NNG
두	두/MMN
번째	번/NNB+째/XSN
경기를	경기/NNG+를/JKO
갖는다.	갖/VV+는다/EF+./SF


# id : NWRW1800000026.77.2.6
FIFA 파트너인 코카콜라 후원으로 지난달 10~19일까지 아르헨티나 수도 부에노스아이레스를 찾아 아르헨티나 축구의 힘을 취재했다.

FIFA	FIFA/SL
파트너인	파트너/NNG+이/VCP+ㄴ/ETM
코카콜라	코카콜라/NNP
후원으로	후원/NNG+으로/JKB
지난달	지난달/NNG
10~19일까지	10/SN+~/SO+19/SN+일/NNB+까지/JX
아르헨티나	아르헨티나/NNP
수도	수도/NNG
부에노스아이레스를	부에노스아이레스/NNP+를/JKO
찾아	찾/VV+아/EC
축구의	축구/NNG+의/JKG
힘을	힘/NNG+을/JKO
취재했다.	취재/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.77.3.1
"아르헨티나 축구를 알고 싶다면 보카 주니어스를 보라"는 말이 있다.

"아르헨티나	"/SS+아르헨티나/NNP
축구를	축구/NNG+를/JKO
알고	알/VV+고/EC
싶다면	싶/VX+다면/EC
보카	보카/NNP
