# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.354
metadata : {}


# id : NWRW1800000056.354.1.1
“투표용지는 한 종류” 선관위 확인에도 이어지는 의혹제기

“투표용지는	“/SS+투표용지/NNG+는/JX
한	한/MMN
종류”	종류/NNG+”/SS
선관위	선관위/NNG
확인에도	확인/NNG+에/JKB+도/JX
이어지는	이어지/VV+는/ETM
의혹제기	의혹/NNG+제기/NNG


# id : NWRW1800000056.354.2.1
선관위 “투표용지 관련 허위사실 유포 검찰 고발”

선관위	선관위/NNG
“투표용지	“/SS+투표용지/NNG
관련	관련/NNG
허위사실	허위/NNG+사실/NNG
유포	유포/NNG
검찰	검찰/NNG
고발”	고발/NNG+”/SS


# id : NWRW1800000056.354.3.1
전문가 “조기대선 변화 기대 좌절될까 불안감 반영”

전문가	전문가/NNG
“조기대선	“/SS+조기/NNG+대선/NNG
변화	변화/NNG
기대	기대/NNG
좌절될까	좌절/NNG+되/XSV+ㄹ까/EF
불안감	불안감/NNG
반영”	반영/NNG+”/SS


# id : NWRW1800000056.354.4.1
표창원 “투표 관리 불신에 대한 책임은 선관위에”

표창원	표창원/NNP
“투표	“/SS+투표/NNG
관리	관리/NNG
불신에	불신/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
책임은	책임/NNG+은/JX
선관위에”	선관위/NNG+에/JKB+”/SS


# id : NWRW1800000056.354.5.1
제19대 대통령 선거 사전투표 용지의 유형이 두개라는 주장이 인터넷을 중심으로 급속히 번져가고 있다.

제19대	제/XPN+19/SN+대/NNB
대통령	대통령/NNG
선거	선거/NNG
사전투표	사전/NNG+투표/NNG
용지의	용지/NNG+의/JKG
유형이	유형/NNG+이/JKS
두개라는	두/MMN+개/NNB+이/VCP+라는/ETM
주장이	주장/NNG+이/JKS
인터넷을	인터넷/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
급속히	급속히/MAG
번져가고	번지/VV+어/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.354.5.2
중앙선거관리위원회가 5일 ‘가짜 뉴스’라며 관련 주장을 편 누리꾼들을 고발했지만 파장은 쉬이 가라앉지 않고 있다.

중앙선거관리위원회가	중앙/NNG+선거/NNG+관리/NNG+위원회/NNG+가/JKS
5일	5/SN+일/NNB
‘가짜	‘/SS+가짜/NNG
