# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.13
metadata : {}


# id : NWRW1800000046.13.1.1
[깨알지식] 최저時給, 한국은 5580원… 호주는 1만4000원

[깨알지식]	[/SS+깨알/NNG+지식/NNG+]/SS
최저時給,	최저/NNG+時給/SH+,/SP
한국은	한국/NNP+은/JX
5580원…	5580/SN+원/NNB+…/SE
호주는	호주/NNP+는/JX
1만4000원	1/SN+만/NR+4000/SN+원/NNB


# id : NWRW1800000046.13.2.1
최근 미국 유통업체 월마트가 시간당 최저임금을 현행 7.25달러에서 오는 4월 9달러로 인상하겠다는 계획을 밝혔다.

최근	최근/MAG
미국	미국/NNP
유통업체	유통업체/NNG
월마트가	월마트/NNP+가/JKS
시간당	시간/NNG+당/XSN
최저임금을	최저/NNG+임금/NNG+을/JKO
현행	현행/NNG
7.25달러에서	7/SN+./SP+25/SN+달러/NNB+에서/JKB
오는	오/VV+는/ETM
4월	4/SN+월/NNB
9달러로	9/SN+달러/NNB+로/JKB
인상하겠다는	인상/NNG+하/XSV+겠/EP+다는/ETM
계획을	계획/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.13.2.2
다른 나라에선 시간당 최저임금을 얼마나 받을까.

다른	다른/MMD
나라에선	나라/NNG+에서/JKB+ㄴ/JX
시간당	시간/NNG+당/XSN
최저임금을	최저/NNG+임금/NNG+을/JKO
얼마나	얼마/NNG+나/JX
받을까.	받/VV+을까/EF+./SF


# id : NWRW1800000046.13.3.1
가장 후한 나라로 호주가 꼽힌다.

가장	가장/MAG
후한	후하/VA+ㄴ/ETM
나라로	나라/NNG+로/JKB
호주가	호주/NNP+가/JKS
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.13.3.2
호주 공정노동위원회가 책정한 올해 시간당 최저임금은 16.87 호주달러(약 1만4000원)다.

호주	호주/NNP
공정노동위원회가	공정/NNG+노동/NNG+위원회/NNG+가/JKS
책정한	책정/NNG+하/XSV+ㄴ/ETM
올해	올해/NNG
시간당	시간/NNG+당/XSN
최저임금은	최저/NNG+임금/NNG+은/JX
16.87	16/SN+./SP+87/SN
호주달러(약	호주/NNP+달러/NNB+(/SS+약/MMA
1만4000원)다.	1/SN+만/NR+4000/SN+원/NNB+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000046.13.3.3
같은 시간을 일해도 한국(5580원)의 세 배 가까이 받는 셈이다.

같은	같/VA+은/ETM
시간을	시간/NNG+을/JKO
일해도	일/NNG+하/XSV+아도/EC
한국(5580원)의	한국/NNP+(/SS+5580/SN+원/NNB+)/SS+의/JKG
세	세/MMN
배	배/NNG
가까이	가까이/MAG
받는	받/VV+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.13.3.4
그러나 소득 수준이나 물가 등을 고려하지 않고 산술적으로 비교하는 것은 무리라는 지적도 있다.

그러나	그러나/MAJ
소득	소득/NNG
수준이나	수준/NNG+이나/JC
물가	물가/NNG
등을	등/NNB+을/JKO
고려하지	고려/NNG+하/XSV+지/EC
않고	않/VX+고/EC
산술적으로	산술/NNG+적/XSN+으로/JKB
비교하는	비교/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
무리라는	무리/NNG+이/VCP+라는/ETM
지적도	지적/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.13.3.5
작년 기준 호주의 1인당 GDP는 6만2822달러로 한국(2만8739달러)의 2.2배다.

작년	작년/NNG
기준	기준/NNG
호주의	호주/NNP+의/JKG
1인당	1/SN+인/NNG+당/XSN
GDP는	GDP/SL+는/JX
6만2822달러로	6/SN+만/NR+2822/SN+달러/NNB+로/JKB
한국(2만8739달러)의	한국/NNP+(/SS+2/SN+만/NR+8739/SN+달러/NNB+)/SS+의/JKG
2.2배다.	2/SN+./SP+2/SN+배/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.13.4.1
영국은 시간당 최저임금을 연령대별로 세분화했는데, 21세 이상 성인은 6.5파운드(약 1만1000원), 18~20세 청년은 5.13파운드(약 8700원), 18세 미만 청소년은 3.79파운드(약 6400원)를 받는다.

영국은	영국/NNP+은/JX
시간당	시간/NNG+당/XSN
최저임금을	최저/NNG+임금/NNG+을/JKO
연령대별로	연령대/NNG+별/XSN+로/JKB
세분화했는데,	세분/NNG+화/XSN+하/XSV+았/EP+는데/EC+,/SP
21세	21/SN+세/NNB
이상	이상/NNG
성인은	성인/NNG+은/JX
6.5파운드(약	6/SN+./SP+5/SN+파운드/NNB+(/SS+약/MMA
1만1000원),	1/SN+만/NR+1000/SN+원/NNB+)/SS+,/SP
18~20세	18/SN+~/SO+20/SN+세/NNB
청년은	청년/NNG+은/JX
5.13파운드(약	5/SN+./SP+13/SN+파운드/NNB+(/SS+약/MMA
8700원),	8700/SN+원/NNB+)/SS+,/SP
18세	18/SN+세/NNB
미만	미만/NNG
청소년은	청소년/NNG+은/JX
3.79파운드(약	3/SN+./SP+79/SN+파운드/NNB+(/SS+약/MMA
6400원)를	6400/SN+원/NNB+)/SS+를/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000046.13.4.2
지난해 최저임금제를 처음 도입한 독일은 8.5유로(약 1만600원)로 한국의 배 수준이다.

지난해	지난해/NNG
최저임금제를	최저/NNG+임금/NNG+제/XSN+를/JKO
처음	처음/NNG
도입한	도입/NNG+하/XSV+ㄴ/ETM
독일은	독일/NNP+은/JX
8.5유로(약	8/SN+./SP+5/SN+유로/NNB+(/SS+약/MMA
1만600원)로	1/SN+만/NR+600/SN+원/NNB+)/SS+로/JKB
한국의	한국/NNP+의/JKG
배	배/NNG
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.13.5.1
최저임금이 지역별로 다른 나라들도 있다.

최저임금이	최저/NNG+임금/NNG+이/JKS
지역별로	지역/NNG+별/XSN+로/JKB
다른	다른/MMD
