# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.349
metadata : {}


# id : NWRW1800000025.349.1.1
해운사 10년새 6배로 급증

해운사	해운사/NNG
10년새	10/SN+년/NNB+새/NNG
6배로	6/SN+배/NNG+로/JKB
급증	급증/NNG


# id : NWRW1800000025.349.2.1
국내 해운업체들의 모임인 한국선주협회에는 최근 2, 3년 사이 과거에는 생각하지 못한 일들이 발생했다.

국내	국내/NNG
해운업체들의	해운업체/NNG+들/XSN+의/JKG
모임인	모임/NNG+이/VCP+ㄴ/ETM
한국선주협회에는	한국선주협회/NNP+에/JKB+는/JX
최근	최근/MAG
2,	2/SN+,/SP
3년	3/SN+년/NNB
사이	사이/NNG
과거에는	과거/NNG+에/JKB+는/JX
생각하지	생각/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
일들이	일/NNG+들/XSN+이/JKS
발생했다.	발생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.349.2.2
협회 산하에 구성된 각종 협의회에 포함시켜 달라는 신생 해운업체들의 요구가 늘어난 것.

협회	협회/NNG
산하에	산하/NNG+에/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
각종	각종/NNG
협의회에	협의회/NNG+에/JKB
포함시켜	포함/NNG+시키/XSV+어/EC
달라는	달/VX+라는/ETM
신생	신생/NNG
해운업체들의	해운업체/NNG+들/XSN+의/JKG
요구가	요구/NNG+가/JKS
늘어난	늘어나/VV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000025.349.3.1
2일 한국선주협회에 따르면 2000년에 33개에 불과하던 해운업체가 10년 동안 193개까지 늘어났다.

2일	2/SN+일/NNB
한국선주협회에	한국선주협회/NNP+에/JKB
따르면	따르/VV+면/EC
2000년에	2000/SN+년/NNB+에/JKB
33개에	33/SN+개/NNB+에/JKB
불과하던	불과/MAG+하/XSA+던/ETM
해운업체가	해운업체/NNG+가/JKS
10년	10/SN+년/NNB
동안	동안/NNG
193개까지	193/SN+개/NNB+까지/JX
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.349.3.2
특히 2007년 말 129개였던 해운업체는 2008년부터 지금까지 64개가 새로 생겨 폭발적인 증가 양상을 보이고 있다.

특히	특히/MAG
2007년	2007/SN+년/NNB
말	말/NNB
129개였던	129/SN+개/NNB+이/VCP+었/EP+던/ETM
해운업체는	해운업체/NNG+는/JX
2008년부터	2008/SN+년/NNB+부터/JX
지금까지	지금/NNG+까지/JX
64개가	64/SN+개/NNB+가/JKS
새로	새로/MAG
생겨	생기/VV+어/EC
폭발적인	폭발/NNG+적/XSN+이/VCP+ㄴ/ETM
증가	증가/NNG
양상을	양상/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.349.3.3
협회는 지난달 30일 “현재 협회 가입 심사 중인 업체까지 포함해 회원사는 총 193개”라며 “회원사가 10년 만에 6배로 늘어났다”고 밝혔다.

협회는	협회/NNG+는/JX
지난달	지난달/NNG
30일	30/SN+일/NNB
“현재	“/SS+현재/MAG
협회	협회/NNG
가입	가입/NNG
심사	심사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
업체까지	업체/NNG+까지/JX
포함해	포함/NNG+하/XSV+아/EC
회원사는	회원사/NNG+는/JX
총	총/MMA
193개”라며	193/SN+개/NNB+”/SS+이/VCP+라며/EC
“회원사가	“/SS+회원사/NNG+가/JKS
10년	10/SN+년/NNB
만에	만/NNB+에/JKB
6배로	6/SN+배/NNG+로/JKB
늘어났다”고	늘어나/VV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.349.4.1
협회 관계자는 “2005년까지만 하더라도 배 한두 척으로 영업하는 해운업체는 대여섯 곳에 불과했는데 최근 몇 년 사이 해운업체들이 폭발적으로 증가하면서 배 한두 척으로 영업하는 회사가 부쩍 늘었다”고 말했다.

협회	협회/NNG
관계자는	관계자/NNG+는/JX
“2005년까지만	“/SS+2005/SN+년/NNB+까지/JX+만/JX
하더라도	하/VV+더라도/EC
배	배/NNG
한두	한두/MMN
척으로	척/NNB+으로/JKB
영업하는	영업/NNG+하/XSV+는/ETM
해운업체는	해운업체/NNG+는/JX
대여섯	대여섯/NR
곳에	곳/NNG+에/JKB
불과했는데	불과/MAG+하/XSA+았/EP+는데/EC
최근	최근/MAG
몇	몇/NR
년	년/NNB
사이	사이/NNG
해운업체들이	해운업체/NNG+들/XSN+이/JKS
폭발적으로	폭발/NNG+적/XSN+으로/JKB
증가하면서	증가/NNG+하/XSV+면서/EC
회사가	회사/NNG+가/JKS
부쩍	부쩍/MAG
늘었다”고	늘/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.349.5.1
해운업체가 늘어나다 보니 한국이 보유한 선박 수와 선박의 총 화물적재중량톤수(DWT)도 크게 증가했다.

해운업체가	해운업체/NNG+가/JKS
늘어나다	늘어나/VV+다/EC
보니	보/VX+니/EC
한국이	한국/NNP+이/JKS
보유한	보유/NNG+하/XSV+ㄴ/ETM
선박	선박/NNG
수와	수/NNG+와/JC
선박의	선박/NNG+의/JKG
총	총/MMA
화물적재중량톤수(DWT)도	화물/NNG+적재/NNG+중량/NNG+톤수/NNG+(/SS+DWT/SL+)/SS+도/JX
크게	크/VA+게/EC
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.349.5.2
1991년 기준으로 한국은 선박 627척을 보유하고 1777만 DWT를 확보해 전 세계 9위를 기록했다.

1991년	1991/SN+년/NNB
기준으로	기준/NNG+으로/JKB
한국은	한국/NNP+은/JX
선박	선박/NNG
627척을	627/SN+척/NNB+을/JKO
보유하고	보유/NNG+하/XSV+고/EC
1777만	1777/SN+만/NR
DWT를	DWT/SL+를/JKO
확보해	확보/NNG+하/XSV+아/EC
전	전/MMN
세계	세계/NNG
9위를	9/SN+위/NNB+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.349.5.3
18년이 지난 2009년 1월에는 1083척 보유에 3801만 DWT로 두 계단 상승했고, 올해 1월에는 1121척 보유에 4436만 DWT로 세계 5위에 올랐다.

18년이	18/SN+년/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
2009년	2009/SN+년/NNB
1월에는	1/SN+월/NNB+에/JKB+는/JX
1083척	1083/SN+척/NNB
보유에	보유/NNG+에/JKB
3801만	3801/SN+만/NR
DWT로	DWT/SL+로/JKB
두	두/MMN
계단	계단/NNG
상승했고,	상승/NNG+하/XSV+았/EP+고/EC+,/SP
올해	올해/NNG
1121척	1121/SN+척/NNB
4436만	4436/SN+만/NR
세계	세계/NNG
5위에	5/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.349.5.4
1위는 3120척의 배를 보유하고 1억8754만 DWT를 확보하고 있는 그리스가 차지했으며, 2위는 일본으로 3668척 보유에 1억8319만 DWT였다.

1위는	1/SN+위/NNB+는/JX
3120척의	3120/SN+척/NNB+의/JKG
배를	배/NNG+를/JKO
보유하고	보유/NNG+하/XSV+고/EC
1억8754만	1/SN+억/NR+8754/SN+만/NR
DWT를	DWT/SL+를/JKO
확보하고	확보/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
그리스가	그리스/NNP+가/JKS
차지했으며,	차지/NNG+하/XSV+았/EP+으며/EC+,/SP
2위는	2/SN+위/NNB+는/JX
일본으로	일본/NNP+으로/JKB
3668척	3668/SN+척/NNB
보유에	보유/NNG+에/JKB
1억8319만	1/SN+억/NR+8319/SN+만/NR
DWT였다.	DWT/SL+이/VCP+었/EP+다/EF+./SF
