# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.285
metadata : {}


# id : NWRW1800000048.285.1.1
국민TV 새 이사장에 현상윤씨

국민TV	국민TV/NNP
새	새/MMA
이사장에	이사장/NNG+에/JKB
현상윤씨	현상윤/NNP+씨/NNB


# id : NWRW1800000048.285.2.1
노조원 징계, 제작거부 등으로 내홍을 겪던 미디어협동조합 <국민티브이(TV)>가 현상윤(59) 새언론포럼 회장을 신임 이사장으로 선출했다.

노조원	노조원/NNG
징계,	징계/NNG+,/SP
제작거부	제작/NNG+거부/NNG
등으로	등/NNB+으로/JKB
내홍을	내홍/NNG+을/JKO
겪던	겪/VV+던/ETM
미디어협동조합	미디어/NNG+협동조합/NNG
<국민티브이(TV)>가	</SS+국민티브이/NNP+(/SS+TV/SL+)/SS+>/SS+가/JKS
현상윤(59)	현상윤/NNP+(/SS+59/SN+)/SS
새언론포럼	새/MMA+언론/NNG+포럼/NNG
회장을	회장/NNG+을/JKO
신임	신임/NNG
이사장으로	이사장/NNG+으로/JKB
선출했다.	선출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.285.3.1
국민티브이는 30일 조합원 게시판에 공지를 올려 “29일 임시대의원총회 결과 현상윤 이사가 새 이사장으로 당선됐다”고 밝혔다.

국민티브이는	국민티브이/NNP+는/JX
30일	30/SN+일/NNB
조합원	조합원/NNG
게시판에	게시판/NNG+에/JKB
공지를	공지/NNG+를/JKO
올려	올리/VV+어/EC
“29일	“/SS+29/SN+일/NNB
임시대의원총회	임시/NNG+대의원/NNG+총회/NNG
결과	결과/NNG
현상윤	현상윤/NNP
이사가	이사/NNG+가/JKS
새	새/MMA
이사장으로	이사장/NNG+으로/JKB
당선됐다”고	당선/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.285.3.2
현 이사장은 1985년 <한국방송>(KBS) 프로듀서(PD)로 입사해 1999년 케이비에스 노조위원장과 2002년 전국언론노동조합 수석부위원장을 지냈다.

현	현/NNP
이사장은	이사장/NNG+은/JX
