# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.365
metadata : {}


# id : NWRW1800000033.365.1.1
[네거티브에 빠진 대선]朴 vs 文 과거사 난타전에 安 어부지리

[네거티브에	[/SS+네거티브/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
대선]朴	대선/NNG+]/SS+朴/SH
vs	vs/SL
文	文/SH
과거사	과거사/NNG
난타전에	난타전/NNG+에/JKB
安	安/SH
어부지리	어부지리/NNG


# id : NWRW1800000033.365.2.1
제3지대 ‘새 정치’ 이미지 부각… NLL논란후 홀로 지지율 상승

제3지대	제/XPN+3/SN+지대/NNG
‘새	‘/SS+새/MMA
정치’	정치/NNG+’/SS
이미지	이미지/NNG
부각…	부각/NNG+…/SE
NLL논란후	NLL/SL+논란/NNG+후/NNG
홀로	홀로/MAG
지지율	지지/NNG+율/XSN
상승	상승/NNG


# id : NWRW1800000033.365.3.1
과거사를 둘러싼 새누리당과 민주통합당의 진흙탕 싸움이 갈수록 격해지면서 무소속 안철수 후보가 어부지리를 얻는 양상이다.

과거사를	과거사/NNG+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
새누리당과	새누리당/NNP+과/JC
민주통합당의	민주통합당/NNP+의/JKG
진흙탕	진흙탕/NNG
싸움이	싸움/NNG+이/JKS
갈수록	갈수록/MAG
격해지면서	격하/VA+아/EC+지/VX+면서/EC
무소속	무/XPN+소속/NNG
안철수	안철수/NNP
후보가	후보/NNG+가/JKS
어부지리를	어부지리/NNG+를/JKO
얻는	얻/VV+는/ETM
양상이다.	양상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.365.3.2
노무현 전 대통령의 북방한계선(NLL) 포기 발언 의혹과 정수장학회를 둘러싼 논란은 이제 당 차원을 넘었다.

노무현	노무현/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
북방한계선(NLL)	북방/NNG+한계선/NNG+(/SS+NLL/SL+)/SS
포기	포기/NNG
발언	발언/NNG
의혹과	의혹/NNG+과/JC
정수장학회를	정수장학회/NNP+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
논란은	논란/NNG+은/JX
이제	이제/MAG
당	당/NNG
차원을	차원/NNG+을/JKO
넘었다.	넘/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.365.3.3
박근혜, 문재인 후보까지 직접 흙탕물에 발을 담그고 치열한 다툼을 벌이며 서로 상처를 입고 안 후보만 제3지대에서 ‘새 정치’ 이미지를 굳혀가고 있는 것.

박근혜,	박근혜/NNP+,/SP
문재인	문재인/NNP
후보까지	후보/NNG+까지/JX
직접	직접/MAG
흙탕물에	흙탕물/NNG+에/JKB
발을	발/NNG+을/JKO
담그고	담그/VV+고/EC
치열한	치열/NNG+하/XSA+ㄴ/ETM
다툼을	다툼/NNG+을/JKO
벌이며	벌이/VV+며/EC
서로	서로/MAG
상처를	상처/NNG+를/JKO
입고	입/VV+고/EC
안	안/NNP
후보만	후보/NNG+만/JX
제3지대에서	제/XPN+3/SN+지대/NNG+에서/JKB
‘새	‘/SS+새/MMA
정치’	정치/NNG+’/SS
이미지를	이미지/NNG+를/JKO
굳혀가고	굳히/VV+어/EC+가/VX+고/EC
있는	있/VX+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000033.365.4.1
기성 정당정치와 다른 새로운 정치를 전면에 내걸고 출마를 선언한 안 후보로서는 지금의 여야 공방을 내심 즐기고 있다.

기성	기성/NNG
정당정치와	정당/NNG+정치/NNG+와/JKB
다른	다르/VA+ㄴ/ETM
새로운	새롭/VA+ㄴ/ETM
정치를	정치/NNG+를/JKO
전면에	전면/NNG+에/JKB
내걸고	내걸/VV+고/EC
출마를	출마/NNG+를/JKO
선언한	선언/NNG+하/XSV+ㄴ/ETM
안	안/NNP
후보로서는	후보/NNG+로서/JKB+는/JX
지금의	지금/NNG+의/JKG
여야	여야/NNG
공방을	공방/NNG+을/JKO
내심	내심/NNG
즐기고	즐기/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.365.4.2
대선 구도가 안 후보 측의 전략대로 ‘낡은 정치’ 대 ‘새 정치’ 프레임으로 갈 수 있다는 점에서다.

대선	대선/NNG
구도가	구도/NNG+가/JKS
안	안/NNP
후보	후보/NNG
측의	측/NNB+의/JKG
전략대로	전략/NNG+대로/JX
‘낡은	‘/SS+낡/VV+은/ETM
정치’	정치/NNG+’/SS
대	대/NNB
‘새	‘/SS+새/MMA
프레임으로	프레임/NNG+으로/JKB
갈	가/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점에서다.	점/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000033.365.4.3
실제 서해 북방한계선(NLL) 논란 이후 각종 여론조사를 살펴보면 박근혜, 문재인 후보의 지지율은 조금씩 하락했지만 안철수 후보는 소폭 상승한 것으로 나타나고 있다.

실제	실제/NNG
서해	서해/NNP
북방한계선(NLL)	북방/NNG+한계선/NNG+(/SS+NLL/SL+)/SS
논란	논란/NNG
이후	이후/NNG
각종	각종/NNG
여론조사를	여론/NNG+조사/NNG+를/JKO
살펴보면	살펴보/VV+면/EC
박근혜,	박근혜/NNP+,/SP
문재인	문재인/NNP
후보의	후보/NNG+의/JKG
지지율은	지지/NNG+율/XSN+은/JX
조금씩	조금/NNG+씩/XSN
하락했지만	하락/NNG+하/XSV+았/EP+지만/EC
안철수	안철수/NNP
후보는	후보/NNG+는/JX
소폭	소폭/NNG
상승한	상승/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타나고	나타나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.365.5.1
이 때문인지 안 후보는 박, 문 후보와는 다른 행보를 하고 있다.

이	이/MMD
때문인지	때문/NNB+이/VCP+ㄴ지/EC
안	안/NNP
후보는	후보/NNG+는/JX
박,	박/NNP+,/SP
문	문/NNP
후보와는	후보/NNG+와/JKB+는/JX
다른	다르/VA+ㄴ/ETM
행보를	행보/NNG+를/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.365.5.2
안 후보 측이 NLL과 정수장학회 공방에서 아예 빠져 있는 것은 아니지만 공세는 캠프에서 하고 후보는 긍정적 메시지를 던지는 식으로 역할분담을 하고 있는 것이다.

안	안/NNP
후보	후보/NNG
측이	측/NNB+이/JKS
NLL과	NLL/SL+과/JC
정수장학회	정수장학회/NNP
공방에서	공방/NNG+에서/JKB
아예	아예/MAG
빠져	빠지/VV+어/EC
있는	있/VX+는/ETM
것은	것/NNB+은/JX
아니지만	아니/VCN+지만/EC
공세는	공세/NNG+는/JX
캠프에서	캠프/NNG+에서/JKB
하고	하/VV+고/EC
후보는	후보/NNG+는/JX
긍정적	긍정/NNG+적/XSN
메시지를	메시지/NNG+를/JKO
던지는	던지/VV+는/ETM
식으로	식/NNB+으로/JKB
역할분담을	역할/NNG+분담/NNG+을/JKO
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.365.5.3
안 후보는 혁신경제, 재벌개혁, 정치쇄신, 일자리 공약 발표에 이어 11월 초까지 차근차근 공약을 앞세운 정책 대선을 이끌며 국민들의 표심을 잡겠다는 계획이다.

안	안/NNP
후보는	후보/NNG+는/JX
혁신경제,	혁신/NNG+경제/NNG+,/SP
재벌개혁,	재벌/NNG+개혁/NNG+,/SP
정치쇄신,	정치/NNG+쇄신/NNG+,/SP
일자리	일자리/NNG
공약	공약/NNG
발표에	발표/NNG+에/JKB
이어	잇/VV+어/EC
11월	11/SN+월/NNB
초까지	초/NNB+까지/JX
차근차근	차근차근/MAG
공약을	공약/NNG+을/JKO
앞세운	앞세우/VV+ㄴ/ETM
정책	정책/NNG
대선을	대선/NNG+을/JKO
이끌며	이끌/VV+며/EC
국민들의	국민/NNG+들/XSN+의/JKG
표심을	표심/NNG+을/JKO
잡겠다는	잡/VV+겠/EP+다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.365.6.1
추석 연휴 이후 한 달 가까이 과거사 공방만 해온 박, 문 후보 진영에서도 방향 전환이 필요하다는 목소리가 고개를 들고 있다.

추석	추석/NNG
연휴	연휴/NNG
이후	이후/NNG
한	한/MMN
달	달/NNB
가까이	가까이/MAG
과거사	과거사/NNG
공방만	공방/NNG+만/JX
해온	하/VV+아/EC+오/VX+ㄴ/ETM
박,	박/NNP+,/SP
문	문/NNP
후보	후보/NNG
진영에서도	진영/NNG+에서/JKB+도/JX
방향	방향/NNG
전환이	전환/NNG+이/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
목소리가	목소리/NNG+가/JKS
고개를	고개/NNG+를/JKO
들고	들/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.365.6.2
국민들도 과거사 공방에 피로감을 느끼고 있는 만큼 미래를 놓고 논쟁을 벌여야 한다는 것이다.

국민들도	국민/NNG+들/XSN+도/JX
과거사	과거사/NNG
공방에	공방/NNG+에/JKB
피로감을	피로감/NNG+을/JKO
느끼고	느끼/VV+고/EC
있는	있/VX+는/ETM
만큼	만큼/NNB
미래를	미래/NNG+를/JKO
놓고	놓/VV+고/EC
논쟁을	논쟁/NNG+을/JKO
벌여야	벌이/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.365.6.3
여론조사기관 디오피니언의 엄경영 부소장은 “국민들은 대선을 통해 한국의 미래를 얘기하고 각 후보의 국정운영 철학과 정책을 알고 싶어 하는데 새누리당과 민주당은 5년 전, 50년 전 과거사에 발목이 잡혀 있다”면서 “두 정당이 역설적으로 ‘안철수 현상’이 유지되도록 도와주는 셈”이라고 지적했다.

여론조사기관	여론/NNG+조사/NNG+기관/NNG
디오피니언의	디오피니언/NNP+의/JKG
엄경영	엄경영/NNP
부소장은	부소장/NNG+은/JX
“국민들은	“/SS+국민/NNG+들/XSN+은/JX
대선을	대선/NNG+을/JKO
통해	통하/VV+아/EC
한국의	한국/NNP+의/JKG
미래를	미래/NNG+를/JKO
얘기하고	얘기/NNG+하/XSV+고/EC
각	각/MMD
후보의	후보/NNG+의/JKG
국정운영	국정/NNG+운영/NNG
철학과	철학/NNG+과/JC
정책을	정책/NNG+을/JKO
알고	알/VV+고/EC
싶어	싶/VX+어/EC
하는데	하/VX+는데/EC
새누리당과	새누리당/NNP+과/JC
민주당은	민주당/NNP+은/JX
5년	5/SN+년/NNB
전,	전/NNG+,/SP
50년	50/SN+년/NNB
전	전/NNG
과거사에	과거사/NNG+에/JKB
발목이	발목/NNG+이/JKS
잡혀	잡히/VV+어/EC
있다”면서	있/VX+다/EF+”/SS+면서/EC
“두	“/SS+두/MMN
정당이	정당/NNG+이/JKS
역설적으로	역설/NNG+적/XSN+으로/JKB
‘안철수	‘/SS+안철수/NNP
현상’이	현상/NNG+’/SS+이/JKS
유지되도록	유지/NNG+되/XSV+도록/EC
도와주는	도와주/VV+는/ETM
셈”이라고	셈/NNB+”/SS+이라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


