# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.42
metadata : {}


# id : NWRW1800000033.42.1.1
[Global Economy]아이폰5 예약판매 첫날 200만대 돌파

[Global	[/SS+Global/SL
Economy]아이폰5	Economy/SL+]/SS+아이폰5/NNP
예약판매	예약/NNG+판매/NNG
첫날	첫날/NNG
200만대	200/SN+만/NR+대/NNB
돌파	돌파/NNG


# id : NWRW1800000033.42.2.1
1초에 23대씩 팔려나가… 아이폰4S의 2배 수준 애플 주가 700달러 넘어서

1초에	1/SN+초/NNB+에/JKB
23대씩	23/SN+대/NNB+씩/XSN
팔려나가…	팔리/VV+어/EC+나가/VX+아/EF+…/SE
아이폰4S의	아이폰4S/NNG+의/JKG
2배	2/SN+배/NNG
수준	수준/NNG
애플	애플/NNP
주가	주가/NNG
700달러	700/SN+달러/NNB
넘어서	넘어서/VV+어/EF


# id : NWRW1800000033.42.3.1
애플이 아이폰5를 발표했던 12일 반응은 엇갈렸다.

애플이	애플/NNP+이/JKS
아이폰5를	아이폰5/NNP+를/JKO
발표했던	발표/NNG+하/XSV+았/EP+던/ETM
12일	12/SN+일/NNB
반응은	반응/NNG+은/JX
엇갈렸다.	엇갈리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.42.3.2
상당수 언론은 애플만의 독특한 매력 포인트가 없다는 이유로 ‘혁신 없는 또 다른 스마트폰’으로 평가 절하했다.

상당수	상당수/NNG
언론은	언론/NNG+은/JX
애플만의	애플/NNP+만/JX+의/JKG
독특한	독특/NNG+하/XSA+ㄴ/ETM
매력	매력/NNG
포인트가	포인트/NNG+가/JKS
없다는	없/VA+다는/ETM
이유로	이유/NNG+로/JKB
‘혁신	‘/SS+혁신/NNG
없는	없/VA+는/ETM
또	또/MAG
다른	다른/MMD
스마트폰’으로	스마트폰/NNG+’/SS+으로/JKB
평가	평가/NNG
절하했다.	절하/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.42.4.1
반면 주요 투자은행의 애널리스트들은 판매 전망을 낙관적으로 봤다.

반면	반면/NNG
주요	주요/NNG
투자은행의	투자/NNG+은행/NNG+의/JKG
애널리스트들은	애널리스트/NNG+들/XSN+은/JX
판매	판매/NNG
전망을	전망/NNG+을/JKO
낙관적으로	낙관/NNG+적/XSN+으로/JKB
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.42.4.2
‘컬트(Cult·열광적인 추종자) 문화’를 선도해온 애플의 저력과 판매 공급 능력 확충에 높은 점수를 주었다.

‘컬트(Cult·열광적인	‘/SS+컬트/NNG+(/SS+Cult/SL+·/SP+열광/NNG+적/XSN+이/VCP+ㄴ/ETM
