# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.378
metadata : {}


# id : NWRW1800000030.378.1.1
[수도권] 자전거로 출퇴근하고 돈도 받고

[수도권]	[/SS+수도/NNG+권/XSN+]/SS
자전거로	자전거/NNG+로/JKB
출퇴근하고	출퇴근/NNG+하/XSV+고/EC
돈도	돈/NNG+도/JX
받고	받/VV+고/EF


# id : NWRW1800000030.378.2.1
•지하철 환승때 요금 보상… 8월부터 신도림·수유역서

•지하철	•/SW+지하철/NNG
환승때	환승/NNG+때/NNG
요금	요금/NNG
보상…	보상/NNG+…/SE
8월부터	8/SN+월/NNB+부터/JX
신도림·수유역서	신도림/NNP+·/SP+수유역/NNP+서/JKB


# id : NWRW1800000030.378.3.1
서울시가 '자전거 출·퇴근족'에게 지하철 운임을 일정액 되돌려주는 등 시내 자전거도로 88.3㎞의 효율성과 활용도를 높인다.

서울시가	서울시/NNP+가/JKS
'자전거	'/SS+자전거/NNG
출·퇴근족'에게	출·퇴근족/NNG+'/SS+에게/JKB
지하철	지하철/NNG
운임을	운임/NNG+을/JKO
일정액	일정액/NNG
되돌려주는	되돌리/VV+어/EC+주/VX+는/ETM
등	등/NNB
시내	시내/NNG
자전거도로	자전거/NNG+도로/NNG
88.3㎞의	88/SN+./SP+3/SN+㎞/SW+의/JKG
효율성과	효율/NNG+성/XSN+과/JC
활용도를	활용도/NNG+를/JKO
높인다.	높이/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.378.4.1
서울시는 6일 자전거를 타고 지하철 1·2호선 신도림역과 4호선 수유역을 이용하는 시민에게 300~500원을 되돌려주는 '자전거 환승 보상제'를 오는 8월부터 시행한다고 밝혔다.

서울시는	서울시/NNP+는/JX
6일	6/SN+일/NNB
자전거를	자전거/NNG+를/JKO
타고	타/VV+고/EC
지하철	지하철/NNG
1·2호선	1/SN+·/SP+2/SN+호선/NNB
신도림역과	신도림역/NNP+과/JC
4호선	4/SN+호선/NNB
수유역을	수유역/NNP+을/JKO
이용하는	이용/NNG+하/XSV+는/ETM
시민에게	시민/NNG+에게/JKB
300~500원을	300/SN+~/SO+500/SN+원/NNB+을/JKO
되돌려주는	되돌리/VV+어/EC+주/VX+는/ETM
'자전거	'/SS+자전거/NNG
환승	환승/NNG
보상제'를	보상/NNG+제/XSN+'/SS+를/JKO
오는	오/VV+는/ETM
8월부터	8/SN+월/NNB+부터/JX
시행한다고	시행/NNG+하/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.378.5.1
시민이 지하철역 자전거 주차장에 자전거를 대고 교통카드로 본인 확인을 한 뒤 지하철을 타고 또다시 그 역순으로 되돌아오면 지하철 요금 중 일부를 보상해주는 식이다.

시민이	시민/NNG+이/JKS
지하철역	지하철역/NNG
자전거	자전거/NNG
주차장에	주차장/NNG+에/JKB
자전거를	자전거/NNG+를/JKO
대고	대/VV+고/EC
교통카드로	교통/NNG+카드/NNG+로/JKB
본인	본인/NNG
확인을	확인/NNG+을/JKO
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
지하철을	지하철/NNG+을/JKO
타고	타/VV+고/EC
또다시	또다시/MAG
그	그/MMD
역순으로	역순/NNG+으로/JKB
되돌아오면	되돌아오/VV+면/EC
지하철	지하철/NNG
요금	요금/NNG
중	중/NNB
일부를	일부/NNG+를/JKO
보상해주는	보상/NNG+하/XSV+아/EC+주/VX+는/ETM
식이다.	식/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.378.6.1
서울시는 우선 선불제 교통카드 '티머니' 사용자에게 충전식으로 보상하는 방안을 추진할 계획이다.

서울시는	서울시/NNP+는/JX
우선	우선/MAG
선불제	선불/NNG+제/XSN
교통카드	교통/NNG+카드/NNG
'티머니'	'/SS+티머니/NNP+'/SS
사용자에게	사용자/NNG+에게/JKB
충전식으로	충전식/NNG+으로/JKB
보상하는	보상/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
추진할	추진/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.378.6.2
진행 상황에 따라 적용 범위를 확대하는 것도 검토 중이다.

진행	진행/NNG
상황에	상황/NNG+에/JKB
따라	따르/VV+아/EC
적용	적용/NNG
범위를	범위/NNG+를/JKO
확대하는	확대/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
검토	검토/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.378.7.1
서울시는 또 서울지방경찰청과 협의해 차도 상에 설치된 자전거도로 전 구간에서 차량 속도를 제한하는 방향으로 관련법을 개정할 계획이다.

서울시는	서울시/NNP+는/JX
또	또/MAG
서울지방경찰청과	서울지방경찰청/NNP+과/JKB
협의해	협의/NNG+하/XSV+아/EC
차도	차도/NNG
상에	상/XSN+에/JKB
설치된	설치/NNG+되/XSV+ㄴ/ETM
자전거도로	자전거/NNG+도로/NNG
전	전/MMN
구간에서	구간/NNG+에서/JKB
차량	차량/NNG
속도를	속도/NNG+를/JKO
제한하는	제한/NNG+하/XSV+는/ETM
방향으로	방향/NNG+으로/JKB
관련법을	관련/NNG+법/NNG+을/JKO
개정할	개정/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.378.7.2
상가 밀집지역 등에 설치된 펜스와 연석 등 자전거도로 분리시설을 점진적으로 제거하고 노원구와 여의도 지역의 자전거도로 일부 구간은 시간제로 운영해 야간에는 차량 주차가 가능하도록 할 방침이다.

상가	상가/NNG
밀집지역	밀집/NNG+지역/NNG
등에	등/NNB+에/JKB
설치된	설치/NNG+되/XSV+ㄴ/ETM
펜스와	펜스/NNG+와/JC
연석	연석/NNG
등	등/NNB
자전거도로	자전거/NNG+도로/NNG
분리시설을	분리/NNG+시설/NNG+을/JKO
