# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.454
metadata : {}


# id : NWRW1800000024.454.1.1
검찰-“수만달러 수수 진위 조사” /야권- “검찰-언론의 정치공작”

검찰-“수만달러	검찰/NNG+-/SO+“/SS+수만/NR+달러/NNB
수수	수수/NNG
진위	진위/NNG
조사”	조사/NNG+”/SS
/야권-	//SP+야권/NNG+-/SO
“검찰-언론의	“/SS+검찰/NNG+-/SO+언론/NNG+의/JKG
정치공작”	정치/NNG+공작/NNG+”/SS


# id : NWRW1800000024.454.2.1
곽영욱(69·구속기소) 전 대한통운 사장의 비자금 사용내역을 수사중인 검찰이 곽 전 사장한테서 “한명숙 전 총리에게 수만달러를 건넸다”는 진술을 확보한 것으로 4일 확인됐다.

곽영욱(69·구속기소)	곽영욱/NNP+(/SS+69/SN+·/SP+구속/NNG+기소/NNG+)/SS
전	전/MMD
대한통운	대한통운/NNP
사장의	사장/NNG+의/JKG
비자금	비자금/NNG
사용내역을	사용/NNG+내역/NNG+을/JKO
수사중인	수사/NNG+중/NNB+이/VCP+ㄴ/ETM
검찰이	검찰/NNG+이/JKS
곽	곽/NNP
사장한테서	사장/NNG+한테서/JKB
“한명숙	“/SS+한명숙/NNP
총리에게	총리/NNG+에게/JKB
수만달러를	수만/NR+달러/NNB+를/JKO
건넸다”는	건네/VV+었/EP+다/EF+”/SS+는/ETM
진술을	진술/NNG+을/JKO
확보한	확보/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
4일	4/SN+일/NNB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.454.2.2
검찰은 곽 전 사장의 진술이 사실인지 여부를 확인중이어서, 사건의 파장이 주목된다.

검찰은	검찰/NNG+은/JX
곽	곽/NNP
전	전/MMD
사장의	사장/NNG+의/JKG
진술이	진술/NNG+이/JKS
사실인지	사실/NNG+이/VCP+ㄴ지/EC
여부를	여부/NNG+를/JKO
확인중이어서,	확인/NNG+중/NNB+이/VCP+어서/EC+,/SP
사건의	사건/NNG+의/JKG
파장이	파장/NNG+이/JKS
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.454.3.1
서울중앙지검 특수2부(부장 권오성)는 곽 전 사장이 대한통운에 재직하던 1999~2005년 사이에 83억원의 비자금을 조성한 사실을 밝혀내고, 지난달 24일 곽 전 사장을 구속기소한 바 있다.

서울중앙지검	서울중앙지검/NNP
특수2부(부장	특수/NNG+2부/NNG+(/SS+부장/NNG
권오성)는	권오성/NNP+)/SS+는/JX
곽	곽/NNP
전	전/MMD
사장이	사장/NNG+이/JKS
대한통운에	대한통운/NNP+에/JKB
재직하던	재직/NNG+하/XSV+던/ETM
1999~2005년	1999/SN+~/SO+2005/SN+년/NNB
사이에	사이/NNG+에/JKB
83억원의	83/SN+억/NR+원/NNB+의/JKG
비자금을	비자금/NNG+을/JKO
조성한	조성/NNG+하/XSV+ㄴ/ETM
사실을	사실/NNG+을/JKO
밝혀내고,	밝혀내/VV+고/EC+,/SP
지난달	지난달/NNG
24일	24/SN+일/NNB
사장을	사장/NNG+을/JKO
구속기소한	구속/NNG+기소/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.454.3.2
곽 전 사장이 조성한 비자금의 사용처를 수사하던 검찰은 그가 2007년 4월 한국전력공사의 자회사인 ㈜한국남동발전 사장으로 선임된 사실에 주목하고 있다.

곽	곽/NNP
전	전/MMD
사장이	사장/NNG+이/JKS
조성한	조성/NNG+하/XSV+ㄴ/ETM
비자금의	비자금/NNG+의/JKG
사용처를	사용처/NNG+를/JKO
수사하던	수사/NNG+하/XSV+던/ETM
검찰은	검찰/NNG+은/JX
그가	그/NP+가/JKS
2007년	2007/SN+년/NNB
4월	4/SN+월/NNB
한국전력공사의	한국전력공사/NNP+의/JKG
자회사인	자회사/NNG+이/VCP+ㄴ/ETM
㈜한국남동발전	㈜/SW+한국남동발전/NNP
사장으로	사장/NNG+으로/JKB
선임된	선임/NNG+되/XSV+ㄴ/ETM
사실에	사실/NNG+에/JKB
주목하고	주목/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.454.3.3
물류 전문가인 곽 전 사장이 경험이나 업무 연관성이 전혀 없는 발전회사 사장으로 가게 된 데에는 정치권 등 ‘외부’의 입김이 작용하지 않았겠느냐고 의심하고 있는 것이다.

물류	물류/NNG
전문가인	전문가/NNG+이/VCP+ㄴ/ETM
곽	곽/NNP
전	전/MMD
사장이	사장/NNG+이/JKS
경험이나	경험/NNG+이나/JC
업무	업무/NNG
연관성이	연관/NNG+성/XSN+이/JKS
전혀	전혀/MAG
없는	없/VA+는/ETM
발전회사	발전/NNG+회사/NNG
사장으로	사장/NNG+으로/JKB
가게	가/VV+게/EC
된	되/VV+ㄴ/ETM
데에는	데/NNB+에/JKB+는/JX
정치권	정치/NNG+권/XSN
등	등/NNB
‘외부’의	‘/SS+외부/NNG+’/SS+의/JKG
