# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.114
metadata : {}


# id : NWRW1800000037.114.1.1
김래원 “아이들 연기 열정 보고, 배우의 초심 되찾았어요”

김래원	김래원/NNP
“아이들	“/SS+아이/NNG+들/XSN
연기	연기/NNG
열정	열정/NNG
보고,	보/VV+고/EC+,/SP
배우의	배우/NNG+의/JKG
초심	초심/NNG
되찾았어요”	되찾/VV+았/EP+어요/EF+”/SS


# id : NWRW1800000037.114.2.1
영화 ‘마이 리틀 히어로’로 스크린 컴백

영화	영화/NNG
‘마이	‘/SS+마이/NNP
리틀	리틀/NNP
히어로’로	히어로/NNP+’/SS+로/JKB
스크린	스크린/NNG
컴백	컴백/NNG


# id : NWRW1800000037.114.3.1
지난해 12월 31일 서울 종로 카페에 들어서자 배우 김래원(32)이 한참 먼저 와 있었다.

지난해	지난해/NNG
12월	12/SN+월/NNB
31일	31/SN+일/NNB
서울	서울/NNP
종로	종로/NNP
카페에	카페/NNG+에/JKB
들어서자	들어서/VV+자/EC
배우	배우/NNG
김래원(32)이	김래원/NNP+(/SS+32/SN+)/SS+이/JKS
한참	한참/NNG
먼저	먼저/MAG
와	오/VV+아/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.114.3.2
‘인사동 스캔들’ 이후 4년 만의 스크린 복귀작 ‘마이 리틀 히어로’(10일 개봉)를 위해 잡아놓은 인터뷰여서 긴장이 된다고 했다.

‘인사동	‘/SS+인사동/NNP
스캔들’	스캔들/NNG+’/SS
이후	이후/NNG
4년	4/SN+년/NNB
만의	만/NNB+의/JKG
스크린	스크린/NNG
복귀작	복귀작/NNG
‘마이	‘/SS+마이/NNP
리틀	리틀/NNP
히어로’(10일	히어로/NNP+’/SS+(/SS+10/SN+일/NNB
개봉)를	개봉/NNG+)/SS+를/JKO
위해	위하/VV+아/EC
잡아놓은	잡/VV+아/EC+놓/VX+은/ETM
인터뷰여서	인터뷰/NNG+이/VCP+어서/EC
긴장이	긴장/NNG+이/JKC
된다고	되/VV+ㄴ다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.114.3.3
코트를 벗으니 두꺼워 보이는 목선이 드러났다.

코트를	코트/NNG+를/JKO
벗으니	벗/VV+으니/EC
두꺼워	두껍/VA+어/EC
보이는	보이/VV+는/ETM
목선이	목선/NNG+이/JKS
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.114.3.4
“지난해 9월 영화 촬영 끝내고 햄버거를 폭풍 흡입했어요.

“지난해	“/SS+지난해/NNG
9월	9/SN+월/NNB
영화	영화/NNG
촬영	촬영/NNG
끝내고	끝내/VV+고/EC
햄버거를	햄버거/NNG+를/JKO
폭풍	폭풍/NNG
흡입했어요.	흡입/NNG+하/XSV+았/EP+어요/EF+./SF


# id : NWRW1800000037.114.3.5
한 달 만에 14kg이 찌더군요.

한	한/MMN
달	달/NNG
만에	만/NNB+에/JKB
14kg이	14/SN+kg/SW+이/JKS
찌더군요.	찌/VV+더군/EF+요/JX+./SF


# id : NWRW1800000037.114.3.6
보름 만에 4kg를 빼긴 했는데….”

보름	보름/NNG
만에	만/NNB+에/JKB
4kg를	4/SN+kg/SW+를/JKO
