# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.245
metadata : {}


# id : NWRW1800000038.245.1.1
이란과 비기기만 해도 본선 자력 진출

이란과	이란/NNP+과/JKB
비기기만	비기/VV+기/ETN+만/JX
해도	하/VX+아도/EC
본선	본선/NNG
자력	자력/NNG
진출	진출/NNG


# id : NWRW1800000038.245.2.1
3위 우즈벡과 골득실差 커, 이란에 져도 본선 진출 유리

3위	3/SN+위/NNB
우즈벡과	우즈벡/NNP+과/JKB
골득실差	골/NNG+득실/NNG+差/SH
커,	크/VA+어/EC+,/SP
이란에	이란/NNP+에/JKB
져도	지/VV+어도/EC
본선	본선/NNG
진출	진출/NNG
유리	유리/NNG


# id : NWRW1800000038.245.3.1
'9부 능선'을 넘었지만 결국 마지막까지 가야 한다.

'9부	'/SS+9/SN+부/NNB
능선'을	능선/NNG+'/SS+을/JKO
넘었지만	넘/VV+었/EP+지만/EC
결국	결국/MAG
마지막까지	마지막/NNG+까지/JX
가야	가/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.245.4.1
8회 연속 월드컵 본선 진출에 도전하는 한국 축구대표팀은 오는 18일 오후 9시 울산 문수경기장에서 열리는 이란과의 2014 브라질월드컵 최종 예선 8차전에서 본선 자력 진출을 결정한다.

8회	8/SN+회/NNB
연속	연속/NNG
월드컵	월드컵/NNG
본선	본선/NNG
진출에	진출/NNG+에/JKB
도전하는	도전/NNG+하/XSV+는/ETM
한국	한국/NNP
축구대표팀은	축구/NNG+대표/NNG+팀/NNG+은/JX
오는	오/VV+는/ETM
18일	18/SN+일/NNB
오후	오후/NNG
9시	9/SN+시/NNB
울산	울산/NNP
문수경기장에서	문수경기장/NNP+에서/JKB
열리는	열리/VV+는/ETM
이란과의	이란/NNP+과/JKB+의/JKG
2014	2014/SN
브라질월드컵	브라질/NNP+월드컵/NNG
최종	최종/NNG
예선	예선/NNG
8차전에서	8/SN+차전/NNB+에서/JKB
자력	자력/NNG
진출을	진출/NNG+을/JKO
결정한다.	결정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.245.4.2
같은 조 '우즈베키스탄-카타르'의 경기도 같은 시각 우즈베키스탄에서 열린다.

같은	같/VA+은/ETM
조	조/NNG
'우즈베키스탄-카타르'의	'/SS+우즈베키스탄/NNP+-/SO+카타르/NNP+'/SS+의/JKG
경기도	경기/NNG+도/JX
시각	시각/NNG
우즈베키스탄에서	우즈베키스탄/NNP+에서/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.245.5.1
한국은 11일 우즈베키스탄에 1대0으로 이기며 A조 1위(4승2무1패·승점 14)를 유지했다.

한국은	한국/NNP+은/JX
11일	11/SN+일/NNB
우즈베키스탄에	우즈베키스탄/NNP+에/JKB
1대0으로	1/SN+대/NNB+0/SN+으로/JKB
이기며	이기/VV+며/EC
A조	A/SL+조/NNG
1위(4승2무1패·승점	1/SN+위/NNB+(/SS+4/SN+승/NNB+2/SN+무/NNB+1/SN+패/NNB+·/SP+승점/NNG
14)를	14/SN+)/SS+를/JKO
유지했다.	유지/NNG+하/XSV+았/EP+다/EF+./SF


