# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.215
metadata : {}


# id : NWRW1800000045.215.1.1
홈쇼핑, 10만원짜리 팔면 수수료 3만3500원 챙겨

홈쇼핑,	홈쇼핑/NNG+,/SP
10만원짜리	10/SN+만/NR+원/NNB+짜리/XSN
팔면	팔/VV+면/EC
수수료	수수료/NNG
3만3500원	3/SN+만/NR+3500/SN+원/NNB
챙겨	챙기/VV+어/EF


# id : NWRW1800000045.215.2.1
백화점은 평균 27.9% 받아

백화점은	백화점/NNG+은/JX
평균	평균/NNG
27.9%	27/SN+./SP+9/SN+%/SW
받아	받/VV+아/EF


# id : NWRW1800000045.215.3.1
소비자가 TV홈쇼핑을 통해 10만 원짜리 물건을 사면 홈쇼핑사가 3만3500원을 수수료 명목으로 떼어 가는 것으로 나타났다.

소비자가	소비자/NNG+가/JKS
TV홈쇼핑을	TV/SL+홈쇼핑/NNG+을/JKO
통해	통하/VV+아/EC
10만	10/SN+만/NR
원짜리	원/NNB+짜리/XSN
물건을	물건/NNG+을/JKO
사면	사/VV+면/EC
홈쇼핑사가	홈쇼핑사/NNG+가/JKS
3만3500원을	3/SN+만/NR+3500/SN+원/NNB+을/JKO
수수료	수수료/NNG
명목으로	명목/NNG+으로/JKB
떼어	떼/VV+어/EC
가는	가/VX+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.215.3.2
백화점(2만7900원)을 크게 웃도는 수준이다.

백화점(2만7900원)을	백화점/NNG+(/SS+2/SN+만/NR+7900/SN+원/NNB+)/SS+을/JKO
크게	크/VA+게/EC
웃도는	웃돌/VV+는/ETM
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.215.3.3
또 백화점업계는 해외 명품 업체에 대해서는 국내 기업보다 5∼7%포인트가량 낮은 판매 수수료율을 적용하는 것으로 밝혀졌다.

또	또/MAG
백화점업계는	백화점업/NNG+계/XSN+는/JX
해외	해외/NNG
명품	명품/NNG
업체에	업체/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
국내	국내/NNG
기업보다	기업/NNG+보다/JKB
5∼7%포인트가량	5/SN+∼/SO+7/SN+%포인트/NNG+가량/XSN
낮은	낮/VA+은/ETM
판매	판매/NNG
수수료율을	수수료/NNG+율/XSN+을/JKO
적용하는	적용/NNG+하/XSV+는/ETM
