# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.245
metadata : {}


# id : NWRW1800000040.245.1.1
“외박 때 애인과 성관계한 육사생 퇴학 부당”

“외박	“/SS+외박/NNG
때	때/NNG
애인과	애인/NNG+과/JKB
성관계한	성관계/NNG+하/XSV+ㄴ/ETM
육사생	육사/NNP+생/XSN
퇴학	퇴학/NNG
부당”	부당/NNG+”/SS


# id : NWRW1800000040.245.2.1
학교, “원룸 출입” 제보받고 징계

학교,	학교/NNG+,/SP
“원룸	“/SS+원룸/NNG
출입”	출입/NNG+”/SS
제보받고	제보/NNG+받/XSV+고/EC
징계	징계/NNG


# id : NWRW1800000040.245.3.1
법원 “도덕적 한계 위반 아니다”

법원	법원/NNG
“도덕적	“/SS+도덕/NNG+적/XSN
한계	한계/NNG
위반	위반/NNG
아니다”	아니/VCN+다/EF+”/SS


# id : NWRW1800000040.245.4.1
주말 외박을 나가 애인과 성관계를 했다는 이유 등으로 육군사관학교 생도를 퇴학시킨 것은 부당하다는 판결이 나왔다.

주말	주말/NNG
외박을	외박/NNG+을/JKO
나가	나가/VV+아/EC
애인과	애인/NNG+과/JKB
성관계를	성관계/NNG+를/JKO
했다는	하/VV+았/EP+다는/ETM
이유	이유/NNG
등으로	등/NNB+으로/JKB
육군사관학교	육군사관학교/NNP
생도를	생도/NNG+를/JKO
퇴학시킨	퇴학/NNG+시키/XSV+ㄴ/ETM
것은	것/NNB+은/JX
부당하다는	부당/NNG+하/XSA+다는/ETM
판결이	판결/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.245.5.1
서울행정법원 행정11부(재판장 문준필)는 주말 외박 때 여자친구와 성관계를 하고 이에 대해 ‘양심보고’를 하지 않았다는 이유 등으로 퇴학당한 ㄱ씨가 육사를 상대로 낸 퇴학처분 무효소송에서 원고 일부승소 판결을 했다고 14일 밝혔다.

서울행정법원	서울행정법원/NNP
행정11부(재판장	행정/NNG+11/SN+부/NNG+(/SS+재판장/NNG
문준필)는	문준필/NNP+)/SS+는/JX
주말	주말/NNG
외박	외박/NNG
때	때/NNG
여자친구와	여자/NNG+친구/NNG+와/JKB
성관계를	성관계/NNG+를/JKO
하고	하/VV+고/EC
이에	이/NP+에/JKB
대해	대하/VV+아/EC
‘양심보고’를	‘/SS+양심/NNG+보고/NNG+’/SS+를/JKO
하지	하/VV+지/EC
않았다는	않/VX+았/EP+다는/ETM
이유	이유/NNG
등으로	등/NNB+으로/JKB
퇴학당한	퇴학/NNG+당하/XSV+ㄴ/ETM
ㄱ씨가	ㄱ/NNG+씨/NNB+가/JKS
육사를	육사/NNP+를/JKO
상대로	상대/NNG+로/JKB
낸	내/VV+ㄴ/ETM
퇴학처분	퇴학/NNG+처분/NNG
무효소송에서	무효/NNG+소송/NNG+에서/JKB
원고	원고/NNG
일부승소	일부/NNG+승소/NNG
판결을	판결/NNG+을/JKO
했다고	하/VV+았/EP+다고/EC
14일	14/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.245.6.1
재판부는 “육사 생도 생활예규상 ‘동침 및 성관계 금지 규정’을 ‘도덕적 한계를 위반한 성관계, 남녀간의 동침은 성군기 위반 행위로서 제재 대상’이라고 해석하는 한 헌법에 위반되지는 않는다.

재판부는	재판부/NNG+는/JX
“육사	“/SS+육사/NNP
생도	생도/NNG
생활예규상	생활/NNG+예규/NNG+상/XSN
‘동침	‘/SS+동침/NNG
및	및/MAG
성관계	성관계/NNG
금지	금지/NNG
규정’을	규정/NNG+’/SS+을/JKO
‘도덕적	‘/SS+도덕/NNG+적/XSN
한계를	한계/NNG+를/JKO
위반한	위반/NNG+하/XSV+ㄴ/ETM
성관계,	성관계/NNG+,/SP
남녀간의	남녀/NNG+간/NNB+의/JKG
동침은	동침/NNG+은/JX
성군기	성/NNG+군기/NNG
위반	위반/NNG
행위로서	행위/NNG+로서/JKB
제재	제재/NNG
대상’이라고	대상/NNG+’/SS+이라고/JKQ
해석하는	해석/NNG+하/XSV+는/ETM
한	한/NNG
헌법에	헌법/NNG+에/JKB
위반되지는	위반/NNG+되/XSV+지/EC+는/JX
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000040.245.6.2
그러나 ㄱ씨의 행위가 결혼을 전제로 교제하는 사이에서 쌍방의 동의하에 성관계를 한 점 등을 고려할 때 도덕적 한계를 위반하지 않아 징계 사유에 해당하지 않는다”고 밝혔다.

그러나	그러나/MAJ
ㄱ씨의	ㄱ/NNG+씨/NNB+의/JKG
행위가	행위/NNG+가/JKS
결혼을	결혼/NNG+을/JKO
전제로	전제/NNG+로/JKB
교제하는	교제/NNG+하/XSV+는/ETM
사이에서	사이/NNG+에서/JKB
쌍방의	쌍방/NNG+의/JKG
동의하에	동의/NNG+하/XSN+에/JKB
성관계를	성관계/NNG+를/JKO
한	하/VV+ㄴ/ETM
점	점/NNG
등을	등/NNB+을/JKO
고려할	고려/NNG+하/XSV+ㄹ/ETM
때	때/NNG
도덕적	도덕/NNG+적/XSN
한계를	한계/NNG+를/JKO
위반하지	위반/NNG+하/XSV+지/EC
않아	않/VX+아/EC
징계	징계/NNG
사유에	사유/NNG+에/JKB
해당하지	해당/NNG+하/XSV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.245.6.3
또 “생도 예규상 자신의 책무 위반을 스스로 보고하는 절차인 ‘양심보고’ 불이행을 징계 사유로 삼으면 헌법상 양심의 자유를 침해하므로 이 또한 징계 사유에 해당하지 않는다”고 덧붙였다.

또	또/MAG
“생도	“/SS+생도/NNG
예규상	예규/NNG+상/XSN
자신의	자신/NNG+의/JKG
책무	책무/NNG
위반을	위반/NNG+을/JKO
스스로	스스로/MAG
보고하는	보고/NNG+하/XSV+는/ETM
절차인	절차/NNG+이/VCP+ㄴ/ETM
‘양심보고’	‘/SS+양심/NNG+보고/NNG+’/SS
불이행을	불/XPN+이행/NNG+을/JKO
징계	징계/NNG
사유로	사유/NNG+로/JKB
삼으면	삼/VV+으면/EC
헌법상	헌법/NNG+상/XSN
양심의	양심/NNG+의/JKG
자유를	자유/NNG+를/JKO
침해하므로	침해/NNG+하/XSV+므로/EC
이	이/NP
또한	또한/MAG
사유에	사유/NNG+에/JKB
해당하지	해당/NNG+하/XSV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.245.7.1
육사는 지난해 11월 민간 여성으로부터 ㄱ씨가 주말마다 여자친구와 원룸에 출입한다는 전화 제보를 받았다.

육사는	육사/NNP+는/JX
지난해	지난해/NNG
11월	11/SN+월/NNB
민간	민간/NNG
여성으로부터	여성/NNG+으로부터/JKB
ㄱ씨가	ㄱ/NNG+씨/NNB+가/JKS
주말마다	주말/NNG+마다/JX
여자친구와	여자/NNG+친구/NNG+와/JKB
원룸에	원룸/NNG+에/JKB
출입한다는	출입/NNG+하/XSV+ㄴ다는/ETM
전화	전화/NNG
제보를	제보/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.245.7.2
그 뒤 ‘월 2회 사복착용 규정 위반’, ‘원룸 임대 및 사용에 대한 양심보고 불이행’, ‘원룸에서의 성관계 및 이에 대한 양심보고 불이행’ 등을 이유로 ㄱ씨를 퇴학처분했다.

그	그/MMD
뒤	뒤/NNG
‘월	‘/SS+월/NNG
2회	2/SN+회/NNB
사복착용	사복/NNG+착용/NNG
규정	규정/NNG
위반’,	위반/NNG+’/SS+,/SP
‘원룸	‘/SS+원룸/NNG
임대	임대/NNG
및	및/MAG
사용에	사용/NNG+에/JKB
