# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.212
metadata : {}


# id : NWRW1800000026.212.1.1
[충청] 대전의 제1 과제는 '일자리 창출';충남대 사회조사센터 조사

[충청]	[/SS+충청/NNP+]/SS
대전의	대전/NNP+의/JKG
제1	제/XPN+1/SN
과제는	과제/NNG+는/JX
'일자리	'/SS+일자리/NNG
창출';충남대	창출/NNG+'/SS+;/SW+충남대/NNP
사회조사센터	사회/NNG+조사/NNG+센터/NNG
조사	조사/NNG


# id : NWRW1800000026.212.2.1
대전 시민들은 대전시가 가장 시급히 해결해야 할 정책 1순위로 일자리 창출이나 기업 유치 같은 경제 정책을 꼽고 있는 것으로 조사됐다.

대전	대전/NNP
시민들은	시민/NNG+들/XSN+은/JX
대전시가	대전시/NNP+가/JKS
가장	가장/MAG
시급히	시급히/MAG
해결해야	해결/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
정책	정책/NNG
1순위로	1/SN+순위/NNG+로/JKB
일자리	일자리/NNG
창출이나	창출/NNG+이나/JC
기업	기업/NNG
유치	유치/NNG
같은	같/VA+은/ETM
경제	경제/NNG
정책을	정책/NNG+을/JKO
꼽고	꼽/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.212.2.2
또 대전시의 위상을 높이기 위한 정책으로 '세종시 원안 추진'과 '대덕 특구의 신성장 동력화'를 들었다.

또	또/MAG
대전시의	대전시/NNP+의/JKG
위상을	위상/NNG+을/JKO
높이기	높이/VV+기/ETN
위한	위하/VV+ㄴ/ETM
정책으로	정책/NNG+으로/JKB
'세종시	'/SS+세종시/NNP
원안	원안/NNG
추진'과	추진/NNG+'/SS+과/JC
'대덕	'/SS+대덕/NNP
특구의	특구/NNG+의/JKG
신성장	신/XPN+성장/NNG
동력화'를	동력/NNG+화/XSN+'/SS+를/JKO
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.212.3.1
이는 충남대학교 사회조사센터(센터장 조성겸 언론정보학과 교수)가 지난 26~27일 대전시내 성인 남녀 637명을 대상으로 실시한 '대전시 지방정부 출범 대전시민 여론조사'에 따른 것이다.

이는	이/NP+는/JX
충남대학교	충남대학교/NNP
사회조사센터(센터장	사회/NNG+조사/NNG+센터/NNG+(/SS+센터장/NNG
조성겸	조성겸/NNP
언론정보학과	언론/NNG+정보학과/NNG
교수)가	교수/NNG+)/SS+가/JKS
지난	지나/VV+ㄴ/ETM
26~27일	26/SN+~/SO+27/SN+일/NNB
대전시내	대전/NNP+시내/NNG
성인	성인/NNG
남녀	남녀/NNG
637명을	637/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
실시한	실시/NNG+하/XSV+ㄴ/ETM
'대전시	'/SS+대전시/NNP
