# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.323
metadata : {}


# id : NWRW1800000022.323.1.1
조윤희·이정은 공동선두;신세계배 골프 2R… KLPGA 역대 컷 최소타수

조윤희·이정은	조윤희/NNP+·/SP+이정은/NNP
공동선두;신세계배	공동/NNG+선두/NNG+;/SP+신세계/NNP+배/NNB
골프	골프/NNG
2R…	2/SN+R/SL+…/SE
KLPGA	KLPGA/SL
역대	역대/NNG
컷	컷/NNG
최소타수	최소타/NNG+수/NNG


# id : NWRW1800000022.323.2.1
조윤희와 이정은이 17일 경기도 여주의 자유골프장(파72·6404야드)에서 열린 제31회 신세계배 한국여자프로골프(KLPGA)선수권대회 2라운드에서 12언더파 132타로 공동 선두에 올랐다.

조윤희와	조윤희/NNP+와/JKB
이정은이	이정은/NNP+이/JKS
17일	17/SN+일/NNB
경기도	경기도/NNP
여주의	여주/NNP+의/JKG
자유골프장(파72·6404야드)에서	자유골프장/NNP+(/SS+파/NNG+72/SN+·/SP+6404/SN+야드/NNB+)/SS+에서/JKB
열린	열리/VV+ㄴ/ETM
제31회	제/XPN+31/SN+회/NNB
신세계배	신세계/NNP+배/NNB
한국여자프로골프(KLPGA)선수권대회	한국/NNP+여자/NNG+프로/NNG+골프/NNG+(/SS+KLPGA/SL+)/SS+선수/NNG+권/XSN+대회/NNG
2라운드에서	2/SN+라운드/NNG+에서/JKB
12언더파	12/SN+언더/NNG+파/NNG
132타로	132/SN+타/NNG+로/JKB
공동	공동/NNG
선두에	선두/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.323.2.2
1라운드 공동 선두였던 서희경은 5타를 줄였지만, 7언더파를 친 조윤희와 6언더파를 기록한 이정은에 1타차로 밀려 3위로 내려앉았다.

1라운드	1/SN+라운드/NNG
공동	공동/NNG
선두였던	선두/NNG+이/VCP+었/EP+던/ETM
서희경은	서희경/NNP+은/JX
5타를	5/SN+타/NNG+를/JKO
줄였지만,	줄이/VV+었/EP+지만/EC+,/SP
7언더파를	7/SN+언더/NNG+파/NNG+를/JKO
친	치/VV+ㄴ/ETM
조윤희와	조윤희/NNP+와/JC
6언더파를	6/SN+언더/NNG+파/NNG+를/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
이정은에	이정은/NNP+에/JKB
1타차로	1/SN+타/NNG+차/NNG+로/JKB
밀려	밀리/VV+어/EC
3위로	3/SN+위/NNB+로/JKB
내려앉았다.	내려앉/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.323.3.1
이정은은 지난 4월 아시아투데이 김영주골프 오픈에서 프로 첫 우승을 차지했으며, 이번 대회에서 이틀 연속 공동 선두를 달리며 첫 메이저 대회 우승의 기회를 잡았다.

이정은은	이정은/NNP+은/JX
지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
아시아투데이	아시아투데이/NNP
김영주골프	김영주/NNP+골프/NNG
오픈에서	오픈/NNG+에서/JKB
프로	프로/NNG
첫	첫/MMN
우승을	우승/NNG+을/JKO
차지했으며,	차지/NNG+하/XSV+았/EP+으며/EC+,/SP
이번	이번/NNG
대회에서	대회/NNG+에서/JKB
이틀	이틀/NNG
연속	연속/NNG
공동	공동/NNG
선두를	선두/NNG+를/JKO
달리며	달리/VV+며/EC
메이저	메이저/NNG
대회	대회/NNG
우승의	우승/NNG+의/JKG
기회를	기회/NNG+를/JKO
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.323.3.2
1라운드에서 선두에 1타차 공동 5위였던 조윤희는 이날 보기 없이 버디 7개를 잡아내는 깔끔한 플레이를 펼쳤다.

1라운드에서	1/SN+라운드/NNG+에서/JKB
선두에	선두/NNG+에/JKB
1타차	1/SN+타/NNG+차/NNG
공동	공동/NNG
5위였던	5/SN+위/NNB+이/VCP+었/EP+던/ETM
조윤희는	조윤희/NNP+는/JX
이날	이날/NNG
보기	보기/NNG
없이	없이/MAG
버디	버디/NNG
7개를	7/SN+개/NNB+를/JKO
잡아내는	잡아내/VV+는/ETM
깔끔한	깔끔/NNG+하/XSA+ㄴ/ETM
플레이를	플레이/NNG+를/JKO
펼쳤다.	펼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.323.3.3
조윤희는 야구인 조창수씨와 배구 국가대표였던 조혜정씨의 딸로, 여동생도 한국 여자프로골프 2부 투어에서 뛰고 있다.

조윤희는	조윤희/NNP+는/JX
야구인	야구인/NNG
조창수씨와	조창수/NNP+씨/NNB+와/JC
배구	배구/NNG
국가대표였던	국가/NNG+대표/NNG+이/VCP+었/EP+던/ETM
조혜정씨의	조혜정/NNP+씨/NNB+의/JKG
딸로,	딸/NNG+로/JKB+,/SP
여동생도	여동생/NNG+도/JX
한국	한국/NNP
여자프로골프	여자/NNG+프로/NNG+골프/NNG
2부	2/SN+부/NNB
투어에서	투어/NNG+에서/JKB
뛰고	뛰/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.323.4.1
이번 대회에선 1언더파 143타 이하를 친 63명의 선수들이 컷을 통과해, KLPGA 역대 컷 최소타수를 기록했다.

이번	이번/NNG
대회에선	대회/NNG+에서/JKB+ㄴ/JX
1언더파	1/SN+언더/NNG+파/NNG
143타	143/SN+타/NNG
이하를	이하/NNG+를/JKO
친	치/VV+ㄴ/ETM
63명의	63/SN+명/NNB+의/JKG
선수들이	선수/NNG+들/XSN+이/JKS
컷을	컷/NNG+을/JKO
통과해,	통과/NNG+하/XSV+아/EC+,/SP
KLPGA	KLPGA/SL
역대	역대/NNG
컷	컷/NNG
최소타수를	최소타/NNG+수/NNG+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.323.4.2
이전 기록은 2003년 파라다이스 여자인비테이셔널 대회 때 나온 145타였다.

이전	이전/NNG
기록은	기록/NNG+은/JX
2003년	2003/SN+년/NNB
파라다이스	파라다이스/NNP
여자인비테이셔널	여자/NNG+인비테이셔널/NNG
대회	대회/NNG
때	때/NNG
나온	나오/VV+ㄴ/ETM
145타였다.	145/SN+타/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.323.4.3
한국여자프로골프 역대 컷 최소타수 기록이 나온 것은 선수들의 전반적인 기량이 향상됐다는 것을 보여준다.

한국여자프로골프	한국/NNP+여자/NNG+프로/NNG+골프/NNG
역대	역대/NNG
컷	컷/NNG
최소타수	최소타/NNG+수/NNG
기록이	기록/NNG+이/JKS
나온	나오/VV+ㄴ/ETM
것은	것/NNB+은/JX
선수들의	선수/NNG+들/XSN+의/JKG
전반적인	전반/NNG+적/XSN+이/VCP+ㄴ/ETM
기량이	기량/NNG+이/JKS
향상됐다는	향상/NNG+되/XSV+었/EP+다는/ETM
것을	것/NNB+을/JKO
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.323.5.1
같은 코스에서 열렸던 지난해 대회 컷 146타와 비교하면 3타가 줄었다.

같은	같/VA+은/ETM
코스에서	코스/NNG+에서/JKB
열렸던	열리/VV+었/EP+던/ETM
지난해	지난해/NNG
대회	대회/NNG
컷	컷/NNG
146타와	146/SN+타/NNG+와/JKB
비교하면	비교/NNG+하/XSV+면/EC
3타가	3/SN+타/NNG+가/JKS
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.323.5.2
이는 올해 같은 코스에서 열린 7개 대회 가운데 6개 대회의 컷이 3타 정도 줄어든 것과도 일치한다.

이는	이/NP+는/JX
올해	올해/NNG
같은	같/VA+은/ETM
코스에서	코스/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
7개	7/SN+개/NNB
대회	대회/NNG
가운데	가운데/NNG
6개	6/SN+개/NNB
대회의	대회/NNG+의/JKG
컷이	컷/NNG+이/JKS
3타	3/SN+타/NNG
정도	정도/NNG
줄어든	줄어들/VV+ㄴ/ETM
것과도	것/NNB+과/JKB+도/JX
일치한다.	일치/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.323.5.3
고충남 KLPGA경기 위원장은 "선수들의 기량이 매년 향상되고 있는데, 티 샷의 거리와 아이언 샷의 정확성이 몰라보게 좋아지고 있다"고 설명했다.

고충남	고충남/NNP
KLPGA경기	KLPGA/SL+경기/NNG
위원장은	위원장/NNG+은/JX
"선수들의	"/SS+선수/NNG+들/XSN+의/JKG
기량이	기량/NNG+이/JKS
매년	매년/MAG
향상되고	향상/NNG+되/XSV+고/EC
있는데,	있/VX+는데/EC+,/SP
티	티/NNG
샷의	샷/NNG+의/JKG
거리와	거리/NNG+와/JC
아이언	아이언/NNG
정확성이	정확/NNG+성/XSN+이/JKS
몰라보게	몰라보/VV+게/EC
좋아지고	좋/VA+아/EC+지/VX+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.323.5.4
이 대회 그린 스피드는 3.3m로 미국 대회와 비교해도 손색없을 정도로 빠른 편이다.

이	이/MMD
대회	대회/NNG
그린	그린/NNG
스피드는	스피드/NNG+는/JX
3.3m로	3/SN+./SP+3/SN+m/SW+로/JKB
미국	미국/NNP
대회와	대회/NNG+와/JKB
비교해도	비교/NNG+하/XSV+아도/EC
손색없을	손색없/VA+을/ETM
정도로	정도/NNG+로/JKB
빠른	빠르/VA+ㄴ/ETM
편이다.	편/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.323.5.5
그런데도 선수들이 스핀을 조절하는 정확한 아이언 샷으로 홀 옆에 바짝 붙인 뒤 손쉽게 버디를 사냥하고 있는 것이다.

그런데도	그런데/MAJ+도/JX
선수들이	선수/NNG+들/XSN+이/JKS
스핀을	스핀/NNG+을/JKO
조절하는	조절/NNG+하/XSV+는/ETM
