# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.323
metadata : {}


# id : NWRW1800000046.323.1.1
[리퍼트 美대사 테러] 25㎝ 과도 품은 前科 6범, 아무 제지 없이 입장

[리퍼트	[/SS+리퍼트/NNP
美대사	美/SH+대사/NNG
테러]	테러/NNG+]/SS
25㎝	25/SN+㎝/SW
과도	과도/NNG
품은	품/VV+은/ETM
前科	前科/SH
6범,	6/SN+범/NNB+,/SP
아무	아무/MMD
제지	제지/NNG
없이	없이/MAG
입장	입장/NNG


# id : NWRW1800000046.323.2.1
美대사 오는데 경호 소홀

美대사	美/SH+대사/NNG
오는데	오/VV+는데/EC
경호	경호/NNG
소홀	소홀/NNG


# id : NWRW1800000046.323.3.1
리퍼트 대사를 공격한 김기종(55)씨는 일본 대사 테러 등 전과 6범이었다.

리퍼트	리퍼트/NNP
대사를	대사/NNG+를/JKO
공격한	공격/NNG+하/XSV+ㄴ/ETM
김기종(55)씨는	김기종/NNP+(/SS+55/SN+)/SS+씨/NNB+는/JX
일본	일본/NNP
대사	대사/NNG
테러	테러/NNG
등	등/NNB
전과	전과/NNG
6범이었다.	6/SN+범/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.323.3.2
그는 25㎝ 길이의 흉기와 커터 칼을 지니고 있었다.

그는	그/NP+는/JX
25㎝	25/SN+㎝/SW
길이의	길이/NNG+의/JKG
흉기와	흉기/NNG+와/JC
커터	커터/NNG
칼을	칼/NNG+을/JKO
지니고	지니/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.323.3.3
개량 한복에 모자를 쓰고, 수염을 기른 그는 경찰 및 주최 측이 얼굴만 보면 아는 요주의 인물이었다.

개량	개량/NNG
한복에	한복/NNG+에/JKB
모자를	모자/NNG+를/JKO
쓰고,	쓰/VV+고/EC+,/SP
수염을	수염/NNG+을/JKO
기른	기르/VV+ㄴ/ETM
그는	그/NP+는/JX
경찰	경찰/NNG
및	및/MAG
주최	주최/NNG
측이	측/NNB+이/JKS
얼굴만	얼굴/NNG+만/JX
보면	보/VV+면/EC
아는	알/VV+는/ETM
요주의	요주의/NNG
인물이었다.	인물/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.323.3.4
김씨는 그러나 이날 아무런 제지 없이 행사장에 입장했다.

김씨는	김/NNP+씨/NNB+는/JX
그러나	그러나/MAJ
이날	이날/NNG
아무런	아무런/MMD
제지	제지/NNG
없이	없이/MAG
행사장에	행사장/NNG+에/JKB
입장했다.	입장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.323.4.1
행사를 주최한 민족화해협력범국민협의회(민화협)는 자체 경호 인력을 한 명도 배치하지 않았고 경찰에도 경호 요청을 하지 않았다.

행사를	행사/NNG+를/JKO
주최한	주최/NNG+하/XSV+ㄴ/ETM
민족화해협력범국민협의회(민화협)는	민족화해협력범국민협의회/NNP+(/SS+민화협/NNP+)/SS+는/JX
자체	자체/NNG
경호	경호/NNG
인력을	인력/NNG+을/JKO
한	한/MMN
명도	명/NNB+도/JX
배치하지	배치/NNG+하/XSV+지/EC
않았고	않/VX+았/EP+고/EC
경찰에도	경찰/NNG+에/JKB+도/JX
요청을	요청/NNG+을/JKO
하지	하/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.323.4.2
관할 종로경찰서가 만일의 사태에 대비해 기동대 1개 대대(25명)를 행사장 주변에, 정보·외사과 직원 3명을 행사장 입구에 배치한 것이 전부였다.

관할	관할/NNG
종로경찰서가	종로경찰서/NNP+가/JKS
만일의	만일/NNG+의/JKG
사태에	사태/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
기동대	기동대/NNG
1개	1/SN+개/NNB
대대(25명)를	대대/NNG+(/SS+25/SN+명/NNB+)/SS+를/JKO
행사장	행사장/NNG
주변에,	주변/NNG+에/JKB+,/SP
정보·외사과	정보/NNG+·/SP+외사과/NNG
직원	직원/NNG
3명을	3/SN+명/NNB+을/JKO
입구에	입구/NNG+에/JKB
배치한	배치/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
전부였다.	전부/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.323.5.1
민화협의 초청자 관리도 엉망이었다.

민화협의	민화협/NNP+의/JKG
초청자	초청자/NNG
관리도	관리/NNG+도/JX
엉망이었다.	엉망/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.323.5.2
민화협은 사전 신청을 통해 참석자 200여명을 받았다.

민화협은	민화협/NNP+은/JX
