# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.17
metadata : {}


# id : NWRW1800000056.17.1.1
공정위가 ‘하도급 반칙왕’ 3년만에 발표한 이유?

공정위가	공정위/NNG+가/JKS
‘하도급	‘/SS+하도급/NNG
반칙왕’	반칙왕/NNG+’/SS
3년만에	3/SN+년/NNB+만/NNB+에/JKB
발표한	발표/NNG+하/XSV+ㄴ/ETM
이유?	이유/NNG+?/SF


# id : NWRW1800000056.17.2.1
[한겨레] 2014년 이후 중단…문재인 정부 이후 다시 발표

[한겨레]	[/SS+한겨레/NNP+]/SS
2014년	2014/SN+년/NNB
이후	이후/NNG
중단…문재인	중단/NNG+…/SE+문재인/NNP
정부	정부/NNG
다시	다시/MAG
발표	발표/NNG


# id : NWRW1800000056.17.3.1
김상조 위원장 ‘하도급 갑질 근절’ 의지 반영

김상조	김상조/NNP
위원장	위원장/NNG
‘하도급	‘/SS+하도급/NNG
갑질	갑/NNG+질/XSN
근절’	근절/NNG+’/SS
의지	의지/NNG
반영	반영/NNG


# id : NWRW1800000056.17.4.1
2017년 ‘반칙왕’은 한화에스앤씨, 동일 등 11곳

2017년	2017/SN+년/NNB
‘반칙왕’은	‘/SS+반칙왕/NNG+’/SS+은/JX
한화에스앤씨,	한화에스앤씨/NNP+,/SP
동일	동일/NNP
등	등/NNB
11곳	11/SN+곳/NNG


# id : NWRW1800000056.17.5.1
상습적인 ‘갑질 하도급행위’로 중소기업을 울려온 ‘반칙왕’으로 한화그룹 계열인 한화에스앤씨, 범현대가에 속하는 현대비에스앤씨 등 11개가 꼽혔다.

상습적인	상습/NNG+적/XSN+이/VCP+ㄴ/ETM
‘갑질	‘/SS+갑/NNG+질/XSN
하도급행위’로	하도급/NNG+행위/NNG+’/SS+로/JKB
중소기업을	중소기업/NNG+을/JKO
울려온	울리/VV+어/EC+오/VX+ㄴ/ETM
‘반칙왕’으로	‘/SS+반칙왕/NNG+’/SS+으로/JKB
한화그룹	한화그룹/NNP
계열인	계열/NNG+이/VCP+ㄴ/ETM
한화에스앤씨,	한화에스앤씨/NNP+,/SP
범현대가에	범/XPN+현대가/NNG+에/JKB
속하는	속하/VV+는/ETM
현대비에스앤씨	현대비에스앤씨/NNP
등	등/NNB
11개가	11/SN+개/NNB+가/JKS
꼽혔다.	꼽히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.17.5.2
공정거래위원회가 이들 기업 명단을 공개한 것은 2014년 6월 이후 3년 만이다.

공정거래위원회가	공정/NNG+거래/NNG+위원회/NNG+가/JKS
이들	이/NP+들/XSN
기업	기업/NNG
명단을	명단/NNG+을/JKO
공개한	공개/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
2014년	2014/SN+년/NNB
6월	6/SN+월/NNB
이후	이후/NNG
3년	3/SN+년/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.17.6.1
