# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.181
metadata : {}


# id : NWRW1800000045.181.1.1
‘CCTV 부결’ 후폭풍에 놀란 복지부, 어린이집 직접 찾아 설치 설득 나서

‘CCTV	‘/SS+CCTV/SL
부결’	부결/NNG+’/SS
후폭풍에	후폭풍/NNG+에/JKB
놀란	놀라/VV+ㄴ/ETM
복지부,	복지부/NNG+,/SP
어린이집	어린이집/NNG
직접	직접/MAG
찾아	찾/VV+아/EC
설치	설치/NNG
설득	설득/NNG
나서	나서/VV+어/EF


# id : NWRW1800000045.181.2.1
국회 관계자들과 3월 둘째주 현장 방문… 학부모들 “반대한 의원 낙선운동”

국회	국회/NNG
관계자들과	관계자/NNG+들/XSN+과/JKB
3월	3/SN+월/NNB
둘째주	둘째/NR+주/NNG
현장	현장/NNG
방문…	방문/NNG+…/SE
학부모들	학부모/NNG+들/XSN
“반대한	“/SS+반대/NNG+하/XSV+ㄴ/ETM
의원	의원/NNG
낙선운동”	낙선/NNG+운동/NNG+”/SS


# id : NWRW1800000045.181.3.1
이르면 이달 둘째 주(9∼13일)부터 보건복지부와 국회 보건복지위(복지위) 관계자들이 ‘어린이집 현장 체험활동’에 나선다.

이르면	이르/VA+면/EC
이달	이달/NNG
둘째	둘째/NR
주(9∼13일)부터	주/NNG+(/SS+9/SN+∼/SO+13/SN+일/NNB+)/SS+부터/JX
보건복지부와	보건/NNG+복지부/NNG+와/JC
국회	국회/NNG
보건복지위(복지위)	보건/NNG+복지위/NNG+(/SS+복지위/NNG+)/SS
관계자들이	관계자/NNG+들/XSN+이/JKS
‘어린이집	‘/SS+어린이집/NNG
현장	현장/NNG
체험활동’에	체험/NNG+활동/NNG+’/SS+에/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.181.3.2
3일 열린 국회 본회의에서 ‘어린이집 내 폐쇄회로(CC)TV 설치 의무화’ 등을 담은 영유아보육법 개정안이 부결되자 보육업계를 대상으로 직접적인 설득 작업에 나서는 것이다.

3일	3/SN+일/NNB
열린	열리/VV+ㄴ/ETM
국회	국회/NNG
본회의에서	본회의/NNG+에서/JKB
‘어린이집	‘/SS+어린이집/NNG
내	내/NNB
폐쇄회로(CC)TV	폐쇄/NNG+회로/NNG+(/SS+CC/SL+)/SS+TV/SL
설치	설치/NNG
의무화’	의무/NNG+화/XSN+’/SS
등을	등/NNB+을/JKO
담은	담/VV+은/ETM
영유아보육법	영유아/NNG+보육법/NNG
개정안이	개정안/NNG+이/JKS
부결되자	부결/NNG+되/XSV+자/EC
보육업계를	보육/NNG+업계/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
직접적인	직접/NNG+적/XSN+이/VCP+ㄴ/ETM
설득	설득/NNG
작업에	작업/NNG+에/JKB
나서는	나서/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.181.4.1
5일 복지부는 “보육교사들의 목소리를 반영하고, 영유아보육법에 대해 자유롭게 의견을 나눌 수 있는 기회를 마련하기로 했다”며 “보육업무를 담당하는 복지부 직원과 국회 관계자들이 최대한 많이 참여할 수 있는 체험활동을 추진할 계획”이라고 말했다.

5일	5/SN+일/NNB
복지부는	복지부/NNG+는/JX
“보육교사들의	“/SS+보육/NNG+교사/NNG+들/XSN+의/JKG
목소리를	목소리/NNG+를/JKO
반영하고,	반영/NNG+하/XSV+고/EC+,/SP
영유아보육법에	영유아/NNG+보육법/NNG+에/JKB
대해	대하/VV+아/EC
자유롭게	자유/NNG+롭/XSA+게/EC
