# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.112
metadata : {}


# id : NWRW1800000030.112.1.1
김정은 가계도 일일이 수집해 북한 앱 만든 북한학과 대학생

김정은	김정은/NNP
가계도	가계도/NNG
일일이	일일이/MAG
수집해	수집/NNG+하/XSV+아/EC
북한	북한/NNP
앱	앱/NNG
만든	만들/VV+ㄴ/ETM
북한학과	북한학과/NNG
대학생	대학/NNG+생/XSN


# id : NWRW1800000030.112.2.1
•인구·군사력 등 담아 자비 500만원 들여 출시

•인구·군사력	•/SW+인구/NNG+·/SP+군사력/NNG
등	등/NNB
담아	담/VV+아/EC
자비	자비/NNG
500만원	500/SN+만/NR+원/NNB
들여	들이/VV+어/EC
출시	출시/NNG


# id : NWRW1800000030.112.3.1
"북한에 대한 정보를 알리는 앱이니까 당연히 무료 배포해야죠.

"북한에	"/SS+북한/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
정보를	정보/NNG+를/JKO
알리는	알리/VV+는/ETM
앱이니까	앱/NNG+이/VCP+니까/EC
당연히	당연히/MAG
무료	무료/NNG
배포해야죠.	배포/NNG+하/XSV+아야지/EF+요/JX+./SF


# id : NWRW1800000030.112.3.2
스마트폰을 가진 모든 젊은이가 활용했으면 좋겠어요."

스마트폰을	스마트폰/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
모든	모든/MMN
젊은이가	젊은이/NNG+가/JKS
활용했으면	활용/NNG+하/XSV+았/EP+으면/EC
좋겠어요."	좋/VA+겠/EP+어요/EF+./SF+"/SS


# id : NWRW1800000030.112.4.1
고려대 북한학과 졸업반 김민종(26)씨가 최근 북한에 관한 전문적 정보를 제공하는 스마트폰 애플리케이션(앱) '북한단축키'를 만들었다.

고려대	고려대/NNP
북한학과	북한학과/NNG
졸업반	졸업반/NNG
김민종(26)씨가	김민종/NNP+(/SS+26/SN+)/SS+씨/NNB+가/JKS
최근	최근/NNG
북한에	북한/NNP+에/JKB
관한	관하/VV+ㄴ/ETM
전문적	전문/NNG+적/XSN
정보를	정보/NNG+를/JKO
제공하는	제공/NNG+하/XSV+는/ETM
스마트폰	스마트폰/NNG
애플리케이션(앱)	애플리케이션/NNG+(/SS+앱/NNG+)/SS
'북한단축키'를	'/SS+북한/NNP+단축키/NNG+'/SS+를/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.112.4.2
북한정보 앱은 국내 처음이다.

북한정보	북한/NNP+정보/NNG
앱은	앱/NNG+은/JX
국내	국내/NNG
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.112.4.3
1주일 만에 1000명 넘게 받아갔고, 앱 인기 순위를 300위까지 올리는 '팟게이트'에도 20위 안팎에 랭크된 인기 앱이다.

1주일	1/SN+주일/NNB
만에	만/NNB+에/JKB
