# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.27
metadata : {}


# id : NWRW1800000054.27.1.1
[월드 톡톡] 돼지고기 즐기다 뚱보 될라… 채식 찾는 왕서방

[월드	[/SS+월드/NNG
톡톡]	톡톡/MAG+]/SS
돼지고기	돼지고기/NNG
즐기다	즐기/VV+다/EC
뚱보	뚱보/NNG
될라…	되/VV+ㄹ라/EF+…/SE
채식	채식/NNG
찾는	찾/VV+는/ETM
왕서방	왕/NNP+서방/NNG


# id : NWRW1800000054.27.2.1
식어가는 중국의 '돼지고기 사랑'… 건강 챙기는 청년들 늘면서 채소로 만든 만두 등 인기

식어가는	식/VV+어/EC+가/VX+는/ETM
중국의	중국/NNP+의/JKG
'돼지고기	'/SS+돼지고기/NNG
사랑'…	사랑/NNG+'/SS+…/SE
건강	건강/NNG
챙기는	챙기/VV+는/ETM
청년들	청년/NNG+들/XSN
늘면서	늘/VV+면서/EC
채소로	채소/NNG+로/JKB
만든	만들/VV+ㄴ/ETM
만두	만두/NNG
등	등/NNB
인기	인기/NNG


# id : NWRW1800000054.27.3.1
중국인들이 건강을 위해 채식을 선호하면서 중국 내 돼지고기 소비가 정점을 찍고 감소세로 돌아섰다고 로이터통신이 20일 보도했다.

중국인들이	중국인/NNG+들/XSN+이/JKS
건강을	건강/NNG+을/JKO
위해	위하/VV+아/EC
채식을	채식/NNG+을/JKO
선호하면서	선호/NNG+하/XSV+면서/EC
중국	중국/NNP
내	내/NNB
돼지고기	돼지고기/NNG
소비가	소비/NNG+가/JKS
정점을	정점/NNG+을/JKO
찍고	찍/VV+고/EC
감소세로	감소세/NNG+로/JKB
돌아섰다고	돌아서/VV+었/EP+다고/EC
로이터통신이	로이터통신/NNP+이/JKS
20일	20/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.27.3.2
중국인들은 '돼지고기 왕국'이라는 말이 나올 정도로 돼지고기를 즐긴다.

중국인들은	중국인/NNG+들/XSN+은/JX
'돼지고기	'/SS+돼지고기/NNG
왕국'이라는	왕국/NNG+'/SS+이/VCP+라는/ETM
말이	말/NNG+이/JKS
나올	나오/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
돼지고기를	돼지고기/NNG+를/JKO
즐긴다.	즐기/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.27.4.1
산업통계 전문 기관인 유로모니터에 따르면 지난해 중국 내 돼지고기 판매량은 4085만t으로 2014년의 4249만t에 비해 크게 줄었다.

산업통계	산업/NNG+통계/NNG
전문	전문/NNG
기관인	기관/NNG+이/VCP+ㄴ/ETM
유로모니터에	유로모니터/NNP+에/JKB
따르면	따르/VV+면/EC
지난해	지난해/NNG
중국	중국/NNP
내	내/NNB
돼지고기	돼지고기/NNG
판매량은	판매량/NNG+은/JX
4085만t으로	4085/SN+만/NR+t/SW+으로/JKB
2014년의	2014/SN+년/NNB+의/JKG
4249만t에	4249/SN+만/NR+t/SW+에/JKB
비해	비/NNG+하/XSV+아/EC
크게	크/VA+게/EC
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.27.4.2
올해 판매량도 지난해에 비해 소폭 줄어 감소세가 계속될 것이라고 유로모니터는 전망했다.

올해	올해/NNG
판매량도	판매량/NNG+도/JX
지난해에	지난해/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
소폭	소폭/NNG
줄어	줄/VV+어/EC
감소세가	감소세/NNG+가/JKS
계속될	계속/NNG+되/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
유로모니터는	유로모니터/NNP+는/JX
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.27.4.3
이에 따라 돼지고기 가격도 올해 1월 이후 25% 안팎 하락했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
돼지고기	돼지고기/NNG
가격도	가격/NNG+도/JX
올해	올해/NNG
1월	1/SN+월/NNB
이후	이후/NNG
25%	25/SN+%/SW
안팎	안팎/NNG
하락했다.	하락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.27.4.4
