# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.325
metadata : {}


# id : NWRW1800000026.325.1.1
中·日 갈등 그 이후… 격화되는 자원전쟁;비상 걸린 美 "희귀금속 희토류를 확보하라"

中·日	中/SH+·/SP+日/SH
갈등	갈등/NNG
그	그/MMD
이후…	이후/NNG+…/SE
격화되는	격화/NNG+되/XSV+는/ETM
자원전쟁;비상	자원/NNG+전쟁/NNG+;/SW+비상/NNG
걸린	걸리/VV+ㄴ/ETM
美	美/SH
"희귀금속	"/SS+희귀/NNG+금속/NNG
희토류를	희토/NNG+류/XSN+를/JKO
확보하라"	확보/NNG+하/XSV+라/EF+"/SS


# id : NWRW1800000026.325.2.1
미국이 첨단제품 생산에 필수불가결한 희토류를 전 세계에 90% 이상 공급하는 중국에 대응하기 위해 부심하고 있다.

미국이	미국/NNP+이/JKS
첨단제품	첨단/NNG+제품/NNG
생산에	생산/NNG+에/JKB
필수불가결한	필수/NNG+불가결/NNG+하/XSA+ㄴ/ETM
희토류를	희토/NNG+류/XSN+를/JKO
전	전/MMN
세계에	세계/NNG+에/JKB
90%	90/SN+%/SW
이상	이상/NNG
공급하는	공급/NNG+하/XSV+는/ETM
중국에	중국/NNP+에/JKB
대응하기	대응/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
부심하고	부심/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.325.2.2
중국과 일본의 센카쿠(尖閣) 열도 분쟁을 계기로 '파워 차이나'의 현실이 확인된 배경에는 하이브리드 자동차, 전략무기 등에 사용되는 희토류의 대일(對日) 수출 중단을 협박했기 때문이었다.

중국과	중국/NNP+과/JC
일본의	일본/NNP+의/JKG
센카쿠(尖閣)	센카쿠/NNP+(/SS+尖閣/SH+)/SS
열도	열도/NNG
분쟁을	분쟁/NNG+을/JKO
계기로	계기/NNG+로/JKB
'파워	'/SS+파워/NNG
차이나'의	차이나/NNP+'/SS+의/JKG
현실이	현실/NNG+이/JKS
확인된	확인/NNG+되/XSV+ㄴ/ETM
배경에는	배경/NNG+에/JKB+는/JX
하이브리드	하이브리드/NNG
자동차,	자동차/NNG+,/SP
전략무기	전략/NNG+무기/NNG
등에	등/NNB+에/JKB
사용되는	사용/NNG+되/XSV+는/ETM
희토류의	희토/NNG+류/XSN+의/JKG
대일(對日)	대일/NNG+(/SS+對日/SH+)/SS
수출	수출/NNG
중단을	중단/NNG+을/JKO
협박했기	협박/NNG+하/XSV+았/EP+기/ETN
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.325.3.1
미국은 이 같은 현상이 미중(美中)관계에서도 일어날 수 있다고 보고 비상대책을 마련 중이다.

미국은	미국/NNP+은/JX
이	이/MMD
같은	같/VA+은/ETM
현상이	현상/NNG+이/JKS
미중(美中)관계에서도	미/NNP+중/NNP+(/SS+美中/SH+)/SS+관계/NNG+에서/JKB+도/JX
일어날	일어나/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
보고	보/VV+고/EC
비상대책을	비상/NNG+대책/NNG+을/JKO
마련	마련/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.325.3.2
미국 에너지부는 조만간 희토류의 생산을 늘리고 대체재를 확보하는 전략을 수립하기로 했다고 파이낸셜 타임스가 27일 보도했다.

미국	미국/NNP
에너지부는	에너지부/NNG+는/JX
조만간	조만간/MAG
희토류의	희토/NNG+류/XSN+의/JKG
생산을	생산/NNG+을/JKO
늘리고	늘리/VV+고/EC
대체재를	대체재/NNG+를/JKO
확보하는	확보/NNG+하/XSV+는/ETM
전략을	전략/NNG+을/JKO
수립하기로	수립/NNG+하/XSV+기/ETN+로/JKB
했다고	하/VV+았/EP+다고/EC
파이낸셜	파이낸셜/NNP
타임스가	타임스/NNP+가/JKS
27일	27/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.325.3.3
미 에너지부의 데이비드 샌달로(Sandalow) 에너지부 차관보는 "최근에 벌어진 사건(중일 분쟁)은 희토류를 포함, 핵심적인 자원에 대해 다양한 국제적인 공급망을 확보하는 것이 중요하다는 것을 보여준다"고 말했다.

미	미/NNP
에너지부의	에너지부/NNG+의/JKG
데이비드	데이비드/NNP
샌달로(Sandalow)	샌달로/NNP+(/SS+Sandalow/SL+)/SS
에너지부	에너지부/NNG
차관보는	차관보/NNG+는/JX
"최근에	"/SS+최근/NNG+에/JKB
벌어진	벌어지/VV+ㄴ/ETM
사건(중일	사건/NNG+(/SS+중/NNP+일/NNP
분쟁)은	분쟁/NNG+)/SS+은/JX
희토류를	희토/NNG+류/XSN+를/JKO
포함,	포함/NNG+,/SP
핵심적인	핵심/NNG+적/XSN+이/VCP+ㄴ/ETM
자원에	자원/NNG+에/JKB
대해	대하/VV+아/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
국제적인	국제/NNG+적/XSN+이/VCP+ㄴ/ETM
공급망을	공급망/NNG+을/JKO
확보하는	확보/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
중요하다는	중요/NNG+하/XSA+다는/ETM
것을	것/NNB+을/JKO
보여준다"고	보이/VV+어/EC+주/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.325.4.1
미 의회에서도 '경계경보'가 나오고 있다.

미	미/NNP
의회에서도	의회/NNG+에서/JKB+도/JX
'경계경보'가	'/SS+경계경보/NNG+'/SS+가/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.325.4.2
민주당의 캐시 달켐퍼(Dahlkemper) 하원의원은 "만약 우리가 희토류의 적절한 공급량을 확보하지 못하면 미국의 안보와 경제가 위험에 처할 수 있다"며 적극적인 정책 수립을 촉구했다.

민주당의	민주당/NNP+의/JKG
캐시	캐시/NNP
달켐퍼(Dahlkemper)	달켐퍼/NNP+(/SS+Dahlkemper/SL+)/SS
하원의원은	하원/NNG+의원/NNG+은/JX
"만약	"/SS+만약/MAG
우리가	우리/NP+가/JKS
희토류의	희토/NNG+류/XSN+의/JKG
적절한	적절하/VA+ㄴ/ETM
공급량을	공급량/NNG+을/JKO
확보하지	확보/NNG+하/XSV+지/EC
못하면	못하/VX+면/EC
미국의	미국/NNP+의/JKG
안보와	안보/NNG+와/JC
경제가	경제/NNG+가/JKS
위험에	위험/NNG+에/JKB
처할	처하/VV+ㄹ/ETM
수	수/NNB
있다"며	있/VA+다/EF+"/SS+며/EC
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
정책	정책/NNG
수립을	수립/NNG+을/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.325.4.3
달켐퍼 의원은 미국이 5년 내에 희토류를 자급자족하는 법안을 제출했다.

달켐퍼	달켐퍼/NNP
의원은	의원/NNG+은/JX
미국이	미국/NNP+이/JKS
5년	5/SN+년/NNB
내에	내/NNB+에/JKB
희토류를	희토/NNG+류/XSN+를/JKO
자급자족하는	자급자족/NNG+하/XSV+는/ETM
법안을	법안/NNG+을/JKO
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.325.5.1
미국은 이번 사태를 중국과의 '자원전쟁'에서 경계경보가 울린 것으로 파악하고 있다.

미국은	미국/NNP+은/JX
이번	이번/NNG
사태를	사태/NNG+를/JKO
중국과의	중국/NNP+과/JKB+의/JKG
'자원전쟁'에서	'/SS+자원/NNG+전쟁/NNG+'/SS+에서/JKB
경계경보가	경계경보/NNG+가/JKS
울린	울리/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
파악하고	파악/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.325.5.2
오바마 정부 출범 후, 천안함 폭침사건을 포함한 전방위에서의 충돌로 미중(美中)관계가 악화되고 있는 상황에서 언제라도 '중국발(發) 공포'가 엄습할 수 있다고 보고 있다.

오바마	오바마/NNP
정부	정부/NNG
출범	출범/NNG
후,	후/NNG+,/SP
천안함	천안함/NNP
폭침사건을	폭침/NNG+사건/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
전방위에서의	전방위/NNG+에서/JKB+의/JKG
충돌로	충돌/NNG+로/JKB
미중(美中)관계가	미/NNP+중/NNP+(/SS+美中/SH+)/SS+관계/NNG+가/JKS
악화되고	악화/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
상황에서	상황/NNG+에서/JKB
언제라도	언제/NP+이/VCP+라도/EC
'중국발(發)	'/SS+중국/NNP+발/XSN+(/SS+發/SH+)/SS
공포'가	공포/NNG+'/SS+가/JKS
엄습할	엄습/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.325.6.1
미국의 회계감사원(GAO)은 이미 지난 4월 희토류의 현황과 발표된 보고서를 통해 이 같은 위험성을 경고한 바 있다.

미국의	미국/NNP+의/JKG
회계감사원(GAO)은	회계/NNG+감사원/NNG+(/SS+GAO/SL+)/SS+은/JX
이미	이미/MAG
