# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.171
metadata : {}


# id : NWRW1800000025.171.1.1
IBK투자증권, ELS 2종 15, 16일 공모

IBK투자증권,	IBK투자증권/NNP+,/SP
ELS	ELS/SL
2종	2/SN+종/NNG
15,	15/SN+,/SP
16일	16/SN+일/NNB
공모	공모/NNG


# id : NWRW1800000025.171.2.1
IBK투자증권은 15일부터 이틀간 파생결합증권(ELS) 2종을 공모한다고 14일 밝혔다.

IBK투자증권은	IBK투자증권/NNP+은/JX
15일부터	15/SN+일/NNB+부터/JX
이틀간	이틀/NNG+간/XSN
파생결합증권(ELS)	파생/NNG+결합/NNG+증권/NNG+(/SS+ELS/SL+)/SS
2종을	2/SN+종/NNG+을/JKO
공모한다고	공모/NNG+하/XSV+ㄴ다고/EC
14일	14/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.171.3.1
‘IBK투자증권 제25회 ELS’는 코스피200을 기초 자산으로 하는 원금 비보장 조기상환형 상품이다.

‘IBK투자증권	‘/SS+IBK투자증권/NNP
제25회	제/XPN+25/SN+회/NNB
ELS’는	ELS/SL+’/SS+는/JX
코스피200을	코스피/NNP+200/SN+을/JKO
기초	기초/NNG
자산으로	자산/NNG+으로/JKB
하는	하/VV+는/ETM
원금	원금/NNG
비보장	비/XPN+보장/NNG
조기상환형	조기/NNG+상환/NNG+형/XSN
상품이다.	상품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.171.3.2
3년 만기에 최대 연 10% 수익을 지급한다.

3년	3/SN+년/NNB
만기에	만기/NNG+에/JKB
최대	최대/NNG
연	연/NNG
10%	10/SN+%/SW
수익을	수익/NNG+을/JKO
지급한다.	지급/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.171.3.3
만기까지는 6개월마다 총 5차례의 조기상환 기회가 주어진다.

만기까지는	만기/NNG+까지/JX+는/JX
6개월마다	6/SN+개월/NNB+마다/JX
총	총/MMA
5차례의	5/SN+차례/NNG+의/JKG
조기상환	조기/NNG+상환/NNG
기회가	기회/NNG+가/JKS
주어진다.	주어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.171.3.4
조기상환 평가일에 기초자산의 종가가 최초 기준가격의 95%(6, 12개월), 90%(18, 24개월), 85%(30개월) 이상이면 연 10% 수익을 제공한다.

조기상환	조기/NNG+상환/NNG
평가일에	평가일/NNG+에/JKB
기초자산의	기초/NNG+자산/NNG+의/JKG
종가가	종가/NNG+가/JKS
최초	최초/NNG
기준가격의	기준/NNG+가격/NNG+의/JKG
95%(6,	95/SN+%/SW+(/SS+6/SN+,/SP
12개월),	12/SN+개월/NNB+)/SS+,/SP
90%(18,	90/SN+%/SW+(/SS+18/SN+,/SP
24개월),	24/SN+개월/NNB+)/SS+,/SP
85%(30개월)	85/SN+%/SW+(/SS+30/SN+개월/NNB+)/SS
