# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.37
metadata : {}


# id : NWRW1800000044.37.1.1
민생 민생 하더니…쥐꼬리만큼 올린 최저생계비

민생	민생/NNG
하더니…쥐꼬리만큼	하/VV+더니/EC+…/SE+쥐꼬리/NNG+만큼/JKB
올린	올리/VV+ㄴ/ETM
최저생계비	최저/NNG+생계비/NNG


# id : NWRW1800000044.37.2.1
[한겨레] 내년 4인가구 월 166만8329원

[한겨레]	[/SS+한겨레/NNP+]/SS
내년	내년/NNG
4인가구	4/SN+인/NNG+가구/NNG
월	월/NNG
166만8329원	166/SN+만/NR+8329/SN+원/NNB


# id : NWRW1800000044.37.3.1
인상폭 2.3%…2000년 뒤 최저

인상폭	인상/NNG+폭/NNG
2.3%…2000년	2/SN+./SP+3/SN+%/SW+…/SE+2000/SN+년/NNB
뒤	뒤/NNG
최저	최저/NNG


# id : NWRW1800000044.37.4.1
내년도 최저생계비가 올해보다 3만7500원 남짓 오른 월 166만8329원(4인 가구 기준)으로 결정됐다.

내년도	내년도/NNG
최저생계비가	최저/NNG+생계비/NNG+가/JKS
올해보다	올해/NNG+보다/JKB
3만7500원	3/SN+만/NR+7500/SN+원/NNB
남짓	남짓/NNB
오른	오르/VV+ㄴ/ETM
월	월/NNG
166만8329원(4인	166/SN+만/NR+8329/SN+원/NNB+(/SS+4/SN+인/NNG
가구	가구/NNG
기준)으로	기준/NNG+)/SS+으로/JKB
결정됐다.	결정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.37.4.2
올해 물가상승률이 워낙 낮아 이를 반영한 내년도 최저생계비 인상폭도 2.3%에 그친 것인데, 이는 2000년 이후 가장 낮은 수준이다.

올해	올해/NNG
물가상승률이	물가/NNG+상승/NNG+률/XSN+이/JKS
워낙	워낙/MAG
낮아	낮/VA+아/EC
이를	이/NP+를/JKO
반영한	반영/NNG+하/XSV+ㄴ/ETM
내년도	내년도/NNG
최저생계비	최저/NNG+생계비/NNG
인상폭도	인상/NNG+폭/NNG+도/JX
2.3%에	2/SN+./SP+3/SN+%/SW+에/JKB
그친	그치/VV+ㄴ/ETM
것인데,	것/NNB+이/VCP+ㄴ데/EC+,/SP
이는	이/NP+는/JX
2000년	2000/SN+년/NNB
이후	이후/NNG
가장	가장/MAG
낮은	낮/VA+은/ETM
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.37.5.1
보건복지부는 29일 중앙생활보장위원회를 열어 2015년 최저생계비를 심의·의결했다고 밝혔다.

보건복지부는	보건/NNG+복지부/NNG+는/JX
29일	29/SN+일/NNB
