# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.291
metadata : {}


# id : NWRW1800000048.291.1.1
“숙부님 좋아한 ‘한겨레’ 통해 생전 유지 전하고 싶어”

“숙부님	“/SS+숙부/NNG+님/XSN
좋아한	좋아하/VV+ㄴ/ETM
‘한겨레’	‘/SS+한겨레/NNP+’/SS
통해	통하/VV+아/EC
생전	생전/NNG
유지	유지/NNG
전하고	전하/VV+고/EC
싶어”	싶/VX+어/EF+”/SS


# id : NWRW1800000048.291.2.1
시카고 유헤리티지재단 이사장 유정호씨…고 유기진씨 유산 세브란스 기증

시카고	시카고/NNP
유헤리티지재단	유헤리티지재단/NNP
이사장	이사장/NNG
유정호씨…고	유정호/NNP+씨/NNB+…/SE+고/MMA
유기진씨	유기진/NNP+씨/NNB
유산	유산/NNG
세브란스	세브란스/NNP
기증	기증/NNG


# id : NWRW1800000048.291.3.1
지난 15일 오후, 서울 신촌 연세대세브란스병원에서 미국 시카고에 있는 유(Ryu)헤리티지재단의 10만달러(1억1천여만원) 장학기금 기증식이 열렸다.

지난	지나/VV+ㄴ/ETM
15일	15/SN+일/NNB
오후,	오후/NNG+,/SP
서울	서울/NNP
신촌	신촌/NNP
연세대세브란스병원에서	연세대세브란스병원/NNP+에서/JKB
미국	미국/NNP
시카고에	시카고/NNP+에/JKB
있는	있/VA+는/ETM
유(Ryu)헤리티지재단의	유/NNP+(/SS+Ryu/SL+)/SS+헤리티지재단/NNP+의/JKG
10만달러(1억1천여만원)	10/SN+만/NR+달러/NNB+(/SS+1/SN+억/NR+1/SN+천/NR+여/XSN+만/NR+원/NNB+)/SS
장학기금	장학/NNG+기금/NNG
기증식이	기증식/NNG+이/JKS
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.291.3.2
이 재단의 이사장이자 재미동포 의사인 유정호(70·오른쪽 둘째)씨는 “재단을 창립하신 작은아버님의 유언대로 모교에 유산을 기증하게 돼 감개무량하다.

이	이/MMD
재단의	재단/NNG+의/JKG
