# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.3
metadata : {}


# id : NWRW1800000025.3.1.1
[오명철 기자의 인물기행]조계종 종정 8년 만에 첫 인터뷰 법전 스님

[오명철	[/SS+오명철/NNP
기자의	기자/NNG+의/JKG
인물기행]조계종	인물/NNG+기행/NNG+]/SS+조계종/NNP
종정	종정/NNG
8년	8/SN+년/NNB
만에	만/NNB+에/JKB
첫	첫/MMN
인터뷰	인터뷰/NNG
법전	법전/NNP
스님	스님/NNG


# id : NWRW1800000025.3.2.1
《2010년 경인년(庚寅年) 백호(白虎)의 해가 밝았다.

《2010년	《/SS+2010/SN+년/NNB
경인년(庚寅年)	경인년/NNG+(/SS+庚寅年/SH+)/SS
백호(白虎)의	백호/NNG+(/SS+白虎/SH+)/SS+의/JKG
해가	해/NNG+가/JKS
밝았다.	밝/VA+았/EP+다/EF+./SF


# id : NWRW1800000025.3.2.2
60년 만에 한 번씩 온다는 희망의 해다.

60년	60/SN+년/NNB
만에	만/NNB+에/JKB
한	한/MMN
번씩	번/NNB+씩/XSN
온다는	오/VV+ㄴ다는/ETM
희망의	희망/NNG+의/JKG
해다.	해/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.3.2.3
호랑이 같은 기운과 백설 같은 순수함을 찾아 산문(山門)에 들었다.

호랑이	호랑이/NNG
같은	같/VA+은/ETM
기운과	기운/NNG+과/JC
백설	백설/NNG
순수함을	순수/NNG+하/XSA+ㅁ/ETN+을/JKO
찾아	찾/VV+아/EC
산문(山門)에	산문/NNG+(/SS+山門/SH+)/SS+에/JKB
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.3.2.4
법전 종정 스님(85)을 찾아뵙기 위해서였다.

법전	법전/NNP
종정	종정/NNG
스님(85)을	스님/NNG+(/SS+85/SN+)/SS+을/JKO
찾아뵙기	찾아뵙/VV+기/ETN
위해서였다.	위하/VV+아서/EC+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.3.2.5
지난해 말 제주에 폭설이 내렸을 때 숙소에서 사흘간 틀어박혀 최근 출간된 스님의 치열한 수행과 깨달음의 자서전 ‘누구 없는가’(김영사)를 읽고 큰 감동을 받은 터였다.

지난해	지난해/NNG
말	말/NNB
제주에	제주/NNP+에/JKB
폭설이	폭설/NNG+이/JKS
내렸을	내리/VV+었/EP+을/ETM
때	때/NNG
숙소에서	숙소/NNG+에서/JKB
사흘간	사흘/NNG+간/XSN
틀어박혀	틀어박히/VV+어/EC
최근	최근/NNG
출간된	출간/NNG+되/XSV+ㄴ/ETM
스님의	스님/NNG+의/JKG
치열한	치열/NNG+하/XSA+ㄴ/ETM
수행과	수행/NNG+과/JKB
깨달음의	깨달음/NNG+의/JKG
자서전	자서전/NNG
‘누구	‘/SS+누구/NP
없는가’(김영사)를	없/VA+는가/EF+’/SS+(/SS+김영사/NNP+)/SS+를/JKO
읽고	읽/VV+고/EC
큰	크/VA+ㄴ/ETM
감동을	감동/NNG+을/JKO
받은	받/VV+은/ETM
터였다.	터/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.3.2.6
종정께서 가야산 추위를 피해 대구 한 사찰에 머물고 계신다는 소식을 입수해 곧장 대구로 달려 내려갔다.》

종정께서	종정/NNG+께서/JKS
가야산	가야산/NNP
추위를	추위/NNG+를/JKO
피해	피하/VV+아/EC
대구	대구/NNP
한	한/MMN
사찰에	사찰/NNG+에/JKB
머물고	머물/VV+고/EC
계신다는	계시/VX+ㄴ다는/ETM
소식을	소식/NNG+을/JKO
입수해	입수/NNG+하/XSV+아/EC
곧장	곧장/MAG
대구로	대구/NNP+로/JKB
달려	달리/VV+어/EC
내려갔다.》	내려가/VV+았/EP+다/EF+./SF+》/SS


# id : NWRW1800000025.3.3.1
명당 중의 명당이라는 북향 명당에 무심당(無心堂)이란 당호(堂號)가 붙어있었다.

명당	명당/NNG
중의	중/NNB+의/JKG
명당이라는	명당/NNG+이/VCP+라는/ETM
북향	북향/NNG
명당에	명당/NNG+에/JKB
무심당(無心堂)이란	무심당/NNP+(/SS+無心堂/SH+)/SS+이/VCP+란/ETM
당호(堂號)가	당호/NNG+(/SS+堂號/SH+)/SS+가/JKS
붙어있었다.	붙/VV+어/EC+있/VX+었/EP+다/EF+./SF


# id : NWRW1800000025.3.3.2
무주심당(無住心堂)의 준말, 즉 ‘머무르지 않고 집착하지 않는 마음’이란 의미다.

무주심당(無住心堂)의	무주심당/NNG+(/SS+無住心堂/SH+)/SS+의/JKG
준말,	준말/NNG+,/SP
즉	즉/MAG
‘머무르지	‘/SS+머무르/VV+지/EC
않고	않/VX+고/EC
집착하지	집착/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
마음’이란	마음/NNG+’/SS+이/VCP+란/ETM
의미다.	의미/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.3.3.3
절 앞으로 팔공산 능선이 병풍처럼 펼쳐져 있다.

절	절/NNG
앞으로	앞/NNG+으로/JKB
팔공산	팔공산/NNP
능선이	능선/NNG+이/JKS
병풍처럼	병풍/NNG+처럼/JKB
펼쳐져	펼쳐지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.3.3.4
작고 단단하기가 차돌멩이 같은 노장의 기상과 기백을 닮아 절의 기세가 만만치 않다.

작고	작/VA+고/EC
단단하기가	단단하/VA+기/ETN+가/JKS
차돌멩이	차돌멩이/NNG
같은	같/VA+은/ETM
노장의	노장/NNG+의/JKG
기상과	기상/NNG+과/JC
기백을	기백/NNG+을/JKO
닮아	닮/VV+아/EC
절의	절/NNG+의/JKG
기세가	기세/NNG+가/JKS
만만치	만만하/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000025.3.4.1
“명(命)이 짧을 것 같다”는 주위의 말씀에 부모님이 열네 살에 절로 보낸 이후로 70년을 오직 화두에 매달린 대선사에게 법거량(法擧量)을 할 학식과 기백이 내게는 없다.

“명(命)이	“/SS+명/NNG+(/SS+命/SH+)/SS+이/JKS
짧을	짧/VA+을/ETM
것	것/NNB
같다”는	같/VA+다/EF+”/SS+는/ETM
주위의	주위/NNG+의/JKG
말씀에	말씀/NNG+에/JKB
부모님이	부모/NNG+님/XSN+이/JKS
열네	열네/MMN
살에	살/NNB+에/JKB
절로	절/NNG+로/JKB
보낸	보내/VV+ㄴ/ETM
이후로	이후/NNG+로/JKB
70년을	70/SN+년/NNB+을/JKO
오직	오직/MAG
화두에	화두/NNG+에/JKB
매달린	매달리/VV+ㄴ/ETM
대선사에게	대/XPN+선사/NNG+에게/JKB
법거량(法擧量)을	법거량/NNG+(/SS+法擧量/SH+)/SS+을/JKO
할	하/VV+ㄹ/ETM
학식과	학식/NNG+과/JC
기백이	기백/NNG+이/JKS
내게는	나/NP+에게/JKB+는/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000025.3.4.2
그랬다간 대번에 몽둥이찜질이 날아올 판이다.

그랬다간	그러/VV+었/EP+다간/EC
대번에	대번에/MAG
몽둥이찜질이	몽둥이찜질/NNG+이/JKS
날아올	날아오/VV+ㄹ/ETM
판이다.	판/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.3.4.3
그저 세속의 언어와 문자로 조심조심 안색을 살피며 질문을 드렸다.

그저	그저/MAG
세속의	세속/NNG+의/JKG
언어와	언어/NNG+와/JC
문자로	문자/NNG+로/JKB
조심조심	조심조심/MAG
안색을	안색/NNG+을/JKO
살피며	살피/VV+며/EC
질문을	질문/NNG+을/JKO
드렸다.	드리/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.3.4.4
고령에도 불구하고 동자승같이 천진무구한 미소로 맞아주시는 종정 스님의 너그러움에 ‘선처’를 고대할 뿐이었다.

고령에도	고령/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
동자승같이	동자승/NNG+같이/JKB
천진무구한	천진무구/NNG+하/XSA+ㄴ/ETM
미소로	미소/NNG+로/JKB
맞아주시는	맞/VV+아/EC+주/VX+시/EP+는/ETM
종정	종정/NNG
스님의	스님/NNG+의/JKG
너그러움에	너그럽/VA+ㅁ/ETN+에/JKB
‘선처’를	‘/SS+선처/NNG+’/SS+를/JKO
고대할	고대/NNG+하/XSV+ㄹ/ETM
뿐이었다.	뿐/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.3.4.5
노장은 예고 없이 찾아온 기자를 물리치지 않고 좌정하신 채 10년을 묵혔다는 머루주를 친히 잔에 따라 주신다.

노장은	노장/NNG+은/JX
예고	예고/NNG
없이	없이/MAG
찾아온	찾아오/VV+ㄴ/ETM
기자를	기자/NNG+를/JKO
물리치지	물리치/VV+지/EC
않고	않/VX+고/EC
좌정하신	좌정/NNG+하/XSV+시/EP+ㄴ/ETM
채	채/NNB
10년을	10/SN+년/NNB+을/JKO
묵혔다는	묵히/VV+었/EP+다는/ETM
머루주를	머루주/NNG+를/JKO
친히	친히/MAG
잔에	잔/NNG+에/JKB
따라	따르/VV+아/EC
주신다.	주/VX+시/EP+ㄴ다/EF+./SF


# id : NWRW1800000025.3.4.6
‘도수’는 없고 ‘향기’만 그윽하니 곡차(穀茶)라 해야 할지 ‘음료’라 해야 할지 모르겠다.

‘도수’는	‘/SS+도수/NNG+’/SS+는/JX
없고	없/VA+고/EC
‘향기’만	‘/SS+향기/NNG+’/SS+만/JX
그윽하니	그윽하/VA+니/EC
곡차(穀茶)라	곡차/NNG+(/SS+穀茶/SH+)/SS+이/VCP+라/EC
해야	하/VV+아야/EC
할지	하/VX+ㄹ지/EC
‘음료’라	‘/SS+음료/NNG+’/SS+라/EC
