# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.274
metadata : {}


# id : NWRW1800000036.274.1.1
‘차병원 리베이트’ 수사, 변죽만 울리고…

‘차병원	‘/SS+차병원/NNP
리베이트’	리베이트/NNG+’/SS
수사,	수사/NNG+,/SP
변죽만	변죽/NNG+만/JX
울리고…	울리/VV+고/EC+…/SE


# id : NWRW1800000036.274.2.1
[한겨레] 경찰, 2명 불구속 입건하고 종결

[한겨레]	[/SS+한겨레/NNP+]/SS
경찰,	경찰/NNG+,/SP
2명	2/SN+명/NNB
불구속	불/XPN+구속/NNG
입건하고	입건/NNG+하/XSV+고/EC
종결	종결/NNG


# id : NWRW1800000036.274.3.1
억대 비자금 사용처 끝내 못밝혀

억대	억/NR+대/XSN
비자금	비자금/NNG
사용처	사용처/NNG
끝내	끝내/MAG
못밝혀	못/MAG+밝히/VV+어/EF


# id : NWRW1800000036.274.4.1
대형 의료재단 차병원그룹과 연간 수백억원대의 의약품을 납품하는 도매업체 사이에 오간 리베이트 사건(<한겨레> 5월8일치 12면)을 수사해온 경찰이 당사자 2명만 불구속 입건한 채 사실상 수사를 끝냈다.

대형	대형/NNG
의료재단	의료/NNG+재단/NNG
차병원그룹과	차병원그룹/NNP+과/JC
연간	연간/NNG
수백억원대의	수백억/NR+원/NNB+대/XSN+의/JKG
의약품을	의약품/NNG+을/JKO
납품하는	납품/NNG+하/XSV+는/ETM
도매업체	도매업체/NNG
사이에	사이/NNG+에/JKB
오간	오가/VV+ㄴ/ETM
리베이트	리베이트/NNG
사건(<한겨레>	사건/NNG+(/SS+</SS+한겨레/NNP+>/SS
5월8일치	5/SN+월/NNB+8/SN+일/NNB+치/NNB
12면)을	12/SN+면/NNG+)/SS+을/JKO
수사해온	수사/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
경찰이	경찰/NNG+이/JKS
당사자	당사자/NNG
2명만	2/SN+명/NNB+만/JX
