# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.20
metadata : {}


# id : NWRW1800000022.20.1.1
場外 나간 與野_한나라, 전국 돌며 '金産분리 완화' 등 쟁점법안 설명회;민주당은 대전에서 'MB악법 저지 결의대회' 열어

場外	場外/SH
나간	나가/VV+ㄴ/ETM
與野_한나라,	與野/SH+_/SW+한나라/NNP+,/SP
전국	전국/NNG
돌며	돌/VV+며/EC
'金産분리	'/SS+金産/SH+분리/NNG
완화'	완화/NNG+'/SS
등	등/NNB
쟁점법안	쟁점/NNG+법안/NNG
설명회;민주당은	설명회/NNG+;/SW+민주당/NNP+은/JX
대전에서	대전/NNP+에서/JKB
'MB악법	'/SS+MB/SL+악법/NNG
저지	저지/NNG
결의대회'	결의/NNG+대회/NNG+'/SS
열어	열/VV+어/EF


# id : NWRW1800000022.20.2.1
여야가 임시국회 휴회 중인 15일부터 전국 곳곳에서 장외(場外) 선전전을 벌였다.

여야가	여야/NNG+가/JKS
임시국회	임시/NNG+국회/NNG
휴회	휴회/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
15일부터	15/SN+일/NNB+부터/JX
전국	전국/NNG
곳곳에서	곳곳/NNG+에서/JKB
장외(場外)	장외/NNG+(/SS+場外/SH+)/SS
선전전을	선전전/NNG+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.20.2.2
미디어법 등 쟁점법안 처리로 다시 맞붙을 2월 국회에서 유리한 고지를 선점하기 위한 포석이다.

미디어법	미디어법/NNG
등	등/NNB
쟁점법안	쟁점/NNG+법안/NNG
처리로	처리/NNG+로/JKB
다시	다시/MAG
맞붙을	맞붙/VV+을/ETM
2월	2/SN+월/NNB
국회에서	국회/NNG+에서/JKB
유리한	유리/NNG+하/XSA+ㄴ/ETM
고지를	고지/NNG+를/JKO
선점하기	선점/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
포석이다.	포석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.20.2.3
여야 모두 대안 마련보다는 또 다른 충돌을 준비한다는 지적도 있다.

여야	여야/NNG
모두	모두/MAG
대안	대안/NNG
마련보다는	마련/NNG+보다/JKB+는/JX
또	또/MAG
다른	다른/MMD
충돌을	충돌/NNG+을/JKO
준비한다는	준비/NNG+하/XSV+ㄴ다는/ETM
지적도	지적/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.20.3.1
◆한나라, "惡法이 아니라 경제살리는 藥法"

◆한나라,	◆/SW+한나라/NNP+,/SP
"惡法이	"/SS+惡法/SH+이/JKC
아니라	아니/VCN+라/EC
경제살리는	경제/NNG+살리/VV+는/ETM
藥法"	藥法/SH+"/SS


# id : NWRW1800000022.20.4.1
한나라당은 15일, 부산·인천·충남·전북 등에서 정책설명회를 열었고, 22일까지 전국을 돌며 설명회를 열 계획이다.

한나라당은	한나라당/NNP+은/JX
15일,	15/SN+일/NNB+,/SP
부산·인천·충남·전북	부산/NNP+·/SP+인천/NNP+·/SP+충남/NNP+·/SP+전북/NNP
등에서	등/NNB+에서/JKB
정책설명회를	정책/NNG+설명회/NNG+를/JKO
열었고,	열/VV+었/EP+고/EC+,/SP
22일까지	22/SN+일/NNB+까지/JX
전국을	전국/NNG+을/JKO
돌며	돌/VV+며/EC
설명회를	설명회/NNG+를/JKO
열	열/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.20.4.2
연말 국회 때 야당이 주도했던 '폭력국회'의 문제점을 부각시키고 야당이 'MB악법'으로 주장하는 쟁점 법안들의 정확한 내용을 알리겠다는 목적이다.

연말	연말/NNG
국회	국회/NNG
때	때/NNG
야당이	야당/NNG+이/JKS
주도했던	주도/NNG+하/XSV+았/EP+던/ETM
'폭력국회'의	'/SS+폭력/NNG+국회/NNG+'/SS+의/JKG
문제점을	문제점/NNG+을/JKO
부각시키고	부각/NNG+시키/XSV+고/EC
'MB악법'으로	'/SS+MB/SL+악법/NNG+'/SS+으로/JKB
주장하는	주장/NNG+하/XSV+는/ETM
쟁점	쟁점/NNG
법안들의	법안/NNG+들/XSN+의/JKG
정확한	정확/NNG+하/XSA+ㄴ/ETM
내용을	내용/NNG+을/JKO
알리겠다는	알리/VV+겠/EP+다는/ETM
목적이다.	목적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.20.4.3
당원들조차 법안 내용을 잘 모른다는 지적 때문에, 설을 앞두고 당원교육도 겸하고 있다.

당원들조차	당원/NNG+들/XSN+조차/JX
법안	법안/NNG
내용을	내용/NNG+을/JKO
잘	잘/MAG
모른다는	모르/VV+ㄴ다는/ETM
지적	지적/NNG
때문에,	때문/NNB+에/JKB+,/SP
설을	설/NNG+을/JKO
앞두고	앞두/VV+고/EC
당원교육도	당원/NNG+교육/NNG+도/JX
겸하고	겸/NNB+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.20.5.1
당원 300여명이 참석한 가운데 경남 창원에서 열린 설명회에서 박희태 당 대표는 "원래는 경제를 살리는 약법(藥法)인데 야당이 발음을 이상하게 해서 악법(惡法)이라고 했다"며 "건설 현장에서 들려야 하는 해머 소리가 엉뚱하게 국회에서 울렸다"고 했다.

당원	당원/NNG
300여명이	300/SN+여/XSN+명/NNB+이/JKS
참석한	참석/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
경남	경남/NNP
창원에서	창원/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
설명회에서	설명회/NNG+에서/JKB
박희태	박희태/NNP
당	당/NNG
대표는	대표/NNG+는/JX
"원래는	"/SS+원래/NNG+는/JX
경제를	경제/NNG+를/JKO
살리는	살리/VV+는/ETM
약법(藥法)인데	약/NNG+법/NNG+(/SS+藥法/SH+)/SS+이/VCP+ㄴ데/EC
야당이	야당/NNG+이/JKS
발음을	발음/NNG+을/JKO
이상하게	이상/NNG+하/XSA+게/EC
해서	하/VX+아서/EC
악법(惡法)이라고	악법/NNG+(/SS+惡法/SH+)/SS+이/VCP+라고/EC
했다"며	하/VV+았/EP+다/EF+"/SS+며/EC
"건설	"/SS+건설/NNG
현장에서	현장/NNG+에서/JKB
들려야	들리/VV+어야/EC
하는	하/VX+는/ETM
해머	해머/NNG
소리가	소리/NNG+가/JKS
엉뚱하게	엉뚱하/VA+게/EC
국회에서	국회/NNG+에서/JKB
울렸다"고	울리/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.20.5.2
