# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.161
metadata : {}


# id : NWRW1800000029.161.1.1
수출주도국 → 자본주도국… 日경제 ‘체질 전환’

수출주도국	수출/NNG+주도국/NNG
→	→/SW
자본주도국…	자본/NNG+주도국/NNG+…/SE
日경제	日/SH+경제/NNG
‘체질	‘/SS+체질/NNG
전환’	전환/NNG+’/SS


# id : NWRW1800000029.161.2.1
일본 경제의 체질이 바뀌고 있다.

일본	일본/NNP
경제의	경제/NNG+의/JKG
체질이	체질/NNG+이/JKS
바뀌고	바뀌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.161.2.2
국내에서 세계 최고 수준의 제품을 만들어 수출해서 부(무역흑자)를 쌓아온 수출주도형 국가에서 해외기업을 인수합병(M&A)해 투자이익을 뽑는 자본주도형 국가로 전환하고 있다.

국내에서	국내/NNG+에서/JKB
세계	세계/NNG
최고	최고/NNG
수준의	수준/NNG+의/JKG
제품을	제품/NNG+을/JKO
만들어	만들/VV+어/EC
수출해서	수출/NNG+하/XSV+아서/EC
부(무역흑자)를	부/NNG+(/SS+무역/NNG+흑자/NNG+)/SS+를/JKO
쌓아온	쌓/VV+아/EC+오/VX+ㄴ/ETM
수출주도형	수출/NNG+주도/NNG+형/XSN
국가에서	국가/NNG+에서/JKB
해외기업을	해외/NNG+기업/NNG+을/JKO
인수합병(M&A)해	인수/NNG+합병/NNG+(/SS+M/SL+&/SW+A/SL+)/SS+하/XSV+아/EC
투자이익을	투자/NNG+이익/NNG+을/JKO
뽑는	뽑/VV+는/ETM
자본주도형	자본/NNG+주도/NNG+형/XSN
국가로	국가/NNG+로/JKB
전환하고	전환/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.161.2.3
일본은 올해도 사상 최대의 M&A 실적을 냈다.

일본은	일본/NNP+은/JX
올해도	올해/NNG+도/JX
사상	사상/NNG
최대의	최대/NNG+의/JKG
M&A	M/SL+&/SW+A/SL
실적을	실적/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.161.3.1
29일 니혼게이자이신문에 따르면 올해 일본 기업의 해외기업 M&A는 609건에 684억 달러(약 75조 원)로 사상 최대였다.

29일	29/SN+일/NNB
니혼게이자이신문에	니혼게이자이신문/NNP+에/JKB
따르면	따르/VV+면/EC
올해	올해/NNG
일본	일본/NNP
기업의	기업/NNG+의/JKG
해외기업	해외/NNG+기업/NNG
M&A는	M/SL+&/SW+A/SL+는/JX
609건에	609/SN+건/NNB+에/JKB
684억	684/SN+억/NR
달러(약	달러/NNB+(/SS+약/MMA
75조	75/SN+조/NR
원)로	원/NNB+)/SS+로/JKB
사상	사상/NNG
최대였다.	최대/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.161.3.2
금액 기준으로 지난해보다 78% 늘었다.

금액	금액/NNG
기준으로	기준/NNG+으로/JKB
지난해보다	지난해/NNG+보다/JKB
78%	78/SN+%/SW
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.161.3.3
재정위기로 유럽은 해외기업 M&A가 22% 감소하고 전통적으로 M&A 강국이던 미국은 56% 증가에 그친 것과 대비된다.

재정위기로	재정/NNG+위기/NNG+로/JKB
유럽은	유럽/NNP+은/JX
해외기업	해외/NNG+기업/NNG
M&A가	M/SL+&/SW+A/SL+가/JKS
22%	22/SN+%/SW
감소하고	감소/NNG+하/XSV+고/EC
전통적으로	전통/NNG+적/XSN+으로/JKB
M&A	M/SL+&/SW+A/SL
강국이던	강국/NNG+이/VCP+던/ETM
미국은	미국/NNP+은/JX
56%	56/SN+%/SW
증가에	증가/NNG+에/JKB
그친	그치/VV+ㄴ/ETM
것과	것/NNB+과/JKB
대비된다.	대비/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.161.4.1
일본이 공격적인 해외 M&A에 나설 수 있었던 것은 넉넉한 자금 때문이다.

일본이	일본/NNP+이/JKS
공격적인	공격/NNG+적/XSN+이/VCP+ㄴ/ETM
해외	해외/NNG
M&A에	M/SL+&/SW+A/SL+에/JKB
나설	나서/VV+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
것은	것/NNB+은/JX
넉넉한	넉넉하/VA+ㄴ/ETM
자금	자금/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.161.4.2
최근 1년간 엔화가치는 미국 달러 대비 7.6% 이상 상승했다.

최근	최근/MAG
1년간	1/SN+년/NNB+간/XSN
엔화가치는	엔화/NNG+가치/NNG+는/JX
미국	미국/NNP
달러	달러/NNG
대비	대비/NNG
7.6%	7/SN+./SP+6/SN+%/SW
이상	이상/NNG
상승했다.	상승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.161.4.3
화폐 가치가 급등하면 수출 채산성은 악화되지만 해외 구매력은 높아져 그만큼 싸게 해외 알짜기업을 사들일 수 있다.

화폐	화폐/NNG
가치가	가치/NNG+가/JKS
급등하면	급등/NNG+하/XSV+면/EC
수출	수출/NNG
채산성은	채산/NNG+성/XSN+은/JX
악화되지만	악화/NNG+되/XSV+지만/EC
해외	해외/NNG
구매력은	구매력/NNG+은/JX
높아져	높아지/VV+어/EC
그만큼	그만큼/MAG
싸게	싸/VA+게/EC
알짜기업을	알짜/NNG+기업/NNG+을/JKO
사들일	사들이/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.161.4.4
일본의 다케다제약이 경쟁사였던 스위스의 나이코메드를 140억 달러에 인수하는 등 굵직굵직한 M&A가 줄을 이었다.

일본의	일본/NNP+의/JKG
