# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.343
metadata : {}


# id : NWRW1800000038.343.1.1
차관때 "복지 공약 검증" 소신 펴

차관때	차관/NNG+때/NNG
"복지	"/SS+복지/NNG
공약	공약/NNG
검증"	검증/NNG+"/SS
소신	소신/NNG
펴	펴/VV+어/EF


# id : NWRW1800000038.343.2.1
김동연 국무총리실장 내정자, 타부처 정책·예산사정에 밝아

김동연	김동연/NNP
국무총리실장	국무총리실장/NNG
내정자,	내정자/NNG+,/SP
타부처	타/MMD+부처/NNG
정책·예산사정에	정책/NNG+·/SP+예산/NNG+사정/NNG+에/JKB
밝아	밝/VA+아/EF


# id : NWRW1800000038.343.3.1
국무총리실장으로 내정된 김동연(56·사진) 기획재정부 2차관은 덕수상고를 졸업하고 은행에 취업해 야간 대학을 다니며 입법고시와 행정고시(26회)에 합격한 입지전적 인물이다.

국무총리실장으로	국무총리실장/NNG+으로/JKB
내정된	내정/NNG+되/XSV+ㄴ/ETM
김동연(56·사진)	김동연/NNP+(/SS+56/SN+·/SP+사진/NNG+)/SS
기획재정부	기획/NNG+재정부/NNG
2차관은	2/SN+차관/NNG+은/JX
덕수상고를	덕수상고/NNP+를/JKO
졸업하고	졸업/NNG+하/XSV+고/EC
은행에	은행/NNG+에/JKB
취업해	취업/NNG+하/XSV+아/EC
야간	야간/NNG
대학을	대학/NNG+을/JKO
다니며	다니/VV+며/EC
입법고시와	입법/NNG+고시/NNG+와/JC
행정고시(26회)에	행정/NNG+고시/NNG+(/SS+26/SN+회/NNB+)/SS+에/JKB
합격한	합격/NNG+하/XSV+ㄴ/ETM
입지전적	입지전/NNG+적/XSN
인물이다.	인물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.343.4.1
이 때문에 고교 동기인 허용석 전 관세청장(행시 22회)보다 고시 기수가 늦다.

이	이/MMD
때문에	때문/NNB+에/JKB
고교	고교/NNG
동기인	동기/NNG+이/VCP+ㄴ/ETM
허용석	허용석/NNP
전	전/MMD
관세청장(행시	관세청장/NNG+(/SS+행시/NNG
22회)보다	22/SN+회/NNB+)/SS+보다/JKB
고시	고시/NNG
기수가	기수/NNG+가/JKS
늦다.	늦/VA+다/EF+./SF


# id : NWRW1800000038.343.5.1
경기고·서울대 출신 엘리트 경제 관료가 즐비한 경제기획원에서 공직 생활을 시작해 기획예산처 재정정책기획관, 청와대 경제금융비서관·국정과제비서관, 기획재정부 예산실장 등 요직을 두루 거친 정책기획·예산통(通)이다.

경기고·서울대	경기고/NNP+·/SP+서울대/NNP
출신	출신/NNG
엘리트	엘리트/NNG
경제	경제/NNG
관료가	관료/NNG+가/JKS
즐비한	즐비하/VA+ㄴ/ETM
경제기획원에서	경제/NNG+기획원/NNG+에서/JKB
공직	공직/NNG
생활을	생활/NNG+을/JKO
시작해	시작/NNG+하/XSV+아/EC
기획예산처	기획/NNG+예산처/NNG
재정정책기획관,	재정/NNG+정책/NNG+기획관/NNG+,/SP
청와대	청와대/NNP
경제금융비서관·국정과제비서관,	경제/NNG+금융/NNG+비서관/NNG+·/SP+국정/NNG+과제/NNG+비서관/NNG+,/SP
기획재정부	기획/NNG+재정부/NNG
예산실장	예산실장/NNG
등	등/NNB
요직을	요직/NNG+을/JKO
두루	두루/MAG
거친	거치/VV+ㄴ/ETM
정책기획·예산통(通)이다.	정책/NNG+기획/NNG+·/SP+예산통/NNG+(/SS+通/SH+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000038.343.5.2
기재부 예산실장에 이어 예산을 담당하는 제2차관을 맡아 다른 부처의 정책과 예산 사정에 밝기 때문에 정부 부처들의 업무를 조율하는 데 강점을 발휘할 수 있을 것이란 평가다.

기재부	기재부/NNG
예산실장에	예산실장/NNG+에/JKB
이어	잇/VV+어/EC
예산을	예산/NNG+을/JKO
담당하는	담당/NNG+하/XSV+는/ETM
제2차관을	제/XPN+2/SN+차관/NNG+을/JKO
맡아	맡/VV+아/EC
다른	다른/MMD
부처의	부처/NNG+의/JKG
정책과	정책/NNG+과/JC
예산	예산/NNG
사정에	사정/NNG+에/JKB
밝기	밝/VA+기/ETN
때문에	때문/NNB+에/JKB
정부	정부/NNG
부처들의	부처/NNG+들/XSN+의/JKG
업무를	업무/NNG+를/JKO
조율하는	조율/NNG+하/XSV+는/ETM
데	데/NNB
강점을	강점/NNG+을/JKO
발휘할	발휘/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것이란	것/NNB+이/VCP+란/ETM
평가다.	평가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.343.6.1
