# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.229
metadata : {}


# id : NWRW1800000025.229.1.1
‘수비형 콤비’ 김경아-박미영 女복식 2연패

‘수비형	‘/SS+수비/NNG+형/XSN
콤비’	콤비/NNG+’/SS
김경아-박미영	김경아/NNP+-/SO+박미영/NNP
女복식	女/SH+복식/NNG
2연패	2/SN+연패/NNG


# id : NWRW1800000025.229.2.1
여자 탁구 대표팀 현정화 감독은 김경아(33·대한항공)에 대해 “불가사의한 선수”라고 했다.

여자	여자/NNG
탁구	탁구/NNG
대표팀	대표/NNG+팀/NNG
현정화	현정화/NNP
감독은	감독/NNG+은/JX
김경아(33·대한항공)에	김경아/NNP+(/SS+33/SN+·/SP+대한항공/NNP+)/SS+에/JKB
대해	대하/VV+아/EC
“불가사의한	“/SS+불가사의/NNG+하/XSA+ㄴ/ETM
선수”라고	선수/NNG+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.229.2.2
체력 소모가 많은 수비형 선수임을 감안할 때 하향곡선을 그려야 할 나이인데도 오히려 갈수록 더 강해진다는 것이다.

체력	체력/NNG
소모가	소모/NNG+가/JKS
많은	많/VA+은/ETM
수비형	수비/NNG+형/XSN
선수임을	선수/NNG+이/VCP+ㅁ/ETN+을/JKO
감안할	감안/NNG+하/XSV+ㄹ/ETM
때	때/NNG
하향곡선을	하향/NNG+곡선/NNG+을/JKO
그려야	그리/VV+어야/EC
할	하/VX+ㄹ/ETM
나이인데도	나이/NNG+이/VCP+ㄴ데/EC+도/JX
오히려	오히려/MAG
갈수록	가/VV+ㄹ수록/EC
더	더/MAG
강해진다는	강하/VA+아/EC+지/VX+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.229.3.1
완숙한 수비 기술에 공격 능력도 보완하면서 위력을 더하는 김경아는 15일 인천 삼산월드체육관에서 열린 한국마사회컵 코리아오픈 여자 복식 결승에서 같은 수비형인 박미영(삼성생명)과 짝을 이뤄 석하정-김정현(이상 대한항공) 조에 4-0 완승을 거두고 대회 2연패했다.

완숙한	완숙/NNG+하/XSA+ㄴ/ETM
수비	수비/NNG
기술에	기술/NNG+에/JKB
공격	공격/NNG
능력도	능력/NNG+도/JX
보완하면서	보완/NNG+하/XSV+면서/EC
위력을	위력/NNG+을/JKO
더하는	더/MAG+하/XSV+는/ETM
김경아는	김경아/NNP+는/JX
15일	15/SN+일/NNB
인천	인천/NNP
삼산월드체육관에서	삼산월드체육관/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
한국마사회컵	한국마사회/NNP+컵/NNG
코리아오픈	코리아/NNP+오픈/NNG
여자	여자/NNG
복식	복식/NNG
결승에서	결승/NNG+에서/JKB
같은	같/VA+은/ETM
수비형인	수비/NNG+형/XSN+이/VCP+ㄴ/ETM
박미영(삼성생명)과	박미영/NNP+(/SS+삼성생명/NNP+)/SS+과/JKB
짝을	짝/NNG+을/JKO
이뤄	이루/VV+어/EC
석하정-김정현(이상	석하정/NNP+-/SO+김정현/NNP+(/SS+이상/NNG
대한항공)	대한항공/NNP+)/SS
조에	조/NNG+에/JKB
4-0	4/SN+-/SO+0/SN
완승을	완승/NNG+을/JKO
거두고	거두/VV+고/EC
대회	대회/NNG
2연패했다.	2/SN+연패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.229.3.2
이번 대회 남녀 단·복식 4개 부문에서 한국 선수론 유일하게 우승컵을 들어올렸다.

이번	이번/NNG
대회	대회/NNG
남녀	남녀/NNG
단·복식	단·복식/NNG
4개	4/SN+개/NNB
부문에서	부문/NNG+에서/JKB
한국	한국/NNP
선수론	선수/NNG+로/JKB+ㄴ/JX
유일하게	유일/NNG+하/XSA+게/EC
우승컵을	우승컵/NNG+을/JKO
들어올렸다.	들/VV+어/EC+올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.229.4.1
김경아는 6일 국제탁구연맹(ITTF)이 발표한 세계 랭킹에서도 한 계단 끌어올려 4위에 올랐다.

김경아는	김경아/NNP+는/JX
6일	6/SN+일/NNB
국제탁구연맹(ITTF)이	국제탁구연맹/NNP+(/SS+ITTF/SL+)/SS+이/JKS
발표한	발표/NNG+하/XSV+ㄴ/ETM
세계	세계/NNG
랭킹에서도	랭킹/NNG+에서/JKB+도/JX
한	한/MMN
계단	계단/NNG
끌어올려	끌어올리/VV+어/EC
4위에	4/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.229.4.2
개인 최고이자 현재 한국 남녀 선수 통틀어 최고 랭킹.

개인	개인/NNG
최고이자	최고/NNG+이/VCP+자/EC
현재	현재/MAG
한국	한국/NNP
남녀	남녀/NNG
선수	선수/NNG
통틀어	통틀어/MAG
최고	최고/NNG
랭킹.	랭킹/NNG+./SF


# id : NWRW1800000025.229.4.3
그는 “이 나이에 4위까지 오르니 부담스럽다.

그는	그/NP+는/JX
“이	“/SS+이/MMD
나이에	나이/NNG+에/JKB
4위까지	4/SN+위/NNB+까지/JX
오르니	오르/VV+니/EC
부담스럽다.	부담/NNG+스럽/XSA+다/EF+./SF


# id : NWRW1800000025.229.4.4
은퇴를 고민해야 할 때인데 실력이 점점 좋아지니 당황스럽다”며 웃었다.

은퇴를	은퇴/NNG+를/JKO
고민해야	고민/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
때인데	때/NNG+이/VCP+ㄴ데/EC
실력이	실력/NNG+이/JKS
점점	점점/MAG
좋아지니	좋/VA+아/EC+지/VX+니/EC
당황스럽다”며	당황/NNG+스럽/XSA+다/EF+”/SS+며/EC
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.229.4.5
하지만 김경아는 11월 중국 광저우에서 열리는 아시아경기에서 한국 탁구의 희망이다.

하지만	하지만/MAJ
김경아는	김경아/NNP+는/JX
11월	11/SN+월/NNB
중국	중국/NNP
광저우에서	광저우/NNP+에서/JKB
열리는	열리/VV+는/ETM
아시아경기에서	아시아/NNP+경기/NNG+에서/JKB
한국	한국/NNP
탁구의	탁구/NNG+의/JKG
희망이다.	희망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.229.5.1
4년 전인 2006년 도하 아시아경기에서 한국 탁구는 1986년 서울 대회 때부터 5개 대회를 이어온 금메달 행진이 멈췄다.

4년	4/SN+년/NNB
전인	전/NNG+이/VCP+ㄴ/ETM
2006년	2006/SN+년/NNB
도하	도하/NNP
아시아경기에서	아시아/NNP+경기/NNG+에서/JKB
한국	한국/NNP
탁구는	탁구/NNG+는/JX
1986년	1986/SN+년/NNB
서울	서울/NNP
대회	대회/NNG
때부터	때/NNG+부터/JX
5개	5/SN+개/NNB
대회를	대회/NNG+를/JKO
이어온	잇/VV+어/EC+오/VX+ㄴ/ETM
금메달	금메달/NNG
행진이	행진/NNG+이/JKS
멈췄다.	멈추/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.229.5.2
