# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.272
metadata : {}


# id : NWRW1800000053.272.1.1
[하종대의 取中珍談]류샤오보와 시진핑의 엇갈린 꿈

[하종대의	[/SS+하종대/NNP+의/JKG
取中珍談]류샤오보와	取中珍談/SH+]/SS+류샤오보/NNP+와/JC
시진핑의	시진핑/NNP+의/JKG
엇갈린	엇갈리/VV+ㄴ/ETM
꿈	꿈/NNG


# id : NWRW1800000053.272.2.1
지무불언 언무부진(知無不言, 言無不盡·아는 것은 다 말할 수 있어야 하니)

지무불언	지무불언/NNG
언무부진(知無不言,	언무부진/NNG+(/SS+知無不言/SH+,/SP
言無不盡·아는	言無不盡/SH+·/SP+알/VV+는/ETM
것은	것/NNB+은/JX
다	다/MAG
말할	말/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있어야	있/VA+어야/EC
하니)	하/VX+니/EF+)/SS


# id : NWRW1800000053.272.3.1
언자무죄 문자족계(言者無罪, 聞者足戒·설령 틀려도 죄가 없고, 듣는 이 삼가면 족하나니)

언자무죄	언자무죄/NNG
문자족계(言者無罪,	문자족계/NNG+(/SS+言者無罪/SH+,/SP
聞者足戒·설령	聞者足戒/SH+·/SP+설령/MAG
틀려도	틀리/VV+어도/EC
죄가	죄/NNG+가/JKS
없고,	없/VA+고/EC+,/SP
듣는	듣/VV+는/ETM
이	이/NNB
삼가면	삼가/VV+면/EC
족하나니)	족하/VA+나니/EC+)/SS


# id : NWRW1800000053.272.4.1
유즉개지 무즉가면(有則改之, 無則加勉·허물이 있으면 고치고, 없으면 더 노력하라.)

유즉개지	유즉개지/NNG
무즉가면(有則改之,	무즉가면/NNG+(/SS+有則改之/SH+,/SP
無則加勉·허물이	無則加勉/SH+·/SP+허물/NNG+이/JKS
있으면	있/VA+으면/EC
고치고,	고치/VV+고/EC+,/SP
없으면	없/VA+으면/EC
더	더/MAG
노력하라.)	노력/NNG+하/XSV+라/EF+./SF+)/SS


# id : NWRW1800000053.272.5.1
마오, 비판의 자유 옹호 전술

마오,	마오/NNP+,/SP
비판의	비판/NNG+의/JKG
자유	자유/NNG
옹호	옹호/NNG
전술	전술/NNG


# id : NWRW1800000053.272.6.1
2008년 12월 중국의 민주화를 요구하는 ‘08헌장’ 서명을 주도했다가 13일 세상을 떠난 류샤오보(劉曉波)는 생전에 법정 변론 과정에서 중국 고대 경구를 인용하며 무죄를 주장했다.

2008년	2008/SN+년/NNB
12월	12/SN+월/NNB
중국의	중국/NNP+의/JKG
민주화를	민주/NNG+화/XSN+를/JKO
요구하는	요구/NNG+하/XSV+는/ETM
‘08헌장’	‘/SS+08/SN+헌장/NNG+’/SS
서명을	서명/NNG+을/JKO
주도했다가	주도/NNG+하/XSV+았/EP+다가/EC
13일	13/SN+일/NNB
세상을	세상/NNG+을/JKO
떠난	떠나/VV+ㄴ/ETM
류샤오보(劉曉波)는	류샤오보/NNP+(/SS+劉曉波/SH+)/SS+는/JX
생전에	생전/NNG+에/JKB
법정	법정/NNG
변론	변론/NNG
과정에서	과정/NNG+에서/JKB
중국	중국/NNP
고대	고대/NNG
경구를	경구/NNG+를/JKO
인용하며	인용/NNG+하/XSV+며/EC
무죄를	무죄/NNG+를/JKO
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.272.6.2
‘중국의 만델라’로 불리는 그는 “표현의 자유를 제한하면 더 나은 사회는 이룩할 수 없다”며 ‘국가정권 전복선동’ 혐의로 기소한 공산당에 항변했다.

‘중국의	‘/SS+중국/NNP+의/JKG
만델라’로	만델라/NNP+’/SS+로/JKB
불리는	불리/VV+는/ETM
그는	그/NP+는/JX
“표현의	“/SS+표현/NNG+의/JKG
자유를	자유/NNG+를/JKO
제한하면	제한/NNG+하/XSV+면/EC
더	더/MAG
나은	낫/VA+은/ETM
사회는	사회/NNG+는/JX
이룩할	이룩하/VV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
‘국가정권	‘/SS+국가정권/NNG
전복선동’	전복/NNG+선동/NNG+’/SS
혐의로	혐의/NNG+로/JKB
기소한	기소/NNG+하/XSV+ㄴ/ETM
공산당에	공산당/NNP+에/JKB
항변했다.	항변/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.272.7.1
그가 재판정에서 말하진 않았으나 이는 마오쩌둥이 만든 명구다.

그가	그/NP+가/JKS
재판정에서	재판정/NNG+에서/JKB
말하진	말/NNG+하/XSV+지/EC+ㄴ/JX
않았으나	않/VX+았/EP+으나/EC
이는	이/NP+는/JX
마오쩌둥이	마오쩌둥/NNP+이/JKS
만든	만들/VV+ㄴ/ETM
명구다.	명구/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.272.7.2
한학에 조예가 깊었던 마오는 시경(詩經)과 송나라 소순(蘇洵)의 명저 형론(衡論), 논어에서 각각 8자를 따서 만들었다.

한학에	한학/NNG+에/JKB
조예가	조예/NNG+가/JKS
깊었던	깊/VA+었/EP+던/ETM
마오는	마오/NNP+는/JX
시경(詩經)과	시경/NNP+(/SS+詩經/SH+)/SS+과/JC
송나라	송나라/NNP
소순(蘇洵)의	소순/NNP+(/SS+蘇洵/SH+)/SS+의/JKG
명저	명저/NNG
형론(衡論),	형론/NNG+(/SS+衡論/SH+)/SS+,/SP
논어에서	논어/NNP+에서/JKB
각각	각각/MAG
8자를	8/SN+자/NNG+를/JKO
따서	따/VV+아서/EC
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.272.7.3
1945년 4월 마오는 7차 당 대회에서 장제스와의 연합정부론을 주창하면서 자유로운 비판이 당내·외 단결을 가져올 것이라고 주장했다.

1945년	1945/SN+년/NNB
4월	4/SN+월/NNB
마오는	마오/NNP+는/JX
7차	7/SN+차/NNB
당	당/NNG
대회에서	대회/NNG+에서/JKB
장제스와의	장제스/NNP+와/JKB+의/JKG
연합정부론을	연합/NNG+정부/NNG+론/XSN+을/JKO
주창하면서	주창/NNG+하/XSV+면서/EC
자유로운	자유/NNG+롭/XSA+ㄴ/ETM
비판이	비판/NNG+이/JKS
당내·외	당내/NNG+·/SP+외/NNG
단결을	단결/NNG+을/JKO
가져올	가져오/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.272.7.4
하지만 이는 국민당 군사력의 4분의 1에 불과했던 공산당이 시간을 벌기 위한 선동술에 불과했다.

하지만	하지만/MAJ
이는	이/NP+는/JX
국민당	국민당/NNP
군사력의	군사력/NNG+의/JKG
4분의	4/SN+분/XSN+의/JKG
1에	1/SN+에/JKB
불과했던	불과/MAG+하/XSA+았/EP+던/ETM
공산당이	공산당/NNP+이/JKS
시간을	시간/NNG+을/JKO
벌기	벌/VV+기/ETN
위한	위하/VV+ㄴ/ETM
선동술에	선동술/NNG+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000053.272.7.5
이듬해 시작된 4년의 내전에서 국민당은 패퇴했다.

이듬해	이듬해/NNG
시작된	시작/NNG+되/XSV+ㄴ/ETM
4년의	4/SN+년/NNB+의/JKG
내전에서	내전/NNG+에서/JKB
국민당은	국민당/NNP+은/JX
패퇴했다.	패퇴/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.272.8.1
2008년 베이징 올림픽을 앞두고 서방의 인권 시비를 피할 요량으로 감시를 완화한 중국 공산당 역시 올림픽이 끝나자마자 통제를 강화했다.

2008년	2008/SN+년/NNB
베이징	베이징/NNP
올림픽을	올림픽/NNG+을/JKO
앞두고	앞두/VV+고/EC
서방의	서방/NNG+의/JKG
인권	인권/NNG
시비를	시비/NNG+를/JKO
피할	피하/VV+ㄹ/ETM
요량으로	요량/NNG+으로/JKB
감시를	감시/NNG+를/JKO
완화한	완화/NNG+하/XSV+ㄴ/ETM
중국	중국/NNP
공산당	공산당/NNP
역시	역시/MAG
올림픽이	올림픽/NNG+이/JKS
