# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.392
metadata : {}


# id : NWRW1800000030.392.1.1
[수도권Ⅲ] 참여·교육·자연 테마별 가족축제 펼쳐

[수도권Ⅲ]	[/SS+수도/NNG+권/XSN+Ⅲ/SL+]/SS
참여·교육·자연	참여/NNG+·/SP+교육/NNG+·/SP+자연/NNG
테마별	테마/NNG+별/XSN
가족축제	가족/NNG+축제/NNG
펼쳐	펼치/VV+어/EF


# id : NWRW1800000030.392.2.1
'가정의 달' 5월을 맞아 에버랜드는 어린이들이 가족과 함께 축제를 즐길 수 있는 다양한 프로그램을 마련했다.

'가정의	'/SS+가정/NNG+의/JKG
달'	달/NNG+'/SS
5월을	5/SN+월/NNB+을/JKO
맞아	맞/VV+아/EC
에버랜드는	에버랜드/NNP+는/JX
어린이들이	어린이/NNG+들/XSN+이/JKS
가족과	가족/NNG+과/JKB
함께	함께/MAG
축제를	축제/NNG+를/JKO
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
프로그램을	프로그램/NNG+을/JKO
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.392.2.2
특히 '참여', '교육', '자연'을 테마로 기존의 '보는 공연'에서 벗어나 어린이들이 인형극·동요극 등에 직접 참여하거나 현장에서 출연진들이 가르쳐주는 노래와 율동을 배워 같이 만들어 가는 공연을 준비했다.

특히	특히/MAG
'참여',	'/SS+참여/NNG+'/SS+,/SP
'교육',	'/SS+교육/NNG+'/SS+,/SP
'자연'을	'/SS+자연/NNG+'/SS+을/JKO
테마로	테마/NNG+로/JKB
기존의	기존/NNG+의/JKG
'보는	'/SS+보/VV+는/ETM
공연'에서	공연/NNG+'/SS+에서/JKB
벗어나	벗어나/VV+아/EC
어린이들이	어린이/NNG+들/XSN+이/JKS
인형극·동요극	인형극/NNG+·/SP+동요/NNG+극/NNG
등에	등/NNB+에/JKB
직접	직접/MAG
참여하거나	참여/NNG+하/XSV+거나/EC
현장에서	현장/NNG+에서/JKB
출연진들이	출연진/NNG+들/XSN+이/JKS
가르쳐주는	가르치/VV+어/EC+주/VX+는/ETM
노래와	노래/NNG+와/JC
율동을	율동/NNG+을/JKO
배워	배우/VV+어/EC
같이	같이/MAG
만들어	만들/VV+어/EC
가는	가/VX+는/ETM
공연을	공연/NNG+을/JKO
준비했다.	준비/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.392.3.1
이솝빌리지에서는 '참여'를 테마로 ▲이솝 미니퍼핏 ▲이솝 캐릭터 다이닝 등을 새롭게 선보인다.

이솝빌리지에서는	이솝빌리지/NNP+에서/JKB+는/JX
'참여'를	'/SS+참여/NNG+'/SS+를/JKO
테마로	테마/NNG+로/JKB
▲이솝	▲/SW+이솝/NNP
미니퍼핏	미니퍼핏/NNG
캐릭터	캐릭터/NNG
다이닝	다이닝/NNG
등을	등/NNB+을/JKO
새롭게	새롭/VA+게/EC
선보인다.	선보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.392.3.2
'이솝 캐릭터 다이닝'은 이솝빌리지 내 레스토랑인 타운즈마켓에서 손님들의 식사 중에 동화 속에 등장하는 이솝 캐릭터가 등장해 함께 율동을 하고 사진을 찍어주는 공연이다.

'이솝	'/SS+이솝/NNP
캐릭터	캐릭터/NNG
다이닝'은	다이닝/NNG+'/SS+은/JX
이솝빌리지	이솝빌리지/NNP
내	내/NNB
레스토랑인	레스토랑/NNG+이/VCP+ㄴ/ETM
타운즈마켓에서	타운즈마켓/NNP+에서/JKB
손님들의	손/NNG+님/XSN+들/XSN+의/JKG
식사	식사/NNG
중에	중/NNB+에/JKB
동화	동화/NNG
속에	속/NNG+에/JKB
등장하는	등장/NNG+하/XSV+는/ETM
이솝	이솝/NNP
캐릭터가	캐릭터/NNG+가/JKS
등장해	등장/NNG+하/XSV+아/EC
함께	함께/MAG
