# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.70
metadata : {}


# id : NWRW1800000046.70.1.1
닮은 듯 다른 듯… 韓日 디자인이 걸어온 50년

닮은	닮/VV+은/ETM
듯	듯/NNB
다른	다르/VA+ㄴ/ETM
듯…	듯/NNB+…/SE
韓日	韓日/SH
디자인이	디자인/NNG+이/JKS
걸어온	걸어오/VV+ㄴ/ETM
50년	50/SN+년/NNB


# id : NWRW1800000046.70.2.1
한일국교정상화 50주년기념 국립현대미술관 '交, 향'展

한일국교정상화	한일/NNP+국교/NNG+정상/NNG+화/XSN
50주년기념	50/SN+주년/NNB+기념/NNG
국립현대미술관	국립현대미술관/NNP
'交,	'/SS+交/SH+,/SP
향'展	향/NNG+'/SS+展/SH


# id : NWRW1800000046.70.3.1
올해 한·일 국교 정상화 50주년을 기념해 기획됐던 문화 행사 상당수가 축소됐다.

올해	올해/NNG
한·일	한·일/NNP
국교	국교/NNG
정상화	정상/NNG+화/XSN
50주년을	50/SN+주년/NNB+을/JKO
기념해	기념/NNG+하/XSV+아/EC
기획됐던	기획/NNG+되/XSV+었/EP+던/ETM
문화	문화/NNG
행사	행사/NNG
상당수가	상당수/NNG+가/JKS
축소됐다.	축소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.70.3.2
평행선을 달리고 있는 양국 관계로 인해 상대 국가로부터 작품이나 유물을 빌려오기가 여의치 않아진 데다 선뜻 후원하겠다는 기업도 거의 없기 때문이다.

평행선을	평행선/NNG+을/JKO
달리고	달리/VV+고/EC
있는	있/VX+는/ETM
양국	양국/NNG
관계로	관계/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
상대	상대/NNG
국가로부터	국가/NNG+로부터/JKB
작품이나	작품/NNG+이나/JC
유물을	유물/NNG+을/JKO
빌려오기가	빌리/VV+어/EC+오/VX+기/ETN+가/JKS
여의치	여의하/VA+지/EC
않아진	않/VX+아/EC+지/VX+ㄴ/ETM
데다	데/NNB+다/JX
선뜻	선뜻/MAG
후원하겠다는	후원/NNG+하/XSV+겠/EP+다는/ETM
기업도	기업/NNG+도/JX
거의	거의/MAG
없기	없/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.70.3.3
이런 상황에서 국립현대미술관이 광복절을 앞두고 국교 정상화 50주년 기념전으로 '그래픽(시각) 디자인'을 들고 나왔다.

이런	이런/MMD
상황에서	상황/NNG+에서/JKB
국립현대미술관이	국립현대미술관/NNP+이/JKS
광복절을	광복절/NNG+을/JKO
앞두고	앞두/VV+고/EC
국교	국교/NNG
정상화	정상/NNG+화/XSN
50주년	50/SN+주년/NNB
기념전으로	기념전/NNG+으로/JKB
'그래픽(시각)	'/SS+그래픽/NNG+(/SS+시각/NNG+)/SS
디자인'을	디자인/NNG+'/SS+을/JKO
들고	들/VV+고/EC
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.70.3.4
11일부터 10월 18일까지 서울관에서 여는 '交, 향(그래픽 심포니아)'전이다.

11일부터	11/SN+일/NNB+부터/JX
10월	10/SN+월/NNB
18일까지	18/SN+일/NNB+까지/JX
서울관에서	서울관/NNG+에서/JKB
여는	열/VV+는/ETM
'交,	'/SS+交/SH+,/SP
향(그래픽	향/NNG+(/SS+그래픽/NNG
심포니아)'전이다.	심포니아/NNG+)/SS+'/SS+전/NA+이/VCP+다/EF+./SF


# id : NWRW1800000046.70.4.1
양국을 대표하는 그래픽 디자이너 1세대부터 30대 젊은 디자이너까지 112명이 참여했다.

양국을	양국/NNG+을/JKO
대표하는	대표/NNG+하/XSV+는/ETM
그래픽	그래픽/NNG
디자이너	디자이너/NNG
1세대부터	1/SN+세대/NNG+부터/JX
30대	30/SN+대/NNB
젊은	젊/VA+은/ETM
디자이너까지	디자이너/NNG+까지/JX
112명이	112/SN+명/NNB+이/JKS
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.70.4.2
한국 측에선 안상수체로 유명한 시각 디자이너 안상수, 한국 최초의 아트디렉터 이상철 등이, 일본 측에선 '디자인의 디자인' 등의 저서로 국내에 두터운 팬층을 지닌 하라 켄야, 유니클로 아트디렉터인 사토 가시와 등이 참여했다.

한국	한국/NNP
측에선	측/NNB+에서/JKB+ㄴ/JX
안상수체로	안상수체/NNG+로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
시각	시각/NNG
디자이너	디자이너/NNG
안상수,	안상수/NNP+,/SP
최초의	최초/NNG+의/JKG
아트디렉터	아트디렉터/NNG
이상철	이상철/NNP
등이,	등/NNB+이/JKS+,/SP
일본	일본/NNP
'디자인의	'/SS+디자인/NNG+의/JKG
디자인'	디자인/NNG+'/SS
등의	등/NNB+의/JKG
저서로	저서/NNG+로/JKB
국내에	국내/NNG+에/JKB
두터운	두텁/VA+ㄴ/ETM
팬층을	팬/NNG+층/XSN+을/JKO
지닌	지니/VV+ㄴ/ETM
하라	하라/NNP
켄야,	켄야/NNP+,/SP
유니클로	유니클로/NNP
아트디렉터인	아트디렉터/NNG+이/VCP+ㄴ/ETM
사토	사토/NNP
가시와	가시와/NNP
등이	등/NNB+이/JKS
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.70.4.3
하라 켄야는 "디자인은 세상의 조화로운 균형을 찾는 데 필요한 중요한 교양"이라며 "양국이 역사를 함께 보고 공유할 수 있는 가치를 찾았으면 한다 "고 말했다.

하라	하라/NNP
켄야는	켄야/NNP+는/JX
"디자인은	"/SS+디자인/NNG+은/JX
세상의	세상/NNG+의/JKG
조화로운	조화/NNG+롭/XSA+ㄴ/ETM
균형을	균형/NNG+을/JKO
찾는	찾/VV+는/ETM
데	데/NNB
필요한	필요/NNG+하/XSA+ㄴ/ETM
중요한	중요/NNG+하/XSA+ㄴ/ETM
교양"이라며	교양/NNG+"/SS+이/VCP+라며/EC
"양국이	"/SS+양국/NNG+이/JKS
역사를	역사/NNG+를/JKO
함께	함께/MAG
보고	보/VV+고/EC
공유할	공유/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
가치를	가치/NNG+를/JKO
찾았으면	찾/VV+았/EP+으면/EC
