# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.383
metadata : {}


# id : NWRW1800000054.383.1.1
中, 우리 정부에 "사드 기지 시찰하게 해달라"

中,	中/SH+,/SP
우리	우리/NP
정부에	정부/NNG+에/JKB
"사드	"/SS+사드/NNG
기지	기지/NNG
시찰하게	시찰/NNG+하/XSV+게/EC
해달라"	하/VX+아/EC+달/VX+라/EF+"/SS


# id : NWRW1800000054.383.2.1
靑 관계자 "X밴드 레이더가 中본토 탐지하는지 확인 원해"

靑	靑/SH
관계자	관계자/NNG
"X밴드	"/SS+X/SL+밴드/NNG
레이더가	레이더/NNG+가/JKS
中본토	中/SH+본토/NNG
탐지하는지	탐지/NNG+하/XSV+는지/EC
확인	확인/NNG
원해"	원/NNG+하/XSV+아/EF+"/SS


# id : NWRW1800000054.383.3.1
중국 정부가 경북 성주에 배치된 주한 미군 사드(고고도 미사일 방어 체계) 기지를 현장 시찰하게 해달라고 최근 우리 정부에 요구하는 것으로 13일 알려졌다.

중국	중국/NNP
정부가	정부/NNG+가/JKS
경북	경북/NNP
성주에	성주/NNP+에/JKB
배치된	배치/NNG+되/XSV+ㄴ/ETM
주한	주한/NNG
미군	미군/NNG
사드(고고도	사드/NNG+(/SS+고/XPN+고도/NNG
미사일	미사일/NNG
방어	방어/NNG
체계)	체계/NNG+)/SS
기지를	기지/NNG+를/JKO
현장	현장/NNG
시찰하게	시찰/NNG+하/XSV+게/EC
해달라고	하/VX+아/EC+달/VX+라고/EC
최근	최근/MAG
우리	우리/NP
정부에	정부/NNG+에/JKB
요구하는	요구/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
13일	13/SN+일/NNB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.383.3.2
그간 중국은 "사드 한반도 배치는 중국 감시용"이라며 압박해왔다.

그간	그/NP+간/XSN
중국은	중국/NNP+은/JX
"사드	"/SS+사드/NNG
한반도	한반도/NNP
배치는	배치/NNG+는/JX
중국	중국/NNP
감시용"이라며	감시/NNG+용/XSN+"/SS+이/VCP+라며/EC
압박해왔다.	압박/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.383.3.3
중국 측은 박근혜 정부 때도 이 같은 요구를 했던 것으로 알려졌다.

중국	중국/NNP
측은	측/NNB+은/JX
박근혜	박근혜/NNP
정부	정부/NNG
때도	때/NNG+도/JX
이	이/NP
같은	같/VA+은/ETM
요구를	요구/NNG+를/JKO
했던	하/VV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.383.4.1
청와대 관계자는 "중국 측이 사드 레이더가 중국 본토까지 탐지하는지 여부를 직접 확인하고 싶다고 했다"며 "(중국이) 우리 정부뿐만 아니라 다양한 외교·민간 채널 등을 통해 이 같은 요구를 하고 있는 것으로 알고 있다"고 했다.

청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
"중국	"/SS+중국/NNP
측이	측/NNB+이/JKS
사드	사드/NNG
레이더가	레이더/NNG+가/JKS
중국	중국/NNP
본토까지	본토/NNG+까지/JX
탐지하는지	탐지/NNG+하/XSV+는지/EC
여부를	여부/NNG+를/JKO
직접	직접/MAG
확인하고	확인/NNG+하/XSV+고/EC
싶다고	싶/VX+다고/EC
했다"며	하/VV+았/EP+다/EF+"/SS+며/EC
"(중국이)	"/SS+(/SS+중국/NNP+이/JKS+)/SS
우리	우리/NP
정부뿐만	정부/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
외교·민간	외교/NNG+·/SP+민간/NNG
채널	채널/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
이	이/NP
같은	같/VA+은/ETM
요구를	요구/NNG+를/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.383.5.1
중국 측은 사드 운용에 필수적인 X밴드 레이더의 탐지 거리를 문제 삼고 있다.

중국	중국/NNP
측은	측/NNB+은/JX
사드	사드/NNG
운용에	운용/NNG+에/JKB
필수적인	필수/NNG+적/XSN+이/VCP+ㄴ/ETM
X밴드	X/SL+밴드/NNG
레이더의	레이더/NNG+의/JKG
탐지	탐지/NNG
거리를	거리/NNG+를/JKO
문제	문제/NNG
삼고	삼/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.383.5.2
X밴드 레이더는 적 미사일 발사를 조기에 탐지하는 전방 배치 모드(FBM·탐지 거리 1800㎞)와 낙하하는 적 미사일을 추적해 사드 미사일 요격을 유도하는 종말 모드(TM·탐지 거리 600~800㎞)가 있다.

X밴드	X/SL+밴드/NNG
레이더는	레이더/NNG+는/JX
적	적/NNG
미사일	미사일/NNG
발사를	발사/NNG+를/JKO
조기에	조기/NNG+에/JKB
탐지하는	탐지/NNG+하/XSV+는/ETM
전방	전방/NNG
배치	배치/NNG
모드(FBM·탐지	모드/NNG+(/SS+FBM/SL+·/SP+탐지/NNG
거리	거리/NNG
1800㎞)와	1800/SN+㎞/SW+)/SS+와/JC
낙하하는	낙하/NNG+하/XSV+는/ETM
미사일을	미사일/NNG+을/JKO
추적해	추적/NNG+하/XSV+아/EC
사드	사드/NNG
요격을	요격/NNG+을/JKO
유도하는	유도/NNG+하/XSV+는/ETM
종말	종말/NNG
모드(TM·탐지	모드/NNG+(/SS+TM/SL+·/SP+탐지/NNG
600~800㎞)가	600/SN+~/SO+800/SN+㎞/SW+)/SS+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.383.5.3
미군은 "한반도에서는 탐지 거리가 짧은 종말 모드로 배치될 것"이라며 "사드가 중국을 겨냥하는 일은 없을 것"이라고 했다.

미군은	미군/NNG+은/JX
"한반도에서는	"/SS+한반도/NNP+에서/JKB+는/JX
탐지	탐지/NNG
거리가	거리/NNG+가/JKS
짧은	짧/VA+은/ETM
종말	종말/NNG
모드로	모드/NNG+로/JKB
배치될	배치/NNG+되/XSV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"사드가	"/SS+사드/NNG+가/JKS
중국을	중국/NNP+을/JKO
겨냥하는	겨냥/NNG+하/XSV+는/ETM
일은	일/NNG+은/JX
없을	없/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.383.5.4
중국의 요구는 사드 레이더가 미군 측 말대로 종말 모드로 운용되는지를 직접 확인하겠다는 것이다.

중국의	중국/NNP+의/JKG
요구는	요구/NNG+는/JX
사드	사드/NNG
레이더가	레이더/NNG+가/JKS
미군	미군/NNG
측	측/NNB
말대로	말/NNG+대로/JX
종말	종말/NNG
모드로	모드/NNG+로/JKB
운용되는지를	운용/NNG+되/XSV+는지/EF+를/JKO
직접	직접/MAG
확인하겠다는	확인/NNG+하/XSV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.383.6.1
청와대는 곤혹스러운 분위기다.

청와대는	청와대/NNP+는/JX
곤혹스러운	곤혹/NNG+스럽/XSA+ㄴ/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.383.6.2
한 관계자는 "중국 요구가 무리한 것이 사실이지만 사드 배치에 대한 중국 측 반발이 커지는 상황에서 이들의 요구를 일축하기도 힘든 실정"이라고 했다.

한	한/MMN
관계자는	관계자/NNG+는/JX
"중국	"/SS+중국/NNP
요구가	요구/NNG+가/JKS
무리한	무리/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
사실이지만	사실/NNG+이/VCP+지만/EC
사드	사드/NNG
배치에	배치/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
중국	중국/NNP
측	측/NNB
반발이	반발/NNG+이/JKS
커지는	커지/VV+는/ETM
상황에서	상황/NNG+에서/JKB
이들의	이/NP+들/XSN+의/JKG
요구를	요구/NNG+를/JKO
일축하기도	일축/NNG+하/XSV+기/ETN+도/JX
힘든	힘들/VA+ㄴ/ETM
실정"이라고	실정/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.383.6.3
이에 청와대 안보실은 최근 회의에서 우리 정부가 미국을 설득하는 대신, 중국 정부가 만주 일대에서 한반도 전역과 일본 등을 탐지하고 있는 레이더를 우리 정부가 시찰하게 해달라고 역(逆)제안을 하는 방안 등을 논의한 것으로 알려졌다.

이에	이/NP+에/JKB
청와대	청와대/NNP
안보실은	안보실/NNG+은/JX
최근	최근/MAG
회의에서	회의/NNG+에서/JKB
우리	우리/NP
정부가	정부/NNG+가/JKS
미국을	미국/NNP+을/JKO
설득하는	설득/NNG+하/XSV+는/ETM
대신,	대신/NNG+,/SP
중국	중국/NNP
만주	만주/NNP
일대에서	일대/NNG+에서/JKB
한반도	한반도/NNP
전역과	전역/NNG+과/JC
일본	일본/NNP
등을	등/NNB+을/JKO
탐지하고	탐지/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
레이더를	레이더/NNG+를/JKO
시찰하게	시찰/NNG+하/XSV+게/EC
해달라고	하/VX+아/EC+달/VX+라고/EC
역(逆)제안을	역/NA+(/SS+逆/SH+)/SS+제안/NNG+을/JKO
하는	하/VV+는/ETM
방안	방안/NNG
논의한	논의/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.383.6.4
중국은 지난 2011년부터 한반도를 포함해 일본 오키나와, 필리핀, 괌까지 탐지가 가능한 레이더(탐지 거리가 5500㎞)를 운용하고 있는 것으로 알려져 있다.

중국은	중국/NNP+은/JX
지난	지나/VV+ㄴ/ETM
2011년부터	2011/SN+년/NNB+부터/JX
한반도를	한반도/NNP+를/JKO
포함해	포함/NNG+하/XSV+아/EC
일본	일본/NNP
오키나와,	오키나와/NNP+,/SP
필리핀,	필리핀/NNP+,/SP
괌까지	괌/NNP+까지/JX
탐지가	탐지/NNG+가/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
레이더(탐지	레이더/NNG+(/SS+탐지/NNG
거리가	거리/NNG+가/JKS
5500㎞)를	5500/SN+㎞/SW+)/SS+를/JKO
운용하고	운용/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.383.6.5
이에 대해선 "반드시 양측을 함께 공개하자는 것보다는 중국의 요구를 합리적으로 거절하기 위한 역제안"이란 관측도 나온다.

이에	이/NP+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
"반드시	"/SS+반드시/MAG
양측을	양측/NNG+을/JKO
함께	함께/MAG
공개하자는	공개/NNG+하/XSV+자는/ETM
것보다는	것/NNB+보다/JKB+는/JX
중국의	중국/NNP+의/JKG
요구를	요구/NNG+를/JKO
합리적으로	합리/NNG+적/XSN+으로/JKB
거절하기	거절/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
역제안"이란	역제안/NNG+"/SS+이/VCP+란/ETM
관측도	관측/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.383.6.6
중국은 지난 박근혜 정부 때는 우리 정부에 성주 사드 기지를 상시(常時) 감시할 수 있도록 해달라는 요구도 했던 것으로 전해졌다.

중국은	중국/NNP+은/JX
지난	지나/VV+ㄴ/ETM
박근혜	박근혜/NNP
정부	정부/NNG
때는	때/NNG+는/JX
우리	우리/NP
정부에	정부/NNG+에/JKB
성주	성주/NNP
사드	사드/NNG
기지를	기지/NNG+를/JKO
상시(常時)	상시/NNG+(/SS+常時/SH+)/SS
감시할	감시/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
해달라는	하/VX+아/EC+달/VX+라는/ETM
요구도	요구/NNG+도/JX
했던	하/VV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


