# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.284
metadata : {}


# id : NWRW1800000024.284.1.1
정권 ‘눈엣가시 프로그램’ 폐지·개조 나설듯

정권	정권/NNG
‘눈엣가시	‘/SS+눈엣가시/NNG
프로그램’	프로그램/NNG+’/SS
폐지·개조	폐지/NNG+·/SP+개조/NNG
나설듯	나서/VV+ㄹ/ETM+듯/NNB


# id : NWRW1800000024.284.2.1
<문화방송>(MBC)이 폭풍 속에 내던져졌다.

<문화방송>(MBC)이	</SS+문화방송/NNP+>/SS+(/SS+MBC/SL+)/SS+이/JKS
폭풍	폭풍/NNG
속에	속/NNG+에/JKB
내던져졌다.	내던지/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000024.284.2.2
최대 주주인 방송문화진흥회 새 이사진의 여야 비율이 2 대 1로 짜이면서 문화방송의 앞날은 최시중 방송통신위원장이 거듭 밝혀온 ‘정명’ 혹은 ‘정체성’ 찾기 작업에 떠밀려 들어가고 있다.

최대	최대/NNG
주주인	주주/NNG+이/VCP+ㄴ/ETM
방송문화진흥회	방송/NNG+문화/NNG+진흥회/NNG
새	새/MMA
이사진의	이사진/NNG+의/JKG
여야	여야/NNG
비율이	비율/NNG+이/JKS
2	2/SN
대	대/NNB
1로	1/SN+로/JKB
짜이면서	짜이/VV+면서/EC
문화방송의	문화방송/NNP+의/JKG
앞날은	앞날/NNG+은/JX
최시중	최시중/NNP
방송통신위원장이	방송/NNG+통신/NNG+위원장/NNG+이/JKS
거듭	거듭/MAG
밝혀온	밝히/VV+어/EC+오/VX+ㄴ/ETM
‘정명’	‘/SS+정명/NNG+’/SS
혹은	혹은/MAG
‘정체성’	‘/SS+정체/NNG+성/XSN+’/SS
찾기	찾/VV+기/ETN
작업에	작업/NNG+에/JKB
떠밀려	떠밀리/VV+어/EC
들어가고	들어가/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.284.2.3
최 위원장은 9일부터 임기를 시작하는 새 이사진이 ‘공영’ 또는 ‘민영’으로서의 문화방송 위상 정립에 착수(7월9일 관훈클럽 토론회)할 것이라고 공언했었다.

최	최/NNP
위원장은	위원장/NNG+은/JX
9일부터	9/SN+일/NNB+부터/JX
임기를	임기/NNG+를/JKO
시작하는	시작/NNG+하/XSV+는/ETM
새	새/MMA
이사진이	이사진/NNG+이/JKS
‘공영’	‘/SS+공영/NNG+’/SS
또는	또는/MAG
‘민영’으로서의	‘/SS+민영/NNG+’/SS+으로서/JKB+의/JKG
문화방송	문화방송/NNP
위상	위상/NNG
정립에	정립/NNG+에/JKB
착수(7월9일	착수/NNG+(/SS+7/SN+월/NNB+9/SN+일/NNB
관훈클럽	관훈클럽/NNP
토론회)할	토론회/NNG+)/SS+하/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
공언했었다.	공언/NNG+하/XSV+았었/EP+다/EF+./SF


# id : NWRW1800000024.284.3.1
새 방문진은 ‘정명 찾기’의 첫 단계로 문화방송의 내부 저항력을 약화시키는 데 주력할 것으로 보인다.

새	새/MMA
방문진은	방문진/NNG+은/JX
‘정명	‘/SS+정명/NNG
찾기’의	찾/VV+기/ETN+’/SS+의/JKG
첫	첫/MMN
단계로	단계/NNG+로/JKB
문화방송의	문화방송/NNP+의/JKG
내부	내부/NNG
저항력을	저항력/NNG+을/JKO
약화시키는	약화/NNG+시키/XSV+는/ETM
데	데/NNB
주력할	주력/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.284.3.2
목표는 경영진 교체와 프로그램 개편이다.

목표는	목표/NNG+는/JX
경영진	경영진/NNG
교체와	교체/NNG+와/JC
프로그램	프로그램/NNG
개편이다.	개편/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.284.3.3
‘방만경영 주장’을 중심으로 비판여론을 공략하되, ‘노영방송’ 및 ‘주인 없는 회사’란 논리를 활용해 구조 개편의 복잡한 매듭을 풀어갈 확률이 높다.

‘방만경영	‘/SS+방만경영/NNG
주장’을	주장/NNG+’/SS+을/JKO
중심으로	중심/NNG+으로/JKB
비판여론을	비판/NNG+여론/NNG+을/JKO
공략하되,	공략/NNG+하/XSV+되/EC+,/SP
‘노영방송’	‘/SS+노영/NNG+방송/NNG+’/SS
및	및/MAG
‘주인	‘/SS+주인/NNG
없는	없/VA+는/ETM
회사’란	회사/NNG+’/SS+이/VCP+란/ETM
논리를	논리/NNG+를/JKO
활용해	활용/NNG+하/XSV+아/EC
구조	구조/NNG
개편의	개편/NNG+의/JKG
복잡한	복잡하/VA+ㄴ/ETM
매듭을	매듭/NNG+을/JKO
풀어갈	풀/VV+어/EC+가/VX+ㄹ/ETM
확률이	확률/NNG+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000024.284.4.1
문화방송 한 간부는 “취임 초기엔 경영실적 보고를 요구해 경영 문제를 부각시키고 ‘노영방송’을 방조했다며 경영진 교체를 밀어붙일 것”이라고 전망했다.

문화방송	문화방송/NNP
한	한/MMN
간부는	간부/NNG+는/JX
“취임	“/SS+취임/NNG
초기엔	초기/NNG+에/JKB+ㄴ/JX
경영실적	경영/NNG+실적/NNG
보고를	보고/NNG+를/JKO
요구해	요구/NNG+하/XSV+아/EC
경영	경영/NNG
문제를	문제/NNG+를/JKO
부각시키고	부각/NNG+시키/XSV+고/EC
‘노영방송’을	‘/SS+노영/NNG+방송/NNG+’/SS+을/JKO
방조했다며	방조/NNG+하/XSV+았/EP+다며/EC
경영진	경영진/NNG
교체를	교체/NNG+를/JKO
밀어붙일	밀어붙이/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.284.4.2
여론몰이는 문화방송의 환골탈태를 요구해온 보수단체와 보수언론들이 맡을 것으로 예상된다.

여론몰이는	여론/NNG+몰이/NNG+는/JX
문화방송의	문화방송/NNP+의/JKG
환골탈태를	환골탈태/NNG+를/JKO
요구해온	요구/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
보수단체와	보수/NNG+단체/NNG+와/JC
보수언론들이	보수/NNG+언론/NNG+들/XSN+이/JKS
맡을	맡/VV+을/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.284.4.3
