# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.397
metadata : {}


# id : NWRW1800000040.397.1.1
[단독] 검찰, 전두환 부인 명의 30억짜리 연금예금 압류

[단독]	[/SS+단독/NNG+]/SS
검찰,	검찰/NNG+,/SP
전두환	전두환/NNP
부인	부인/NNG
명의	명의/NNG
30억짜리	30/SN+억/NR+짜리/XSN
연금예금	연금/NNG+예금/NNG
압류	압류/NNG


# id : NWRW1800000040.397.2.1
이순자씨 작년 말께 NH농협에 예치…매달 1200만원씩 받아가

이순자씨	이순자/NNP+씨/NNB
작년	작년/NNG
말께	말/NNB+께/XSN
NH농협에	NH농협/NNP+에/JKB
예치…매달	예치/NNG+…/SE+매달/MAG
1200만원씩	1200/SN+만/NR+원/NNB+씩/XSN
받아가	받/VV+아/EC+가/VV+아/EF


# id : NWRW1800000040.397.3.1
현금자산 압류는 처음…검찰 비자금 연결고리 추적

현금자산	현금/NNG+자산/NNG
압류는	압류/NNG+는/JX
처음…검찰	처음/NNG+…/SE+검찰/NNG
비자금	비자금/NNG
연결고리	연결/NNG+고리/NNG
추적	추적/NNG


# id : NWRW1800000040.397.4.1
전두환(82) 전 대통령의 부인 이순자(74)씨가 은행에 30억원의 연금 예금을 넣은 뒤 달마다 1200만원씩 받아가고 있는 사실을 검찰이 확인하고, 이 예금을 압류했다.

전두환(82)	전두환/NNP+(/SS+82/SN+)/SS
전	전/MMD
대통령의	대통령/NNG+의/JKG
부인	부인/NNG
이순자(74)씨가	이순자/NNP+(/SS+74/SN+)/SS+씨/NNB+가/JKS
은행에	은행/NNG+에/JKB
30억원의	30/SN+억/NR+원/NNB+의/JKG
연금	연금/NNG
예금을	예금/NNG+을/JKO
넣은	넣/VV+은/ETM
뒤	뒤/NNG
달마다	달/NNG+마다/JX
1200만원씩	1200/SN+만/NR+원/NNB+씩/XSN
받아가고	받/VV+아/EC+가/VV+고/EC
있는	있/VX+는/ETM
사실을	사실/NNG+을/JKO
검찰이	검찰/NNG+이/JKS
확인하고,	확인/NNG+하/XSV+고/EC+,/SP
이	이/MMD
