# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.15
metadata : {}


# id : NWRW1800000046.15.1.1
[깨알지식] 독일 國歌는 1·2절은 안부르고 왜 3절만 부르나

[깨알지식]	[/SS+깨알/NNG+지식/NNG+]/SS
독일	독일/NNP
國歌는	國歌/SH+는/JX
1·2절은	1/SN+·/SP+2/SN+절/NNG+은/JX
안부르고	안/MAG+부르/VV+고/EC
왜	왜/MAG
3절만	3/SN+절/NNG+만/JX
부르나	부르/VV+나/EF


# id : NWRW1800000046.15.2.1
독일 국가(國歌)의 명칭은 '독일의 노래(Deutschlandlied)'다.

독일	독일/NNP
국가(國歌)의	국가/NNG+(/SS+國歌/SH+)/SS+의/JKG
명칭은	명칭/NNG+은/JX
'독일의	'/SS+독일/NNP+의/JKG
노래(Deutschlandlied)'다.	노래/NNG+(/SS+Deutschlandlied/SL+)/SS+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000046.15.2.2
오스트리아 작곡가 요제프 하이든이 1797년 당시 자국 황제 생일에 바친 곡에 독일 시인 아우구스트 하인리히 호프만 폰 팔러슬레벤이 1841년 1~3절 가사를 붙였다.

오스트리아	오스트리아/NNP
작곡가	작곡가/NNG
요제프	요제프/NNP
하이든이	하이든/NNP+이/JKS
1797년	1797/SN+년/NNB
당시	당시/NNG
자국	자국/NNG
황제	황제/NNG
생일에	생일/NNG+에/JKB
바친	바치/VV+ㄴ/ETM
곡에	곡/NNG+에/JKB
독일	독일/NNP
시인	시인/NNG
아우구스트	아우구스트/NNP
하인리히	하인리히/NNP
호프만	호프만/NNP
폰	폰/NNP
팔러슬레벤이	팔러슬레벤/NNP+이/JKS
1841년	1841/SN+년/NNB
1~3절	1/SN+~/SO+3/SN+절/NNG
가사를	가사/NNG+를/JKO
붙였다.	붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.15.2.3
가사 중 나오는 단결과 정의와 자유는 프랑스의 모토 '자유, 평등, 박애'에 비견된다.

가사	가사/NNG
중	중/NNB
나오는	나오/VV+는/ETM
단결과	단결/NNG+과/JC
정의와	정의/NNG+와/JC
자유는	자유/NNG+는/JX
프랑스의	프랑스/NNP+의/JKG
모토	모토/NNG
'자유,	'/SS+자유/NNG+,/SP
평등,	평등/NNG+,/SP
박애'에	박애/NNG+'/SS+에/JKB
비견된다.	비견/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.15.2.4
1922년 바이마르공화국에서 국가로 채택됐지만 현재 독일 공식 행사에서는 3절만 부른다.

1922년	1922/SN+년/NNB
바이마르공화국에서	바이마르공화국/NNP+에서/JKB
국가로	국가/NNG+로/JKB
채택됐지만	채택/NNG+되/XSV+었/EP+지만/EC
현재	현재/MAG
독일	독일/NNP
공식	공식/NNG
행사에서는	행사/NNG+에서/JKB+는/JX
3절만	3/SN+절/NNG+만/JX
부른다.	부르/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.15.3.1
1·2절이 국가의 지위를 잃은 건 나치 독일 때문이다.

1·2절이	1/SN+·/SP+2/SN+절/NNG+이/JKS
국가의	국가/NNG+의/JKG
지위를	지위/NNG+를/JKO
잃은	잃/VV+은/ETM
건	거/NNB+ㄴ/JX
나치	나치/NNP
독일	독일/NNP
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.15.3.2
본래 '독일의 노래' 1절은 "독일, 모든 것에 우선한 독일"이라는 가사로 시작한다.

본래	본래/MAG
'독일의	'/SS+독일/NNP+의/JKG
노래'	노래/NNG+'/SS
1절은	1/SN+절/NNG+은/JX
"독일,	"/SS+독일/NNP+,/SP
모든	모든/MMN
것에	것/NNB+에/JKB
