# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.383
metadata : {}


# id : NWRW1800000052.383.1.1
야3당, 백남기 사건 상설특검안 국회 제출

야3당,	야/NNG+3/SN+당/NNG+,/SP
백남기	백남기/NNP
사건	사건/NNG
상설특검안	상설/NNG+특검/NNG+안/NNG
국회	국회/NNG
제출	제출/NNG


# id : NWRW1800000052.383.2.1
“청문회 했지만 책임회피, 은폐로 진상규명에 한계, 특검해야”

“청문회	“/SS+청문회/NNG
했지만	하/VV+았/EP+지만/EC
책임회피,	책임/NNG+회피/NNG+,/SP
은폐로	은폐/NNG+로/JKB
진상규명에	진상/NNG+규명/NNG+에/JKB
한계,	한계/NNG+,/SP
특검해야”	특검/NNG+하/XSV+아야/EC+”/SS


# id : NWRW1800000052.383.3.1
‘백남기 특검법’ 제출 고민했지만 여당 설득 명분 위해 기존 제도 활용

‘백남기	‘/SS+백남기/NNP
특검법’	특검법/NNG+’/SS
제출	제출/NNG
고민했지만	고민/NNG+하/XSV+았/EP+지만/EC
여당	여당/NNG
설득	설득/NNG
명분	명분/NNG
위해	위하/VV+아/EC
기존	기존/NNG
제도	제도/NNG
활용	활용/NNG


# id : NWRW1800000052.383.4.1
본회의 통과시 박근혜 공약인 상설특검제 1호 특검

본회의	본회의/NNG
통과시	통과/NNG+시/NNB
박근혜	박근혜/NNP
공약인	공약/NNG+이/VCP+ㄴ/ETM
상설특검제	상설/NNG+특검/NNG+제/XSN
1호	1/SN+호/NNB
특검	특검/NNG


# id : NWRW1800000052.383.5.1
새누리당 설득이 관건…세월호 특검안도 법사위 문턱 못 넘어

새누리당	새누리당/NNP
설득이	설득/NNG+이/JKS
관건…세월호	관건/NNG+…/SE+세월호/NNP
특검안도	특검/NNG+안/NNG+도/JX
법사위	법사위/NNG
문턱	문턱/NNG
못	못/MAG
넘어	넘/VV+어/EF


# id : NWRW1800000052.383.6.1
더불어민주당·국민의당·정의당 등 야3당이 고 백남기 농민 사망사건에 대한 특별검사 수사요구안을 국회에 공동제출했다.

더불어민주당·국민의당·정의당	더불어민주당/NNP+·/SP+국민의당/NNP+·/SP+정의당/NNP
등	등/NNB
야3당이	야/NNG+3/SN+당/NNG+이/JKS
고	고/MMA
백남기	백남기/NNP
농민	농민/NNG
사망사건에	사망/NNG+사건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
특별검사	특별/NNG+검사/NNG
수사요구안을	수사/NNG+요구안/NNG+을/JKO
국회에	국회/NNG+에/JKB
공동제출했다.	공동/NNG+제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.383.6.2
국회 의결로 특검이 도입되면 상설특검제 시행 뒤 첫 적용 사례가 되지만, 여당의 반발을 뚫고 실현될 수 있을지는 미지수다.

국회	국회/NNG
의결로	의결/NNG+로/JKB
특검이	특검/NNG+이/JKS
도입되면	도입/NNG+되/XSV+면/EC
상설특검제	상설/NNG+특검/NNG+제/XSN
시행	시행/NNG
뒤	뒤/NNG
첫	첫/MMN
적용	적용/NNG
사례가	사례/NNG+가/JKC
되지만,	되/VV+지만/EC+,/SP
여당의	여당/NNG+의/JKG
반발을	반발/NNG+을/JKO
뚫고	뚫/VV+고/EC
실현될	실현/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있을지는	있/VA+을지/EF+는/JX
미지수다.	미지수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.383.7.1
