# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.26
metadata : {}


# id : NWRW1800000046.26.1.1
"신문사 으깨자" "광고 끊어야"… 日, 또 언론 입막기

"신문사	"/SS+신문사/NNG
으깨자"	으깨/VV+자/EF+"/SS
"광고	"/SS+광고/NNG
끊어야"…	끊/VV+어야/EC+"/SS+…/SE
日,	日/SH+,/SP
또	또/MAG
언론	언론/NNG
입막기	입/NNG+막/VV+기/ETN


# id : NWRW1800000046.26.2.1
아베 측근 주최 모임서 자민당 의원들 발언 논란… 아베 "사실이라면 유감", 日언론들은 대부분 침묵

아베	아베/NNP
측근	측근/NNG
주최	주최/NNG
모임서	모임/NNG+서/JKB
자민당	자민당/NNP
의원들	의원/NNG+들/XSN
발언	발언/NNG
논란…	논란/NNG+…/SE
"사실이라면	"/SS+사실/NNG+이/VCP+라면/EC
유감",	유감/NNG+"/SS+,/SP
日언론들은	日/SH+언론/NNG+들/XSN+은/JX
대부분	대/XPN+부분/NNG
침묵	침묵/NNG


# id : NWRW1800000046.26.3.1
25일 도쿄 도심 자민당 당사에 자민당 소속 의원 37명이 모였다.

25일	25/SN+일/NNB
도쿄	도쿄/NNP
도심	도심/NNG
자민당	자민당/NNP
당사에	당사/NNG+에/JKB
소속	소속/NNG
의원	의원/NNG
37명이	37/SN+명/NNB+이/JKS
모였다.	모이/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.26.3.2
아베 신조 총리와 가까운 기하라 미노루(46) 중의원 의원이 만든 모임 '문화예술간담회' 첫 회의였다.

아베	아베/NNP
신조	신조/NNP
총리와	총리/NNG+와/JKB
가까운	가깝/VA+ㄴ/ETM
기하라	기하라/NNP
미노루(46)	미노루/NNP+(/SS+46/SN+)/SS
중의원	중의원/NNG
의원이	의원/NNG+이/JKS
만든	만들/VV+ㄴ/ETM
모임	모임/NNG
'문화예술간담회'	'/SS+문화예술간담회/NNP+'/SS
첫	첫/MMN
회의였다.	회의/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.26.4.1
표면적으론 소장파 의원들의 공부 모임을 표방했지만, 실제론 아베를 따르는 젊은 의원들이 정국 돌파 로드맵을 짜는 자리였다.

표면적으론	표면/NNG+적/XSN+으로/JKB+ㄴ/JX
소장파	소장파/NNG
의원들의	의원/NNG+들/XSN+의/JKG
공부	공부/NNG
모임을	모임/NNG+을/JKO
표방했지만,	표방/NNG+하/XSV+았/EP+지만/EC+,/SP
실제론	실제로/MAG+ㄴ/JX
아베를	아베/NNP+를/JKO
따르는	따르/VV+는/ETM
젊은	젊/VA+은/ETM
의원들이	의원/NNG+들/XSN+이/JKS
정국	정국/NNG
돌파	돌파/NNG
로드맵을	로드맵/NNG+을/JKO
짜는	짜/VV+는/ETM
자리였다.	자리/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.26.4.2
니혼게이자이신문은 "오는 9월 자민당 총재 선거에서 아베 총리가 재선되는 흐름을 만들려는 의도"라고 풀이했다.

니혼게이자이신문은	니혼게이자이신문/NNP+은/JX
"오는	"/SS+오/VV+는/ETM
9월	9/SN+월/NNB
자민당	자민당/NNP
총재	총재/NNG
선거에서	선거/NNG+에서/JKB
아베	아베/NNP
총리가	총리/NNG+가/JKS
재선되는	재선/NNG+되/XSV+는/ETM
흐름을	흐름/NNG+을/JKO
만들려는	만들/VV+려는/ETM
의도"라고	의도/NNG+"/SS+라고/JKQ
풀이했다.	풀이/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.26.4.3
이들이 첫 모임에 부른 강사가 '영원의 제로(永遠の0)'를 쓴 우익 소설가 햐쿠타 나오키(59)였다.

이들이	이/NP+들/XSN+이/JKS
첫	첫/MMN
모임에	모임/NNG+에/JKB
부른	부르/VV+ㄴ/ETM
강사가	강사/NNG+가/JKS
'영원의	'/SS+영원/NNG+의/JKG
제로(永遠の0)'를	제로/NNG+(/SS+永遠/SH+の/SL+0/SN+)/SS+'/SS+를/JKO
쓴	쓰/VV+ㄴ/ETM
우익	우익/NNG
소설가	소설가/NNG
햐쿠타	햐쿠타/NNP
나오키(59)였다.	나오키/NNP+(/SS+59/SN+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.26.4.4
2차대전 때 일본군 자살 폭탄 공격을 다루면서, 침략에 대한 반성은 미뤄두고 일본 병사 개개인이 순수하고 치열하게 싸운 점만 강조한 작품이다.

2차대전	2/SN+차/NNB+대전/NNG
때	때/NNG
일본군	일본군/NNG
자살	자살/NNG
폭탄	폭탄/NNG
공격을	공격/NNG+을/JKO
다루면서,	다루/VV+면서/EC+,/SP
침략에	침략/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
반성은	반성/NNG+은/JX
미뤄두고	미루/VV+어/EC+두/VX+고/EC
일본	일본/NNP
병사	병사/NNG
개개인이	개개인/NNG+이/JKS
순수하고	순수/NNG+하/XSA+고/EC
치열하게	치열/NNG+하/XSA+게/EC
싸운	싸우/VV+ㄴ/ETM
점만	점/NNG+만/JX
강조한	강조/NNG+하/XSV+ㄴ/ETM
작품이다.	작품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.26.4.5
미야자키 하야오 감독은 이 소설이 "신화를 날조했다"고 혹평했다.

미야자키	미야자키/NNP
하야오	하야오/NNP
감독은	감독/NNG+은/JX
이	이/MMD
소설이	소설/NNG+이/JKS
"신화를	"/SS+신화/NNG+를/JKO
날조했다"고	날조/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
혹평했다.	혹평/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.26.5.1
마이니치 신문에 따르면, 햐쿠타는 이날 단순한 논리와 거친 언어로 비판 언론 분쇄 방안을 이야기했다.

마이니치	마이니치/NNP
신문에	신문/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
햐쿠타는	햐쿠타/NNP+는/JX
이날	이날/NNG
단순한	단순/NNG+하/XSA+ㄴ/ETM
논리와	논리/NNG+와/JC
거친	거칠/VA+ㄴ/ETM
언어로	언어/NNG+로/JKB
비판	비판/NNG
언론	언론/NNG
분쇄	분쇄/NNG
방안을	방안/NNG+을/JKO
이야기했다.	이야기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.26.6.1
햐쿠타는 우선 아베 정권의 안보법제 개정 작업에 찬성한다고 밝혔다.

햐쿠타는	햐쿠타/NNP+는/JX
우선	우선/MAG
아베	아베/NNP
정권의	정권/NNG+의/JKG
안보법제	안보/NNG+법제/NNG
개정	개정/NNG
작업에	작업/NNG+에/JKB
찬성한다고	찬성/NNG+하/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.26.6.2
이어 "(아베 총리를 비판해온) 오키나와의 두 신문을 으깨버리지 않으면 안 된다. 중국이 오키나와 제도 중 어느 한 섬을 취해야, (그 두 신문도) 눈을 뜰 것"이라고 했다.

이어	이어/MAG
"(아베	"/SS+(/SS+아베/NNP
총리를	총리/NNG+를/JKO
비판해온)	비판/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM+)/SS
오키나와의	오키나와/NNP+의/JKG
두	두/MMN
신문을	신문/NNG+을/JKO
으깨버리지	으깨/VV+어/EC+버리/VX+지/EC
않으면	않/VX+으면/EC
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF
중국이	중국/NNP+이/JKS
오키나와	오키나와/NNP
제도	제도/NNG
중	중/NNB
어느	어느/MMD
한	한/MMN
섬을	섬/NNG+을/JKO
취해야,	취하/VV+아야/EC+,/SP
(그	(/SS+그/MMD
신문도)	신문/NNG+도/JX+)/SS
눈을	눈/NNG+을/JKO
뜰	뜨/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.26.7.1
의원들도 막말을 쏟아냈다.

의원들도	의원/NNG+들/XSN+도/JX
막말을	막말/NNG+을/JKO
쏟아냈다.	쏟/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.26.7.2
아사히신문은 의원들이 "언론을 혼내주려면 광고료 수입을 없애는 게 최고"라면서 "일본경제단체연합회를 압박하고 싶다"고 말했다고 전했다.

아사히신문은	아사히신문/NNP+은/JX
의원들이	의원/NNG+들/XSN+이/JKS
"언론을	"/SS+언론/NNG+을/JKO
혼내주려면	혼내/VV+어/EC+주/VX+려면/EC
광고료	광고료/NNG
수입을	수입/NNG+을/JKO
없애는	없애/VV+는/ETM
게	거/NNB+이/JKS
최고"라면서	최고/NNG+"/SS+이/VCP+라면서/EC
"일본경제단체연합회를	"/SS+일본경제단체연합회/NNP+를/JKO
압박하고	압박/NNG+하/XSV+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.26.7.3
"(정권에) 악영향을 주는 방송 프로그램 목록을 발표하고, 광고 스폰서를 열거하면 된다"는 '아이디어'까지 나왔다.

"(정권에)	"/SS+(/SS+정권/NNG+에/JKB+)/SS
악영향을	악영향/NNG+을/JKO
주는	주/VV+는/ETM
방송	방송/NNG
프로그램	프로그램/NNG
목록을	목록/NNG+을/JKO
발표하고,	발표/NNG+하/XSV+고/EC+,/SP
광고	광고/NNG
스폰서를	스폰서/NNG+를/JKO
열거하면	열거/NNG+하/XSV+면/EC
된다"는	되/VV+ㄴ다/EF+"/SS+는/ETM
'아이디어'까지	'/SS+아이디어/NNG+'/SS+까지/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.26.8.1
파문이 커지자, 아베 총리는 26일 "보도가 사실이라면 대단히 유감"이라고 했다.

파문이	파문/NNG+이/JKS
커지자,	커지/VV+자/EC+,/SP
아베	아베/NNP
총리는	총리/NNG+는/JX
26일	26/SN+일/NNB
"보도가	"/SS+보도/NNG+가/JKS
사실이라면	사실/NNG+이/VCP+라면/EC
대단히	대단히/MAG
유감"이라고	유감/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.26.8.2
이 모임엔 가토 가쓰노부 관방부장관도 참석했다.

이	이/MMD
모임엔	모임/NNG+에/JKB+ㄴ/JX
가토	가토/NNP
가쓰노부	가쓰노부/NNP
관방부장관도	관방/NNG+부장관/NNG+도/JX
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.26.8.3
가토의 상관인 스가 요시히데 관방장관은 "모임 참석은 (가토) 개인의 자유다" "햐쿠다에게도 표현의 자유가 있다" "당에서 나온 발언이니까 정부 차원에서 코멘트하지 않겠다"며 기자들의 추궁을 피해갔다.

가토의	가토/NNP+의/JKG
상관인	상관/NNG+이/VCP+ㄴ/ETM
스가	스가/NNP
요시히데	요시히데/NNP
관방장관은	관방/NNG+장관/NNG+은/JX
"모임	"/SS+모임/NNG
참석은	참석/NNG+은/JX
(가토)	(/SS+가토/NNP+)/SS
개인의	개인/NNG+의/JKG
자유다"	자유/NNG+이/VCP+다/EF+"/SS
"햐쿠다에게도	"/SS+햐쿠다/NNP+에게/JKB+도/JX
표현의	표현/NNG+의/JKG
자유가	자유/NNG+가/JKS
있다"	있/VA+다/EF+"/SS
"당에서	"/SS+당/NNG+에서/JKB
나온	나오/VV+ㄴ/ETM
발언이니까	발언/NNG+이/VCP+니까/EC
정부	정부/NNG
차원에서	차원/NNG+에서/JKB
코멘트하지	코멘트/NNG+하/XSV+지/EC
않겠다"며	않/VX+겠/EP+다/EF+"/SS+며/EC
기자들의	기자/NNG+들/XSN+의/JKG
추궁을	추궁/NNG+을/JKO
피해갔다.	피하/VV+아/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.26.8.4
기자들이 "선배 의원으로서 이런 발언들이 비정상이라고 생각하지 않느냐"고 물고 늘어지자, 그는 결국 "개인적으로 말씀드리면, 어느 누가 봐도 그렇게 생각하는 게 당연하지 않으냐"고 물러섰다.

기자들이	기자/NNG+들/XSN+이/JKS
"선배	"/SS+선배/NNG
의원으로서	의원/NNG+으로서/JKB
이런	이런/MMD
발언들이	발언/NNG+들/XSN+이/JKS
비정상이라고	비/XPN+정상/NNG+이/VCP+라고/EC
생각하지	생각/NNG+하/XSV+지/EC
않느냐"고	않/VX+느냐/EF+"/SS+고/JKQ
물고	물/VV+고/EC
늘어지자,	늘어지/VV+자/EC+,/SP
그는	그/NP+는/JX
결국	결국/MAG
"개인적으로	"/SS+개인/NNG+적/XSN+으로/JKB
말씀드리면,	말씀/NNG+드리/VV+면/EC+,/SP
어느	어느/MMD
누가	누구/NP+가/JKS
봐도	보/VV+아도/EC
그렇게	그렇/VA+게/EC
생각하는	생각/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
당연하지	당연/NNG+하/XSA+지/EC
않으냐"고	않/VX+으냐/EF+"/SS+고/JKQ
물러섰다.	물러서/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.26.9.1
아베 정권의 언론통제 논란은 처음이 아니다.

아베	아베/NNP
정권의	정권/NNG+의/JKG
언론통제	언론/NNG+통제/NNG
논란은	논란/NNG+은/JX
처음이	처음/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000046.26.9.2
아베 총리는 재집권 이후 공영방송 NHK 회장에 방송과 아무 인연 없는 측근 모미이 가쓰토 전 미쓰이물산 사장을 임명했다.

아베	아베/NNP
총리는	총리/NNG+는/JX
재집권	재/XPN+집권/NNG
이후	이후/NNG
공영방송	공영/NNG+방송/NNG
NHK	NHK/SL
회장에	회장/NNG+에/JKB
방송과	방송/NNG+과/JKB
아무	아무/MMD
인연	인연/NNG
없는	없/VA+는/ETM
측근	측근/NNG
모미이	모미이/NNP
가쓰토	가쓰토/NNP
전	전/MMD
미쓰이물산	미쓰이물산/NNP
사장을	사장/NNG+을/JKO
임명했다.	임명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.26.9.3
소설가 햐쿠타에게도 NHK 경영위원 자리를 줬다.

소설가	소설가/NNG
햐쿠타에게도	햐쿠타/NNP+에게/JKB+도/JX
NHK	NHK/SL
경영위원	경영/NNG+위원/NNG
자리를	자리/NNG+를/JKO
줬다.	주/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.26.10.1
작년 11월 TBS 뉴스가 "경기가 여전히 좋지 않다"는 시민 인터뷰를 내보내자, 아베 총리가 "실태를 반영하지 않은 보도"라고 꼭 짚어 비판했다.

작년	작년/NNG
11월	11/SN+월/NNB
TBS	TBS/SL
뉴스가	뉴스/NNG+가/JKS
"경기가	"/SS+경기/NNG+가/JKS
여전히	여전히/MAG
좋지	좋/VA+지/EC
않다"는	않/VX+다/EF+"/SS+는/ETM
시민	시민/NNG
인터뷰를	인터뷰/NNG+를/JKO
내보내자,	내보내/VV+자/EC+,/SP
아베	아베/NNP
총리가	총리/NNG+가/JKS
"실태를	"/SS+실태/NNG+를/JKO
반영하지	반영/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
보도"라고	보도/NNG+"/SS+라고/JKQ
꼭	꼭/MAG
짚어	짚/VV+어/EC
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.26.10.2
곧바로 자민당이 NHK와 민방 5개 사에 "중립을 지키라"는 공문을 보냈다.

곧바로	곧바로/MAG
자민당이	자민당/NNP+이/JKS
NHK와	NHK/SL+와/JC
민방	민방/NNG
5개	5/SN+개/NNB
사에	사/NNG+에/JKB
"중립을	"/SS+중립/NNG+을/JKO
지키라"는	지키/VV+라/EF+"/SS+는/ETM
공문을	공문/NNG+을/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.26.11.1
모임을 조직한 기하라는 일본군위안부와 관련, 미국 워싱턴포스트에 "일본군이 본인 의사에 반해 매춘을 강요했다는 증거가 없다"는 광고를 냈던 인물이다.

모임을	모임/NNG+을/JKO
조직한	조직/NNG+하/XSV+ㄴ/ETM
기하라는	기하라/NNP+는/JX
일본군위안부와	일본군/NNG+위안부/NNG+와/JKB
관련,	관련/NNG+,/SP
