# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.305
metadata : {}


# id : NWRW1800000054.305.1.1
[萬物相] 커피집 10만개의 그늘

[萬物相]	[/SS+萬物相/SH+]/SS
커피집	커피집/NNG
10만개의	10/SN+만/NR+개/NNB+의/JKG
그늘	그늘/NNG


# id : NWRW1800000054.305.2.1
점심 먹고 커피 한잔 마시려다 빈자리 있는 커피집을 찾아 몇 군데를 들러야 했다.

점심	점심/NNG
먹고	먹/VV+고/EC
커피	커피/NNG
한잔	한잔/NNG
마시려다	마시/VV+려다/EC
빈자리	빈자리/NNG
있는	있/VA+는/ETM
커피집을	커피집/NNG+을/JKO
찾아	찾/VV+아/EC
몇	몇/NR
군데를	군데/NNB+를/JKO
들러야	들르/VV+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.305.2.2
인근 오피스빌딩에서 쏟아져 나온 회사원들로 인해 광화문 일대의 그 많은 커피집이 죄다 만원이었다.

인근	인근/NNG
오피스빌딩에서	오피스/NNG+빌딩/NNG+에서/JKB
쏟아져	쏟아지/VV+어/EC
나온	나오/VV+ㄴ/ETM
회사원들로	회사원/NNG+들/XSN+로/JKB
인해	인/NNG+하/XSV+아/EC
광화문	광화문/NNP
일대의	일대/NNG+의/JKG
그	그/MMD
많은	많/VA+은/ETM
커피집이	커피집/NNG+이/JKS
죄다	죄다/MAG
만원이었다.	만원/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.305.2.3
자장면 먹고도 커피, 라면 먹고도 커피를 마시니 어떨 땐 배보다 배꼽이 크다는 말이 나올 만도 하다.

자장면	자장면/NNG
먹고도	먹/VV+고/EC+도/JX
커피,	커피/NNG+,/SP
라면	라면/NNG
커피를	커피/NNG+를/JKO
마시니	마시/VV+니/EC
어떨	어떻/VA+ㄹ/ETM
땐	때/NNG+ㄴ/JX
배보다	배/NNG+보다/JKB
배꼽이	배꼽/NNG+이/JKS
크다는	크/VA+다는/ETM
말이	말/NNG+이/JKS
나올	나오/VV+ㄹ/ETM
만도	만/NNB+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000054.305.3.1
▶강릉을 커피 명소로 만드는 데 일조한 한 커피 전문점은 관광 코스에도 들어 있는 모양이다.

▶강릉을	▶/SW+강릉/NNP+을/JKO
커피	커피/NNG
명소로	명소/NNG+로/JKB
만드는	만들/VV+는/ETM
데	데/NNB
일조한	일조/NNG+하/XSV+ㄴ/ETM
한	한/MMN
전문점은	전문점/NNG+은/JX
관광	관광/NNG
코스에도	코스/NNG+에/JKB+도/JX
들어	들/VV+어/EC
있는	있/VX+는/ETM
모양이다.	모양/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.305.3.2
관광버스가 커피점 앞에 서니 수십 명의 관광객이 우르르 내려 다들 커피를 주문했다.

관광버스가	관광버스/NNG+가/JKS
커피점	커피점/NNG
앞에	앞/NNG+에/JKB
서니	서/VV+니/EC
수십	수십/NR
명의	명/NNB+의/JKG
관광객이	관광객/NNG+이/JKS
우르르	우르르/MAG
내려	내리/VV+어/EC
다들	다/MAG+들/XSN
커피를	커피/NNG+를/JKO
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.305.3.3
가이드가 계산을 하는데 보니 15만원이 넘었다.

가이드가	가이드/NNG+가/JKS
계산을	계산/NNG+을/JKO
하는데	하/VV+는데/EC
보니	보/VV+니/EC
15만원이	15/SN+만/NR+원/NNB+이/JKS
넘었다.	넘/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.305.3.4
다들 간판을 배경으로 인증샷을 찍기 바쁘다.

다들	다/MAG+들/XSN
간판을	간판/NNG+을/JKO
배경으로	배경/NNG+으로/JKB
인증샷을	인증/NNG+샷/NNG+을/JKO
찍기	찍/VV+기/ETN
바쁘다.	바쁘/VA+다/EF+./SF


# id : NWRW1800000054.305.3.5
지난해 한국 사람들이 마신 커피가 250억잔이란다.

지난해	지난해/NNG
한국	한국/NNP
사람들이	사람/NNG+들/XSN+이/JKS
마신	마시/VV+ㄴ/ETM
