# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.335
metadata : {}


# id : NWRW1800000030.335.1.1
총리·장관 등 고위공무원 4600명 전자여권 정보 유출

총리·장관	총리/NNG+·/SP+장관/NNG
등	등/NNB
고위공무원	고위/NNG+공무원/NNG
4600명	4600/SN+명/NNB
전자여권	전자/NNG+여권/NNG
정보	정보/NNG
유출	유출/NNG


# id : NWRW1800000030.335.2.1
•여권 발급기 업체 본사로 작년 8~11월 신청 92만명

•여권	•/SW+여권/NNG
발급기	발급기/NNG
업체	업체/NNG
본사로	본사/NNG+로/JKB
작년	작년/NNG
8~11월	8/SN+~/SO+11/SN+월/NNB
신청	신청/NNG
92만명	92/SN+만/NR+명/NNB


# id : NWRW1800000030.335.3.1
외교부가 발급하는 전자여권 신청자의 주민번호와 여권번호 등 개인 신상 정보 92만여건이 여권발급기 운용업체 직원들에 의해 여권 제작을 담당하는 조폐공사 외부로 무단 유출된 것으로 18일 밝혀졌다.

외교부가	외교부/NNG+가/JKS
발급하는	발급/NNG+하/XSV+는/ETM
전자여권	전자/NNG+여권/NNG
신청자의	신청자/NNG+의/JKG
주민번호와	주민/NNG+번호/NNG+와/JC
여권번호	여권/NNG+번호/NNG
등	등/NNB
개인	개인/NNG
신상	신상/NNG
정보	정보/NNG
92만여건이	92/SN+만/NR+여/XSN+건/NNB+이/JKS
여권발급기	여권/NNG+발급기/NNG
운용업체	운용/NNG+업체/NNG
직원들에	직원/NNG+들/XSN+에/JKB
의해	의하/VV+아/EC
여권	여권/NNG
제작을	제작/NNG+을/JKO
담당하는	담당/NNG+하/XSV+는/ETM
조폐공사	조폐공사/NNP
외부로	외부/NNG+로/JKB
무단	무단/NNG
유출된	유출/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
18일	18/SN+일/NNB
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.335.3.2
신상 정보가 유출된 사람 중에는 국무총리와 장관, 대통령실 고위 관계자와 국방부, 국가정보원 등 안보 부서 고위 당국자 등 공무원 4600여명이 포함돼 있다.

신상	신상/NNG
정보가	정보/NNG+가/JKS
유출된	유출/NNG+되/XSV+ㄴ/ETM
사람	사람/NNG
중에는	중/NNB+에/JKB+는/JX
국무총리와	국무총리/NNG+와/JC
장관,	장관/NNG+,/SP
대통령실	대통령실/NNG
고위	고위/NNG
관계자와	관계자/NNG+와/JC
국방부,	국방부/NNG+,/SP
국가정보원	국가/NNG+정보원/NNG
등	등/NNB
안보	안보/NNG
부서	부서/NNG
당국자	당국자/NNG
공무원	공무원/NNG
4600여명이	4600/SN+여/XSN+명/NNB+이/JKS
포함돼	포함/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.335.3.3
조폐공사 여권발급실은 최고 등급의 보안 지침이 적용되는 국가 보안시설인데 보안에 구멍이 뚫린 것이다.

조폐공사	조폐공사/NNP
여권발급실은	여권/NNG+발급실/NNG+은/JX
최고	최고/NNG
등급의	등급/NNG+의/JKG
보안	보안/NNG
지침이	지침/NNG+이/JKS
적용되는	적용/NNG+되/XSV+는/ETM
국가	국가/NNG
보안시설인데	보안/NNG+시설/NNG+이/VCP+ㄴ데/EC
보안에	보안/NNG+에/JKB
구멍이	구멍/NNG+이/JKS
뚫린	뚫리/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.335.4.1
한나라당 김호연 의원에 따르면 작년 8~11월 전자여권 신청자 92만여명의 주민번호, 여권번호, 여권발급일·만료일 등 신상 정보가 여권발급기 운용업체 M사(社) 직원들에 의해 이 회사 본사로 유출됐다.

한나라당	한나라당/NNP
김호연	김호연/NNP
의원에	의원/NNG+에/JKB
따르면	따르/VV+면/EC
작년	작년/NNG
8~11월	8/SN+~/SO+11/SN+월/NNB
전자여권	전자/NNG+여권/NNG
신청자	신청자/NNG
92만여명의	92/SN+만/NR+여/XSN+명/NNB+의/JKG
주민번호,	주민/NNG+번호/NNG+,/SP
여권번호,	여권/NNG+번호/NNG+,/SP
여권발급일·만료일	여권/NNG+발급일/NNG+·/SP+만료일/NNG
등	등/NNB
신상	신상/NNG
정보가	정보/NNG+가/JKS
여권발급기	여권/NNG+발급기/NNG
운용업체	운용/NNG+업체/NNG
M사(社)	M/SL+사/NNG+(/SS+社/SH+)/SS
직원들에	직원/NNG+들/XSN+에/JKB
의해	의하/VV+아/EC
이	이/MMD
회사	회사/NNG
본사로	본사/NNG+로/JKB
유출됐다.	유출/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.335.5.1
조폐공사 보안 규정에 따르면 여권 신청자의 신상 정보는 여권 제작 후 조폐공사 전산 서버에서 곧바로 삭제돼야 한다.

조폐공사	조폐공사/NNP
보안	보안/NNG
규정에	규정/NNG+에/JKB
따르면	따르/VV+면/EC
여권	여권/NNG
신청자의	신청자/NNG+의/JKG
신상	신상/NNG
정보는	정보/NNG+는/JX
제작	제작/NNG
후	후/NNG
전산	전산/NNG
서버에서	서버/NNG+에서/JKB
곧바로	곧바로/MAG
삭제돼야	삭제/NNG+되/XSV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.335.5.2
그러나 M사 직원들은 여권발급기 부품 교체주기를 파악한다는 명목으로 신상 정보를 매주 M사 본사로 보낸 것으로 나타났다.

그러나	그러나/MAJ
M사	M/SL+사/NNG
직원들은	직원/NNG+들/XSN+은/JX
여권발급기	여권/NNG+발급기/NNG
부품	부품/NNG
교체주기를	교체/NNG+주기/NNG+를/JKO
파악한다는	파악/NNG+하/XSV+ㄴ다는/ETM
명목으로	명목/NNG+으로/JKB
신상	신상/NNG
정보를	정보/NNG+를/JKO
매주	매주/MAG
본사로	본사/NNG+로/JKB
보낸	보내/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.335.5.3
여기에는 김황식 총리, 현인택 전 통일부 장관, 이주호 교육과학기술부 장관, 오세훈 전 서울시장과 청와대 수석비서관, 국회의원 등 관용(官用) 여권을 신청한 공무원 4600여명의 정보도 포함됐다.

여기에는	여기/NP+에/JKB+는/JX
김황식	김황식/NNP
총리,	총리/NNG+,/SP
현인택	현인택/NNP
전	전/MMD
통일부	통일부/NNG
장관,	장관/NNG+,/SP
이주호	이주호/NNP
교육과학기술부	교육/NNG+과학/NNG+기술부/NNG
오세훈	오세훈/NNP
서울시장과	서울시장/NNG+과/JKB
청와대	청와대/NNP
수석비서관,	수석/NNG+비서관/NNG+,/SP
국회의원	국회/NNG+의원/NNG
등	등/NNB
관용(官用)	관용/NNG+(/SS+官用/SH+)/SS
여권을	여권/NNG+을/JKO
신청한	신청/NNG+하/XSV+ㄴ/ETM
공무원	공무원/NNG
4600여명의	4600/SN+여/XSN+명/NNB+의/JKG
정보도	정보/NNG+도/JX
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.335.5.4
