# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.328
metadata : {}


# id : NWRW1800000026.328.1.1
[부산·울산·경남] 하동 갈사만 조선단지 조성 급물살;대우해양 분양계약 체결 오리엔탈정공 등도 예정

[부산·울산·경남]	[/SS+부산/NNP+·/SP+울산/NNP+·/SP+경남/NNP+]/SS
하동	하동/NNP
갈사만	갈사만/NNP
조선단지	조선/NNP+단지/NNG
조성	조성/NNG
급물살;대우해양	급물살/NNG+;/SW+대우해양/NNP
분양계약	분양/NNG+계약/NNG
체결	체결/NNG
오리엔탈정공	오리엔탈정공/NNP
등도	등/NNB+도/JX
예정	예정/NNG


# id : NWRW1800000026.328.2.1
경남 하동군과 하동지구개발사업단주식회사는 대우조선해양과 하동 갈사만 조선산업단지 내 66만1000㎡의 토지 분양 계약을 체결했다고 3일 밝혔다.

경남	경남/NNP
하동군과	하동군/NNP+과/JC
하동지구개발사업단주식회사는	하동지구개발사업단주식회사/NNP+는/JX
대우조선해양과	대우조선해양/NNP+과/JC
하동	하동/NNP
갈사만	갈사만/NNP
조선산업단지	조선/NNG+산업/NNG+단지/NNG
내	내/NNB
66만1000㎡의	66/SN+만/NR+1000/SN+㎡/SW+의/JKG
토지	토지/NNG
분양	분양/NNG
계약을	계약/NNG+을/JKO
체결했다고	체결/NNG+하/XSV+았/EP+다고/EC
3일	3/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.328.3.1
대우조선해양은 시추선, LNG-FPSO(부유식 액화천연가스 생산저장 하역설비), FSRU(가스저장설비) 등 고부가가치 해양플랜트를 생산하는 첨단 조선산업단지를 조성할 계획이다.

대우조선해양은	대우조선해양/NNP+은/JX
시추선,	시추선/NNG+,/SP
LNG-FPSO(부유식	LNG/SL+-/SO+FPSO/SL+(/SS+부유식/NNG
액화천연가스	액화/NNG+천연가스/NNG
생산저장	생산/NNG+저장/NNG
하역설비),	하역/NNG+설비/NNG+)/SS+,/SP
FSRU(가스저장설비)	FSRU/SL+(/SS+가스/NNG+저장/NNG+설비/NNG+)/SS
등	등/NNB
고부가가치	고/XPN+부가/NNG+가치/NNG
해양플랜트를	해양/NNG+플랜트/NNG+를/JKO
생산하는	생산/NNG+하/XSV+는/ETM
첨단	첨단/NNG
조선산업단지를	조선/NNG+산업/NNG+단지/NNG+를/JKO
조성할	조성/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.328.4.1
하동군과 하동지구개발사업단은 대우조선해양과의 토지 분양 계약에 이어 대우조선해양 최대 협력업체인 오리엔탈정공, 선보공업과도 각각 56만㎡, 33만㎡의 토지 분양 계약을 맺을 예정이다.

하동군과	하동군/NNP+과/JC
하동지구개발사업단은	하동지구개발사업단/NNP+은/JX
대우조선해양과의	대우조선해양/NNP+과/JKB+의/JKG
토지	토지/NNG
분양	분양/NNG
계약에	계약/NNG+에/JKB
이어	잇/VV+어/EC
대우조선해양	대우조선해양/NNP
최대	최대/NNG
협력업체인	협력/NNG+업체/NNG+이/VCP+ㄴ/ETM
오리엔탈정공,	오리엔탈정공/NNP+,/SP
선보공업과도	선보공업/NNP+과/JKB+도/JX
각각	각각/MAG
56만㎡,	56/SN+만/NR+㎡/SW+,/SP
33만㎡의	33/SN+만/NR+㎡/SW+의/JKG
계약을	계약/NNG+을/JKO
맺을	맺/VV+을/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.328.5.1
대우조선해양과 경남도, 하동군, 경제자유구역청은 2007년 12월 갈사만 조선산업단지 개발을 위한 투자협약을 맺고 그동안 협의를 벌여왔다.

대우조선해양과	대우조선해양/NNP+과/JC
경남도,	경남도/NNP+,/SP
하동군,	하동군/NNP+,/SP
경제자유구역청은	경제/NNG+자유/NNG+구역청/NNG+은/JX
2007년	2007/SN+년/NNB
12월	12/SN+월/NNB
갈사만	갈사만/NNP
조선산업단지	조선/NNG+산업/NNG+단지/NNG
개발을	개발/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
투자협약을	투자/NNG+협약/NNG+을/JKO
맺고	맺/VV+고/EC
그동안	그동안/NNG
협의를	협의/NNG+를/JKO
벌여왔다.	벌이/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.328.6.1
갈사만 조선산업단지 개발사업은 1조3851억원(공공투자 2751억원, 민간자본 1조1100억원)의 사업비를 투입, 금성면 갈사리·가덕리 일원 561만3000㎡(해면부 317만4000㎡, 육지부 243만9000㎡)에 고부가가치 조선소 및 조선기자재 단지를 조성하는 사업이다.

갈사만	갈사만/NNP
조선산업단지	조선/NNG+산업/NNG+단지/NNG
개발사업은	개발/NNG+사업/NNG+은/JX
1조3851억원(공공투자	1/SN+조/NR+3851/SN+억/NR+원/NNB+(/SS+공공/NNG+투자/NNG
2751억원,	2751/SN+억/NR+원/NNB+,/SP
민간자본	민간/NNG+자본/NNG
1조1100억원)의	1/SN+조/NR+1100/SN+억/NR+원/NNB+)/SS+의/JKG
사업비를	사업비/NNG+를/JKO
투입,	투입/NNG+,/SP
금성면	금성면/NNP
갈사리·가덕리	갈사리/NNP+·/SP+가덕리/NNP
일원	일원/NNG
561만3000㎡(해면부	561/SN+만/NR+3000/SN+㎡/SW+(/SS+해면부/NNG
317만4000㎡,	317/SN+만/NR+4000/SN+㎡/SW+,/SP
육지부	육지부/NNG
243만9000㎡)에	243/SN+만/NR+9000/SN+㎡/SW+)/SS+에/JKB
고부가가치	고/XPN+부가/NNG+가치/NNG
조선소	조선소/NNG
및	및/MAG
조선기자재	조선/NNP+기자재/NNG
단지를	단지/NNG+를/JKO
조성하는	조성/NNG+하/XSV+는/ETM
사업이다.	사업/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.328.7.1
지난 2월 기공식을 가진 데 이어 2013년까지 부지 조성을 마무리할 계획이다.

지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
기공식을	기공식/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
2013년까지	2013/SN+년/NNB+까지/JX
부지	부지/NNG
조성을	조성/NNG+을/JKO
마무리할	마무리/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.328.8.1
하동군은 "대우조선해양의 입주 확정에 따라 조선 기자재 납품업체의 입주 문의가 이어지면서 조선산업단지 조성에 탄력이 붙을 전망"이라고 밝혔다.

하동군은	하동군/NNP+은/JX
"대우조선해양의	"/SS+대우조선해양/NNP+의/JKG
입주	입주/NNG
확정에	확정/NNG+에/JKB
따라	따르/VV+아/EC
조선	조선/NNG
기자재	기자재/NNG
납품업체의	납품업체/NNG+의/JKG
문의가	문의/NNG+가/JKS
이어지면서	이어지/VV+면서/EC
조선산업단지	조선/NNG+산업/NNG+단지/NNG
조성에	조성/NNG+에/JKB
탄력이	탄력/NNG+이/JKS
붙을	붙/VV+을/ETM
전망"이라고	전망/NNG+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


