# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.181
metadata : {}


# id : NWRW1800000044.181.1.1
투명한 피부·큰 머리·작은 눈…암흑천지 동굴생활이 만든 변화

투명한	투명/NNG+하/XSA+ㄴ/ETM
피부·큰	피부/NNG+·/SP+크/VA+ㄴ/ETM
머리·작은	머리/NNG+·/SP+작/VA+은/ETM
눈…암흑천지	눈/NNG+…/SE+암흑천지/NNG
동굴생활이	동굴/NNG+생활/NNG+이/JKS
만든	만들/VV+ㄴ/ETM
변화	변화/NNG


# id : NWRW1800000044.181.2.1
[한겨레] 제주 용천동굴서 희귀어류 발견

[한겨레]	[/SS+한겨레/NNP+]/SS
제주	제주/NNP
용천동굴서	용천/NNP+동굴/NNG+서/JKB
희귀어류	희귀어/NNG+류/XSN
발견	발견/NNG


# id : NWRW1800000044.181.3.1
미끈망둑속 국내 미기록종으로

미끈망둑속	미끈망둑/NNG+속/NNG
국내	국내/NNG
미기록종으로	미기록종/NNG+으로/JKB


# id : NWRW1800000044.181.4.1
6천년전 유입·유전적 변화 거쳐

6천년전	6/SN+천/NR+년/NNB+전/NNG
유입·유전적	유입/NNG+·/SP+유전/NNG+적/XSN
변화	변화/NNG
거쳐	거치/VV+어/EF


# id : NWRW1800000044.181.5.1
제주 용천동굴(천연기념물 466호) 호수에서 세계적으로 희귀한 미끈망둑속의 미기록종 물고기를 발견했다고 문화재청(청장 나선화)이 13일 밝혔다.

제주	제주/NNP
용천동굴(천연기념물	용천/NNP+동굴/NNG+(/SS+천연기념물/NNG
466호)	466/SN+호/NNB+)/SS
호수에서	호수/NNG+에서/JKB
세계적으로	세계/NNG+적/XSN+으로/JKB
희귀한	희귀/NNG+하/XSA+ㄴ/ETM
미끈망둑속의	미끈망둑/NNG+속/NNG+의/JKG
미기록종	미기록종/NNG
물고기를	물고기/NNG+를/JKO
발견했다고	발견/NNG+하/XSV+았/EP+다고/EC
문화재청(청장	문화재청/NNG+(/SS+청장/NNG
나선화)이	나선화/NNP+)/SS+이/JKS
13일	13/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.181.5.2
2012년 7월부터 2014년 2월까지 용천동굴 호수생물 및 서식환경을 조사한 결과다.

2012년	2012/SN+년/NNB
7월부터	7/SN+월/NNB+부터/JX
2014년	2014/SN+년/NNB
2월까지	2/SN+월/NNB+까지/JX
용천동굴	용천/NNP+동굴/NNG
호수생물	호수/NNG+생물/NNG
및	및/MAG
서식환경을	서식/NNG+환경/NNG+을/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과다.	결과/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.181.5.3
이번에 확인된 어류는 세계적으로 17종, 우리나라에는 7종이 서식하는 미끈망둑속(Luciogobius)의 일종이다.

이번에	이번/NNG+에/JKB
확인된	확인/NNG+되/XSV+ㄴ/ETM
어류는	어류/NNG+는/JX
세계적으로	세계/NNG+적/XSN+으로/JKB
17종,	17/SN+종/NNG+,/SP
우리나라에는	우리나라/NNG+에/JKB+는/JX
7종이	7/SN+종/NNG+이/JKS
서식하는	서식/NNG+하/XSV+는/ETM
미끈망둑속(Luciogobius)의	미끈망둑/NNG+속/NNG+(/SS+Luciogobius/SL+)/SS+의/JKG
일종이다.	일종/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.181.5.4
크기는 3.44㎝로 일반적인 미끈망둑속 어류와 달리 머리가 유난히 크고, 피부는 멜라닌 색소가 적어 옅은 분홍색으로 투명하며 눈은 퇴화되어 매우 작다.

크기는	크기/NNG+는/JX
3.44㎝로	3/SN+./SP+44/SN+㎝/SW+로/JKB
일반적인	일반/NNG+적/XSN+이/VCP+ㄴ/ETM
미끈망둑속	미끈망둑/NNG+속/NNG
어류와	어류/NNG+와/JKB
달리	달리/MAG
머리가	머리/NNG+가/JKS
유난히	유난히/MAG
크고,	크/VA+고/EC+,/SP
피부는	피부/NNG+는/JX
멜라닌	멜라닌/NNG
색소가	색소/NNG+가/JKS
적어	적/VA+어/EC
옅은	옅/VA+은/ETM
분홍색으로	분홍색/NNG+으로/JKB
투명하며	투명/NNG+하/XSA+며/EC
눈은	눈/NNG+은/JX
퇴화되어	퇴화/NNG+되/XSV+어/EC
매우	매우/MAG
작다.	작/VA+다/EF+./SF


# id : NWRW1800000044.181.5.5
유전자 염기서열 분석 결과, 제주도 연안에 서식하는 유사종인 주홍미끈망둑과 8.9%의 사이토크롬 b 유전자 염기서열 차이를 보여 국내 미기록종 어류임이 확인되었다.

유전자	유전자/NNG
염기서열	염기/NNG+서열/NNG
분석	분석/NNG
결과,	결과/NNG+,/SP
제주도	제주도/NNP
연안에	연안/NNG+에/JKB
서식하는	서식/NNG+하/XSV+는/ETM
유사종인	유사종/NNG+이/VCP+ㄴ/ETM
주홍미끈망둑과	주홍/NNG+미끈망둑/NNG+과/JKB
8.9%의	8/SN+./SP+9/SN+%/SW+의/JKG
사이토크롬	사이토크롬/NNG
b	b/SL
차이를	차이/NNG+를/JKO
보여	보이/VV+어/EC
국내	국내/NNG
미기록종	미기록종/NNG
어류임이	어류/NNG+이/VCP+ㅁ/ETN+이/JKS
확인되었다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.181.5.6
어류는 통상 사이토크롬 b 유전자 염기서열에서 4~5% 차이가 나면 다른 종 또는 신종으로 분류된다.

어류는	어류/NNG+는/JX
통상	통상/MAG
사이토크롬	사이토크롬/NNG
b	b/SL
유전자	유전자/NNG
염기서열에서	염기/NNG+서열/NNG+에서/JKB
4~5%	4/SN+~/SO+5/SN+%/SW
차이가	차이/NNG+가/JKS
나면	나/VV+면/EC
다른	다른/MMD
종	종/NNG
또는	또는/MAG
신종으로	신종/NNG+으로/JKB
분류된다.	분류/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.181.6.1
문화재청은 “빙하기 이후 해수면이 높아진 약 6000년 전에 동굴 내부로 유입되어 급격한 유전적 변화를 거치면서 고립된 동굴 환경에 적응해온 것으로 추정된다”며 “척추동물의 진화과정을 밝히는 데 중요한 의미를 가진다”고 설명했다.

문화재청은	문화재청/NNG+은/JX
“빙하기	“/SS+빙하기/NNG
이후	이후/NNG
해수면이	해수면/NNG+이/JKS
높아진	높아지/VV+ㄴ/ETM
약	약/MMA
6000년	6000/SN+년/NNB
전에	전/NNG+에/JKB
동굴	동굴/NNG
내부로	내부/NNG+로/JKB
유입되어	유입/NNG+되/XSV+어/EC
급격한	급격하/VA+ㄴ/ETM
유전적	유전/NNG+적/XSN
변화를	변화/NNG+를/JKO
거치면서	거치/VV+면서/EC
고립된	고립/NNG+되/XSV+ㄴ/ETM
환경에	환경/NNG+에/JKB
적응해온	적응/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정된다”며	추정/NNG+되/XSV+ㄴ다/EF+”/SS+며/EC
“척추동물의	“/SS+척추동물/NNG+의/JKG
진화과정을	진화/NNG+과정/NNG+을/JKO
밝히는	밝히/VV+는/ETM
데	데/NNB
중요한	중요/NNG+하/XSA+ㄴ/ETM
의미를	의미/NNG+를/JKO
가진다”고	가지/VV+ㄴ다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.181.7.1
제주시 구좌읍에 있는 용천동굴은 길이 3.4㎞의 웅장한 용암동굴로, 독특하고 다양한 종류의 동굴생성물이 발달했으며, 동굴 끝부분에는 800m 길이의 동굴호수가 있다.

제주시	제주시/NNP
구좌읍에	구좌읍/NNP+에/JKB
있는	있/VA+는/ETM
용천동굴은	용천/NNP+동굴/NNG+은/JX
길이	길이/NNG
3.4㎞의	3/SN+./SP+4/SN+㎞/SW+의/JKG
웅장한	웅장하/VA+ㄴ/ETM
용암동굴로,	용암/NNG+동굴/NNG+로/JKB+,/SP
독특하고	독특/NNG+하/XSA+고/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
종류의	종류/NNG+의/JKG
동굴생성물이	동굴/NNG+생성물/NNG+이/JKS
발달했으며,	발달/NNG+하/XSV+았/EP+으며/EC+,/SP
동굴	동굴/NNG
끝부분에는	끝부분/NNG+에/JKB+는/JX
800m	800/SN+m/SW
길이의	길이/NNG+의/JKG
동굴호수가	동굴/NNG+호수/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.181.7.2
이 호수는 담수와 염수가 섞여 있는데 바다 쪽으로 갈수록 염분의 양이 증가하는 경향을 보인다.

이	이/MMD
호수는	호수/NNG+는/JX
담수와	담수/NNG+와/JC
염수가	염수/NNG+가/JKS
섞여	섞이/VV+어/EC
있는데	있/VX+는데/EC
바다	바다/NNG
쪽으로	쪽/NNB+으로/JKB
갈수록	가/VV+ㄹ수록/EC
염분의	염분/NNG+의/JKG
양이	양/NNG+이/JKS
증가하는	증가/NNG+하/XSV+는/ETM
경향을	경향/NNG+을/JKO
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.181.7.3
호수 속에서 부유성 플랑크톤을 제외하면 이번에 확인한 어류 이외에 다른 생물체는 발견되지 않았다.

호수	호수/NNG
속에서	속/NNG+에서/JKB
부유성	부유성/NNG
플랑크톤을	플랑크톤/NNG+을/JKO
제외하면	제외/NNG+하/XSV+면/EC
이번에	이번/NNG+에/JKB
확인한	확인/NNG+하/XSV+ㄴ/ETM
어류	어류/NNG
이외에	이외/NNG+에/JKB
다른	다른/MMD
생물체는	생물체/NNG+는/JX
발견되지	발견/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


