# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.197
metadata : {}


# id : NWRW1800000025.197.1.1
[월드컵]절반의 성공 ‘신형전차’ 독일 “2014년엔 우승”

[월드컵]절반의	[/SS+월드컵/NNG+]/SS+절반/NNG+의/JKG
성공	성공/NNG
‘신형전차’	‘/SS+신형/NNG+전차/NNG+’/SS
독일	독일/NNP
“2014년엔	“/SS+2014/SN+년/NNB+에/JKB+ㄴ/JX
우승”	우승/NNG+”/SS


# id : NWRW1800000025.197.2.1
비록 결승 진출에는 실패했지만 ‘절반의 성공’이라고 부를 만했다.

비록	비록/MAG
결승	결승/NNG
진출에는	진출/NNG+에/JKB+는/JX
실패했지만	실패/NNG+하/XSV+았/EP+지만/EC
‘절반의	‘/SS+절반/NNG+의/JKG
성공’이라고	성공/NNG+’/SS+이라고/JKQ
부를	부르/VV+ㄹ/ETM
만했다.	만/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000025.197.3.1
20년 만에 월드컵 우승에 도전한 독일은 8일 스페인과의 준결승에서 0-1로 패하며 눈물을 삼켰다.

20년	20/SN+년/NNB
만에	만/NNB+에/JKB
월드컵	월드컵/NNG
우승에	우승/NNG+에/JKB
도전한	도전/NNG+하/XSV+ㄴ/ETM
독일은	독일/NNP+은/JX
8일	8/SN+일/NNB
스페인과의	스페인/NNP+과/JKB+의/JKG
준결승에서	준/XPN+결승/NNG+에서/JKB
0-1로	0/SN+-/SO+1/SN+로/JKB
패하며	패/NNG+하/XSV+며/EC
눈물을	눈물/NNG+을/JKO
삼켰다.	삼키/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.197.3.2
이날 독일은 한 수 위의 기술과 패스를 자랑하는 스페인을 맞아 주도권을 내준 채 어려운 경기를 벌였다.

이날	이날/NNG
독일은	독일/NNP+은/JX
한	한/MMN
수	수/NNG
위의	위/NNG+의/JKG
기술과	기술/NNG+과/JC
패스를	패스/NNG+를/JKO
자랑하는	자랑/NNG+하/XSV+는/ETM
스페인을	스페인/NNP+을/JKO
맞아	맞/VV+아/EC
주도권을	주도/NNG+권/XSN+을/JKO
내준	내주/VV+ㄴ/ETM
채	채/NNB
어려운	어렵/VA+ㄴ/ETM
경기를	경기/NNG+를/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.197.3.3
4강전 이전까지의 활발한 움직임은 보이지 않았다.

4강전	4/SN+강전/NNB
이전까지의	이전/NNG+까지/JX+의/JKG
활발한	활발하/VA+ㄴ/ETM
움직임은	움직임/NNG+은/JX
보이지	보이/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.197.4.1
하지만 독일 축구의 미래까지 좌절된 것은 아니다.

하지만	하지만/MAJ
독일	독일/NNP
축구의	축구/NNG+의/JKG
미래까지	미래/NNG+까지/JX
좌절된	좌절/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000025.197.4.2
