# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.342
metadata : {}


# id : NWRW1800000028.342.1.1
유럽, 2년만에 라이더컵 탈환

유럽,	유럽/NNP+,/SP
2년만에	2/SN+년/NNB+만/NNB+에/JKB
라이더컵	라이더/NNG+컵/NNG
탈환	탈환/NNG


# id : NWRW1800000028.342.2.1
제38회 라이더컵(미국과 유럽의 남자프로골프 대항전)에서 유럽이 그레임 맥도웰(북아일랜드)의 막판 승리로 극적인 우승을 차지했다.

제38회	제/XPN+38/SN+회/NNB
라이더컵(미국과	라이더/NNG+컵/NNG+(/SS+미국/NNP+과/JC
유럽의	유럽/NNP+의/JKG
남자프로골프	남자/NNG+프로/NNG+골프/NNG
대항전)에서	대항전/NNG+)/SS+에서/JKB
유럽이	유럽/NNP+이/JKS
그레임	그레임/NNP
맥도웰(북아일랜드)의	맥도웰/NNP+(/SS+북아일랜드/NNP+)/SS+의/JKG
막판	막판/NNG
승리로	승리/NNG+로/JKB
극적인	극/NNG+적/XSN+이/VCP+ㄴ/ETM
우승을	우승/NNG+을/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.342.3.1
4일(현지시각) 웨일스 뉴포트의 셀틱매너리조트의 트웬티텐코스에서 열린 대회 마지막날.

4일(현지시각)	4/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
웨일스	웨일스/NNP
뉴포트의	뉴포트/NNP+의/JKG
셀틱매너리조트의	셀틱매너리조트/NNP+의/JKG
트웬티텐코스에서	트웬티텐코스/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
대회	대회/NNG
마지막날.	마지막/NNG+날/NNG+./SF


# id : NWRW1800000028.342.3.2
유럽은 팀당 12명씩 싱글매치플레이로 펼친 승부에서 미국에 4승2무6패로 밀렸다.

유럽은	유럽/NNP+은/JX
팀당	팀/NNG+당/XSN
12명씩	12/SN+명/NNB+씩/XSN
싱글매치플레이로	싱글매치플레이/NNG+로/JKB
펼친	펼치/VV+ㄴ/ETM
승부에서	승부/NNG+에서/JKB
미국에	미국/NNP+에/JKB
4승2무6패로	4/SN+승/NNB+2/SN+무/NNB+6/SN+패/NNB+로/JKB
밀렸다.	밀리/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.342.3.3
그러나 전날 포섬·포볼 등 6경기에서 승점 3을 앞섰던 유럽은 14.5-13.5로 미국을 불과 1점차로 따돌리고 2년 전 미국에 내줬던 우승컵을 되찾았다.

그러나	그러나/MAJ
전날	전날/NNG
포섬·포볼	포섬/NNG+·/SP+포볼/NNG
등	등/NNB
6경기에서	6/SN+경기/NNG+에서/JKB
승점	승점/NNG
3을	3/SN+을/JKO
앞섰던	앞서/VV+었/EP+던/ETM
유럽은	유럽/NNP+은/JX
14.5-13.5로	14/SN+./SP+5/SN+-/SO+13/SN+./SP+5/SN+로/JKB
미국을	미국/NNP+을/JKO
불과	불과/MAG
1점차로	1/SN+점/NNB+차/NNG+로/JKB
따돌리고	따돌리/VV+고/EC
2년	2/SN+년/NNB
전	전/NNG
미국에	미국/NNP+에/JKB
