# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.56
metadata : {}


# id : NWRW1800000026.56.1.1
[수도권] 을지로 하나은행 건물 22층으로 재건축

[수도권]	[/SS+수도/NNG+권/XSN+]/SS
을지로	을지로/NNP
하나은행	하나은행/NNP
건물	건물/NNG
22층으로	22/SN+층/NNG+으로/JKB
재건축	재/XPN+건축/NNG


# id : NWRW1800000026.56.2.1
서울 중구 을지로1가 하나은행 건물이 350석 규모의 전문 콘서트홀이 들어서는 22층짜리 빌딩으로 재건축된다.

서울	서울/NNP
중구	중구/NNP
을지로1가	을지로1가/NNP
하나은행	하나은행/NNP
건물이	건물/NNG+이/JKS
350석	350/SN+석/NNB
규모의	규모/NNG+의/JKG
전문	전문/NNG
콘서트홀이	콘서트홀/NNG+이/JKS
들어서는	들어서/VV+는/ETM
22층짜리	22/SN+층/NNG+짜리/XSN
빌딩으로	빌딩/NNG+으로/JKB
재건축된다.	재/XPN+건축/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.56.2.2
또한 인근 인도에 있던 지하철 2호선 을지로입구역 출입구가 건물 부지 안으로 들어간다.

또한	또한/MAG
인근	인근/NNG
인도에	인도/NNG+에/JKB
있던	있/VV+던/ETM
지하철	지하철/NNG
2호선	2/SN+호선/NNB
을지로입구역	을지로입구역/NNP
출입구가	출입구/NNG+가/JKS
건물	건물/NNG
부지	부지/NNG
안으로	안/NNG+으로/JKB
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.56.3.1
서울시는 17일 도시·건축공동위원회를 열어 하나은행 본점이 있는 을지로 1가 101-1일대 3846.1㎡에 대한 정비안을 통과시켰다.

서울시는	서울시/NNP+는/JX
17일	17/SN+일/NNB
도시·건축공동위원회를	도시/NNG+·/SP+건축/NNG+공동/NNG+위원회/NNG+를/JKO
열어	열/VV+어/EC
하나은행	하나은행/NNP
본점이	본점/NNG+이/JKS
있는	있/VA+는/ETM
을지로	을지로/NNP
1가	1가/NNG
101-1일대	101/SN+-/SO+1/SN+일대/NNG
3846.1㎡에	3846/SN+./SP+1/SN+㎡/SW+에/JKB
대한	대하/VV+ㄴ/ETM
정비안을	정비/NNG+안/NNG+을/JKO
통과시켰다.	통과/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.56.3.2
용적률 850%, 건폐율 50% 이하를 적용받아 지상 22층, 지하 7층 건물로 재건축된다.

용적률	용적/NNG+률/XSN
850%,	850/SN+%/SW+,/SP
건폐율	건폐/NNG+율/XSN
50%	50/SN+%/SW
이하를	이하/NNG+를/JKO
적용받아	적용/NNG+받/XSV+아/EC
지상	지상/NNG
22층,	22/SN+층/NNG+,/SP
지하	지하/NNG
7층	7/SN+층/NNG
건물로	건물/NNG+로/JKB
재건축된다.	재/XPN+건축/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.56.4.1
이 건물은 한국의 전통 곡선을 살리는 디자인으로 지어진다.

이	이/MMD
건물은	건물/NNG+은/JX
한국의	한국/NNP+의/JKG
전통	전통/NNG
곡선을	곡선/NNG+을/JKO
살리는	살리/VV+는/ETM
디자인으로	디자인/NNG+으로/JKB
지어진다.	짓/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.56.4.2
태양광 발전설비와 바닥공조시스템을 도입하고 발광다이오드(LED) 조명을 설치해 에너지 효율을 극대화하는 방향으로 설계된다.

태양광	태양광/NNG
발전설비와	발전/NNG+설비/NNG+와/JC
바닥공조시스템을	바닥/NNG+공조/NNG+시스템/NNG+을/JKO
도입하고	도입/NNG+하/XSV+고/EC
발광다이오드(LED)	발광/NNG+다이오드/NNG+(/SS+LED/SL+)/SS
조명을	조명/NNG+을/JKO
설치해	설치/NNG+하/XSV+아/EC
에너지	에너지/NNG
효율을	효율/NNG+을/JKO
극대화하는	극대/NNG+화/XSN+하/XSV+는/ETM
방향으로	방향/NNG+으로/JKB
설계된다.	설계/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.56.5.1
은행 주차장으로 사용하고 있는 구역 내 부지는 광장과 공개공지로 사용하고, 을지로입구역 1·2번 출구는 부지 안으로 들여 보행 환경을 개선할 예정이다.

은행	은행/NNG
주차장으로	주차장/NNG+으로/JKB
사용하고	사용/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
구역	구역/NNG
내	내/NNB
부지는	부지/NNG+는/JX
광장과	광장/NNG+과/JC
공개공지로	공개/NNG+공지/NNG+로/JKB
사용하고,	사용/NNG+하/XSV+고/EC+,/SP
을지로입구역	을지로입구역/NNP
1·2번	1/SN+·/SP+2/SN+번/NNB
출구는	출구/NNG+는/JX
부지	부지/NNG
안으로	안/NNG+으로/JKB
들여	들이/VV+어/EC
보행	보행/NNG
환경을	환경/NNG+을/JKO
개선할	개선/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.56.5.2
건물 지하에는 을지로입구역에서 직접 연결되는 350석 규모의 전문 콘서트홀이 들어선다.

건물	건물/NNG
지하에는	지하/NNG+에/JKB+는/JX
을지로입구역에서	을지로입구역/NNP+에서/JKB
직접	직접/MAG
연결되는	연결/NNG+되/XSV+는/ETM
350석	350/SN+석/NNB
규모의	규모/NNG+의/JKG
전문	전문/NNG
콘서트홀이	콘서트홀/NNG+이/JKS
들어선다.	들어서/VV+ㄴ다/EF+./SF


