# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.22
metadata : {}


# id : NWRW1800000029.22.1.1
뉴요커 “10% 비싸도 그린에너지 써요”

뉴요커	뉴요커/NNG
“10%	“/SS+10/SN+%/SW
비싸도	비싸/VA+아도/EC
그린에너지	그린에너지/NNG
써요”	쓰/VV+어요/EF+”/SS


# id : NWRW1800000029.22.2.1
뉴욕은 그린시티로 변신중

뉴욕은	뉴욕/NNP+은/JX
그린시티로	그린시티/NNG+로/JKB
변신중	변신/NNG+중/NNB


# id : NWRW1800000029.22.3.1
미국에서 자동차 휘발유, 전기 등 에너지 사용량이 가장 많은 도시 중 하나인 뉴욕이 ‘그린시티(green city)’로 변신을 시도하고 있다.

미국에서	미국/NNP+에서/JKB
자동차	자동차/NNG
휘발유,	휘발유/NNG+,/SP
전기	전기/NNG
등	등/NNB
에너지	에너지/NNG
사용량이	사용량/NNG+이/JKS
가장	가장/MAG
많은	많/VA+은/ETM
도시	도시/NNG
중	중/NNB
하나인	하나/NR+이/VCP+ㄴ/ETM
뉴욕이	뉴욕/NNP+이/JKS
‘그린시티(green	‘/SS+그린시티/NNG+(/SS+green/SL
city)’로	city/SL+)/SS+’/SS+로/JKB
변신을	변신/NNG+을/JKO
시도하고	시도/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.22.3.2
최근 뉴욕에서는 풍력 조력 등 친환경 그린에너지에 전기 공급을 의존하는 가정이나 상점이 늘고 있는 것이다.

최근	최근/MAG
뉴욕에서는	뉴욕/NNP+에서/JKB+는/JX
풍력	풍력/NNG
조력	조력/NNG
등	등/NNB
친환경	친/XPN+환경/NNG
그린에너지에	그린에너지/NNG+에/JKB
전기	전기/NNG
공급을	공급/NNG+을/JKO
의존하는	의존/NNG+하/XSV+는/ETM
가정이나	가정/NNG+이나/JC
상점이	상점/NNG+이/JKS
늘고	늘/VV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.22.4.1
뉴욕 허드슨 강변의 ‘첼시 피어’는 볼링장, 아이스링크, 골프연습장 등을 갖춘 맨해튼의 대표적인 스포츠 콤플렉스다.

뉴욕	뉴욕/NNP
