# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.305
metadata : {}


# id : NWRW1800000053.305.1.1
구직포기 59만명… 고용대책은 책상머리 짜깁기

구직포기	구직/NNG+포기/NNG
59만명…	59/SN+만/NR+명/NNB+…/SE
고용대책은	고용/NNG+대책/NNG+은/JX
책상머리	책상머리/NNG
짜깁기	짜깁기/NNG


# id : NWRW1800000053.305.2.1
1월 구직 단념자 사상최대 공무원 시간선택제 등 주요 과제… 부처 담당자 “포함됐는지 몰랐다” 정부, 효과 분석도 없이 16일 확정

1월	1/SN+월/NNB
구직	구직/NNG
단념자	단념자/NNG
사상최대	사상/NNG+최대/NNG
공무원	공무원/NNG
시간선택제	시간/NNG+선택/NNG+제/XSN
등	등/NNB
주요	주요/NNG
과제…	과제/NNG+…/SE
부처	부처/NNG
담당자	담당자/NNG
“포함됐는지	“/SS+포함/NNG+되/XSV+었/EP+는지/EF
몰랐다”	모르/VV+았/EP+다/EF+”/SS
정부,	정부/NNG+,/SP
효과	효과/NNG
분석도	분석/NNG+도/JX
없이	없이/MAG
16일	16/SN+일/NNB
확정	확정/NNG


# id : NWRW1800000053.305.3.1
정부가 올해 주요 일자리 과제를 선정하면서 기업 등 일자리 현장과 협의하기는커녕 부처 내부에서조차 제대로 협의하지 않은 것으로 드러났다.

정부가	정부/NNG+가/JKS
올해	올해/NNG
주요	주요/NNG
일자리	일자리/NNG
과제를	과제/NNG+를/JKO
선정하면서	선정/NNG+하/XSV+면서/EC
기업	기업/NNG
등	등/NNB
현장과	현장/NNG+과/JKB
협의하기는커녕	협의/NNG+하/XSV+기/ETN+는커녕/JX
부처	부처/NNG
내부에서조차	내부/NNG+에서/JKB+조차/JX
제대로	제대로/MAG
협의하지	협의/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.305.4.1
경제부총리가 주재하는 회의 안건으로 확정된 정책인데도 정작 담당자는 모르고 있고, 실무 부처는 “확대 실시가 어렵다”고 판단한 정책이 관계부처 합동으로 마련한 주요 과제로 포함된 것이다.

경제부총리가	경제/NNG+부총리/NNG+가/JKS
주재하는	주재/NNG+하/XSV+는/ETM
회의	회의/NNG
안건으로	안건/NNG+으로/JKB
확정된	확정/NNG+되/XSV+ㄴ/ETM
정책인데도	정책/NNG+이/VCP+ㄴ데/EC+도/JX
정작	정작/MAG
담당자는	담당자/NNG+는/JX
모르고	모르/VV+고/EC
있고,	있/VX+고/EC+,/SP
실무	실무/NNG
부처는	부처/NNG+는/JX
“확대	“/SS+확대/NNG
실시가	실시/NNG+가/JKS
어렵다”고	어렵/VA+다/EF+”/SS+고/JKQ
판단한	판단/NNG+하/XSV+ㄴ/ETM
정책이	정책/NNG+이/JKS
관계부처	관계/NNG+부처/NNG
합동으로	합동/NNG+으로/JKB
마련한	마련/NNG+하/XSV+ㄴ/ETM
주요	주요/NNG
과제로	과제/NNG+로/JKB
포함된	포함/NNG+되/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.305.4.2
일자리 정책을 두고 곳곳에서 손발이 맞지 않는 모습이 나타나면서 정부의 일자리 대책이 ‘보여주기’식으로 전락한 것 아니냐는 비판이 나온다.

일자리	일자리/NNG
정책을	정책/NNG+을/JKO
두고	두/VV+고/EC
곳곳에서	곳곳/NNG+에서/JKB
손발이	손발/NNG+이/JKS
맞지	맞/VV+지/EC
않는	않/VX+는/ETM
모습이	모습/NNG+이/JKS
나타나면서	나타나/VV+면서/EC
정부의	정부/NNG+의/JKG
