# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.412
metadata : {}


# id : NWRW1800000021.412.1.1
자살자 ‘심리부검’… 원인 밝힌다

자살자	자살자/NNG
‘심리부검’…	‘/SS+심리/NNG+부검/NNG+’/SS+…/SE
원인	원인/NNG
밝힌다	밝히/VV+ㄴ다/EF


# id : NWRW1800000021.412.2.1
자살자의 사망 전 심리를 분석해 사망 원인을 밝히는 ‘심리적 부검’에 대한 국가 차원의 연구가 처음 이뤄졌다.

자살자의	자살자/NNG+의/JKG
사망	사망/NNG
전	전/MMD
심리를	심리/NNG+를/JKO
분석해	분석/NNG+하/XSV+아/EC
원인을	원인/NNG+을/JKO
밝히는	밝히/VV+는/ETM
‘심리적	‘/SS+심리/NNG+적/XSN
부검’에	부검/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
국가	국가/NNG
차원의	차원/NNG+의/JKG
연구가	연구/NNG+가/JKS
처음	처음/NNG
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.412.2.2
보건복지가족부는 한국자살예방협회와 함께 28일 한국프레스센터에서 자살사망자 심리적 부검 및 자살시도자 사례관리서비스 구축방안에 대한 연구결과를 발표한다고 27일 밝혔다.

보건복지가족부는	보건/NNG+복지/NNG+가족부/NNG+는/JX
한국자살예방협회와	한국자살예방협회/NNP+와/JKB
함께	함께/MAG
28일	28/SN+일/NNB
한국프레스센터에서	한국프레스센터/NNP+에서/JKB
자살사망자	자살/NNG+사망자/NNG
심리적	심리/NNG+적/XSN
부검	부검/NNG
및	및/MAG
자살시도자	자살/NNG+시도자/NNG
사례관리서비스	사례/NNG+관리/NNG+서비스/NNG
구축방안에	구축/NNG+방안/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
연구결과를	연구/NNG+결과/NNG+를/JKO
발표한다고	발표/NNG+하/XSV+ㄴ다고/EC
27일	27/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.412.3.1
심리적 부검은 자살 등 변사(變死)의 원인을 추정하기 위해 자살자의 행적과 글, 주변인의 진술을 바탕으로 사망 전 일정 기간의 심리상태와 그 변화를 재구성하는 작업이다.

심리적	심리/NNG+적/XSN
부검은	부검/NNG+은/JX
자살	자살/NNG
등	등/NNB
변사(變死)의	변사/NNG+(/SS+變死/SH+)/SS+의/JKG
원인을	원인/NNG+을/JKO
추정하기	추정/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
자살자의	자살자/NNG+의/JKG
행적과	행적/NNG+과/JKB
글,	글/NNG+,/SP
주변인의	주변인/NNG+의/JKG
진술을	진술/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
사망	사망/NNG
전	전/NNG
일정	일정/NNG
기간의	기간/NNG+의/JKG
심리상태와	심리/NNG+상태/NNG+와/JC
그	그/MMD
변화를	변화/NNG+를/JKO
재구성하는	재/XPN+구성/NNG+하/XSV+는/ETM
작업이다.	작업/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.412.3.2
이를 통해 자살의 원인을 추정한다.

이를	이/NP+를/JKO
통해	통하/VV+아/EC
자살의	자살/NNG+의/JKG
원인을	원인/NNG+을/JKO
추정한다.	추정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.412.3.3
개별 자살의 동기를 규명하거나 자살 예방정책을 수립하기 위해 해외에서는 자살의 심리적 부검이 빈번하게 이뤄지고 있다.

개별	개별/NNG
자살의	자살/NNG+의/JKG
동기를	동기/NNG+를/JKO
규명하거나	규명/NNG+하/XSV+거나/EC
자살	자살/NNG
예방정책을	예방/NNG+정책/NNG+을/JKO
수립하기	수립/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
해외에서는	해외/NNG+에서/JKB+는/JX
심리적	심리/NNG+적/XSN
부검이	부검/NNG+이/JKS
빈번하게	빈번하/VA+게/EC
이뤄지고	이뤄지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.412.4.1
국내에서는 자살에 대한 부정적 인식 때문에 거의 이뤄지지 않았다.

국내에서는	국내/NNG+에서/JKB+는/JX
자살에	자살/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
부정적	부정/NNG+적/XSN
인식	인식/NNG
때문에	때문/NNB+에/JKB
거의	거의/MAG
이뤄지지	이뤄지/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.412.4.2
이번에 총 15건의 자살 사례에 대해 심리적 부검을 실시한 결과 7건의 동기를 밝혀내는 데 성공했다.

이번에	이번/NNG+에/JKB
총	총/MMA
15건의	15/SN+건/NNB+의/JKG
자살	자살/NNG
사례에	사례/NNG+에/JKB
대해	대하/VV+아/EC
심리적	심리/NNG+적/XSN
부검을	부검/NNG+을/JKO
실시한	실시/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
7건의	7/SN+건/NNB+의/JKG
동기를	동기/NNG+를/JKO
밝혀내는	밝혀내/VV+는/ETM
데	데/NNB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


