# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.264
metadata : {}


# id : NWRW1800000036.264.1.1
견공의 재능 기부야생동물 똥 찾기

견공의	견공/NNG+의/JKG
재능	재능/NNG
기부야생동물	기부/NNG+야생/NNG+동물/NNG
똥	똥/NNG
찾기	찾/VV+기/ETN


# id : NWRW1800000036.264.2.1
[한겨레] [토요판] 생명 / 조홍섭의 자연 보따리

[한겨레]	[/SS+한겨레/NNP+]/SS
[토요판]	[/SS+토요판/NNG+]/SS
생명	생명/NNG
/	//SP
조홍섭의	조홍섭/NNP+의/JKG
자연	자연/NNG
보따리	보따리/NNG


# id : NWRW1800000036.264.3.1
크낙새는 남한에서 20년째 모습을 보이지 않고 있는 가장 희귀하고 멋진 딱따구리이다.

크낙새는	크낙새/NNG+는/JX
남한에서	남한/NNP+에서/JKB
20년째	20/SN+년/NNB+째/XSN
모습을	모습/NNG+을/JKO
보이지	보이/VV+지/EC
않고	않/VX+고/EC
있는	있/VX+는/ETM
가장	가장/MAG
희귀하고	희귀/NNG+하/XSA+고/EC
멋진	멋지/VA+ㄴ/ETM
딱따구리이다.	딱따구리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.264.3.2
광릉 수목원에 크낙새의 모형을 달아놓고 그 밑을 지나가면 ‘클락~ 클락~’ 하고 울도록 만들어 놓은 적이 있다.

광릉	광릉/NNP
수목원에	수목원/NNG+에/JKB
크낙새의	크낙새/NNG+의/JKG
모형을	모형/NNG+을/JKO
달아놓고	달/VV+아/EC+놓/VX+고/EC
그	그/MMD
밑을	밑/NNG+을/JKO
지나가면	지나가/VV+면/EC
‘클락~	‘/SS+클락/MAG+~/SO
클락~’	클락/MAG+~/SO+’/SS
하고	하/VV+고/EC
울도록	울/VV+도록/EC
만들어	만들/VV+어/EC
놓은	놓/VX+은/ETM
적이	적/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.264.3.3
부디 돌아오라는 염원을 담은 장치이지만, 만일 크낙새가 나타난다면 이 녹음 소리에 실제로 응답할 가능성이 있다.

부디	부디/MAG
돌아오라는	돌아오/VV+라는/ETM
염원을	염원/NNG+을/JKO
담은	담/VV+은/ETM
