# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.122
metadata : {}


# id : NWRW1800000040.122.1.1
석가탑 몸돌 47년만에 여니…청동 ‘사리함’ 소담히

석가탑	석가탑/NNP
몸돌	몸돌/NNG
47년만에	47/SN+년/NNB+만/NNB+에/JKB
여니…청동	열/VV+니/EC+…/SE+청동/NNG
‘사리함’	‘/SS+사리함/NNG+’/SS
소담히	소담히/MAG


# id : NWRW1800000040.122.2.1
갑석 균열 해체수리·복원 현장

갑석	갑석/NNG
균열	균열/NNG
해체수리·복원	해체/NNG+수리/NNG+·/SP+복원/NNG
현장	현장/NNG


# id : NWRW1800000040.122.3.1
떨어져 깨질라 꽁꽁 동여매고

떨어져	떨어지/VV+어/EC
깨질라	깨지/VV+ㄹ라/EF
꽁꽁	꽁꽁/MAG
동여매고	동여매/VV+고/EC


# id : NWRW1800000040.122.4.1
손상방지 습도조절 ‘애지중지’

손상방지	손상/NNG+방지/NNG
습도조절	습도/NNG+조절/NNG
‘애지중지’	‘/SS+애지중지/MAG+’/SS


# id : NWRW1800000040.122.5.1
2일 오후 2시 경주시 불국사 대웅전 앞 삼층석탑(석가탑·국보 21호) 덧집 주변에 사람들이 모여들었다.

2일	2/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
경주시	경주시/NNP
불국사	불국사/NNP
대웅전	대웅전/NNG
앞	앞/NNG
삼층석탑(석가탑·국보	삼/NR+층/NNG+석탑/NNG+(/SS+석가탑/NNP+·/SP+국보/NNG
21호)	21/SN+호/NNB+)/SS
덧집	덧집/NNG
주변에	주변/NNG+에/JKB
사람들이	사람/NNG+들/XSN+이/JKS
모여들었다.	모여들/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.122.5.2
탑의 균열을 수리하기 위해 지난해 위쪽 상륜부부터 시작된 석탑 해체수리 작업이 2층 옥개석에 이르러, 그 아래 2층 탑신(몸돌)에 있는 사리공(사리와 사리장엄구를 넣는 구멍)이 공개되는 순간이었다.

탑의	탑/NNG+의/JKG
균열을	균열/NNG+을/JKO
수리하기	수리/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
지난해	지난해/NNG
위쪽	위쪽/NNG
상륜부부터	상륜부/NNG+부터/JX
시작된	시작/NNG+되/XSV+ㄴ/ETM
석탑	석탑/NNG
해체수리	해체/NNG+수리/NNG
